"","type","title","volume","issn","doi","abstract","language","number","journal","author","year","note","keywords","pages"
"1","article","`{Green} incubation': avian offspring benefit from aromatic nest herbs through improved parental incubation behaviour","285","0962-8452","10.1098/rspb.2018.0376","Development of avian embryos requires thermal energy, usually from parents. Parents may, however, trade off catering for embryonic requirements against their own need to forage through intermittent incubation. This dynamically adjusted behaviour can be affected by properties of the nest. Here, we experimentally show a novel mechanism by which parents, through incorporation of aromatic herbs into nests, effectively modify their incubation behaviour to the benefit of their offspring. Our study species, the European starling, includes in its nest aromatic herbs which promote offspring fitness. We provided wild starlings with artificial nests including or excluding the typically selected fresh herbs and found strong support for our prediction of facilitated incubation. Herb effects were not explained by thermal changes of the nests per se, but by modified parental behaviours. Egg temperatures and nest attendance were higher in herb than herbless nests, egg temperatures dropped less frequently below critical thresholds and parents started their active day earlier. These effects were dynamic over time and particularly strong during early incubation. Incubation period was shorter in herb nests, and nestlings were heavier one week after hatching. Aromatic herbs hence influenced incubation in beneficial ways for offspring, possibly through pharmacological effects on incubating parents.","English","1880","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Gwinner, Helga and Capilla-Lasheras, Pablo and Cooper, Caren and Helm, Barbara month = jun,","2018","Place: 6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND Publisher: ROYAL SOC Type: Article","egg temperature, European starling, medicinal herbs, prenatal, timing, volatile",NA
"2","article","Telomere length and dynamics of spotless starling nestlings depend on nest-building materials used by parents","126","0003-3472","10.1016/j.anbehav.2017.01.018","Nest materials used by animals can have profound effects on developing offspring. They can modify the bacterial and parasitic environment of the nest, and can influence parental investment through sexual signalling processes. In spotless starlings, Sturnus unicolor, green plants and feathers are known nest materials with such functions. The aim of our study was to experimentally assess their influence on nestlings' telomere length and attrition, which are good predictors of their survival prospects. In a full-factorial experiment, we explored these effects in two different populations, together with the potential effects of hatching date, ectoparasitism, bacterial environment and nestling growth. Telomere length and attrition largely depended on population identity and hatching date. After correcting for these effects, the addition of feathers resulted in higher rates of telomere attrition. The addition of plants did not affect nestling telomeres in general, but did in interaction with location: in Hueneja, the experimental addition of green plants resulted in longer telomeres. Feather pigmentation also did not affect telomere length or attrition in general, but did in interaction with location: in Hueneja, the experimental addition of unpigmented feathers resulted in nestlings with longer telomeres and lower attrition rates. Moreover, prevalence of staphylococci on the skin of 8-day-old nestlings was negatively related to telomere lengths of fledglings. Taken together, these results suggest a direct link between nest material composition and nestling telomere length and dynamics. This relationship could be partially mediated by the antimicrobial and/or antiparasitic properties of nest materials or by sexual signalling processes. We discuss possible roles of maternal effects, parasites, immunity and nestling growth in explaining these experimental effects. (C) 2017 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","English",NA,"ANIMAL BEHAVIOUR","Soler, Juan J. and Ruiz-Castellano, Cristina and Figuerola, Jordi and Martin-Vivaldi, Manuel and Martinez-de la Puente, Josue and Ruiz-Rodriguez, Magdalena and Tomas, Gustavo month = apr,","2017","Place: 24-28 OVAL RD, LONDON NW1 7DX, ENGLAND Publisher: ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD Type: Article","antimicrobial properties, Carnus flies, feathers, green plants, hatching date, nest-building behaviour, nest-dwelling ectoparasites, sexual selection, telomere dynamics","89--100"
"3","article","Green plants in nests reduce offspring recruitment rates in the spotless starling","26","1045-2249","10.1093/beheco/arv056","Greenery added to birds' nests is a sexually selected trait of males that entails costs for females. Why some birds add green plants to their nests has long puzzled biologists. Some studies suggest that this behavior is promoted by natural selection because of its positive effects on nestling health. However, if greenery functions as a sexually selected signal of male attractiveness, it may promote costly female competition for preferred males. We experimentally increased the amount of plants in spotless starling's nests, causing a reduction in the number of recruits. Although several hypotheses have been proposed to explain the function of fresh green plants in nests of many avian species, the consequences of this behavior on fitness remain poorly understood. In accordance with the nest protection and drug hypotheses, adding greenery to nests should be naturally selected to facilitate positive fitness effects on offspring. Alternatively, the courtship hypothesis postulates that green plants function as a sexually selected signal of male attractiveness that might promote female competition for preferred males. We conducted a long-term study by experimentally increasing the amount of green plants in nests of a wild population of spotless starlings (Sturnus unicolor). We experimentally decoupled the natural carrying behavior of males in half of the population and explored the consequences of this manipulation on offspring condition and their rate of local recruitment. Treatment did not affect the number of fledglings, but it did affect body mass and tarsus in a sexually antagonistic way: a positive effect on female tarsus length and negative on male body mass. The addition of greenery reduced the probability of local recruitment of both males and females. Our results suggest that the addition of green plants induces maternal response with complex short- and long-term consequences on the offspring body condition and recruitment success.","English","4","BEHAVIORAL ECOLOGY","Polo, Vicente and Rubalcaba, Juan G. and Veiga, Jose P. month = aug,","2015","Place: JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA Publisher: OXFORD UNIV PRESS INC Type: Article","sexual selection, courtship display, green plants carrying, male ornaments, natural selection, recruitment rate, Sturnus unicolor","1131--1137"
"4","article","Nest size and aromatic plants in the nest as sexually selected female traits in blue tits","24","1045-2249","10.1093/beheco/art015","Besides the direct functionality of nests driven by natural selection, accumulating evidence shows that nest building behaviors and nests may also evolve under sexual selection. Empirical research on the potential role of nests or nest features as sexual signals, however, is comparatively scarce for avian species in which the female is the only sex involved in its construction because of a male bias in the study of sexual traits, even though maternally built nests may be more common than paternally and biparentally built nests. In blue tits Cyanistes caeruleus, females alone build nests and add aromatic plants to them. We manipulated nest size and amount of aromatic plants in the nest to assess subsequent male effort and risk taking during provisioning of nestlings as indices of differential allocation. Risk taking was assessed through trappability indices of males at the nest-box when provisioning nestlings. Although male provisioning rates did not differ between experimental groups, male risk taking during provisioning was significantly lower in nests reduced in size than in control and enlarged nests, and it was significantly higher in nests supplied with aromatic plants than in control nests. Females showed nonsignificant trends to increase their provisioning effort in reduced nests, probably to compensate reduced male investment. Finally, female provisioning rates and especially male risk taking had a major positive impact on reproductive success and thereby on female fitness. In summary, this study (and previous evidence) suggests that nest size and aromatic plants in blue tit nests are used by females as sexual signals to elicit differential allocation in males. This study adds to the scarce evidence in favor of nests or nest materials acting as sexually selected traits regarding female signaling.","English","4","BEHAVIORAL ECOLOGY","Tomas, Gustavo and Merino, Santiago and Martinez-de la Puente, Josue and Moreno, Juan and Morales, Judith and Rivero-de Aguilar, Juan month = aug,","2013","Place: JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA Publisher: OXFORD UNIV PRESS INC Type: Article","green plants, differential allocation, extended phenotype, female ornamentation, greenery, nest building, nest size, parental investment, risk taking, trappability","926--934"
"5","article","Interacting effects of aromatic plants and female age on nest-dwelling ectoparasites and blood-sucking flies in avian nests","90","0376-6357","10.1016/j.beproc.2012.02.003","Some avian species incorporate aromatic plants to their nests. The “nest protection hypothesis”, which posits that volatile secondary compounds contained in these plants may have antiparasite properties, has not received full support. All previous tests of this hypothesis have only considered effects on nest-dwelling ectoparasites, but not on blood-sucking flies. The “drug hypothesis” posits that aromatic plants may stimulate nestling immune system, development, or condition. We tested these hypotheses experimentally in wild blue tits Cyanistes caeruleus. a species that adds aromatic plants to their nests. We supplemented aromatic plants to half of a sample of nests, while adding grass to the other half of nests. We quantified abundance of two groups of blood-sucking flies (blackflies and biting midges) at two different stages of the reproductive period, and abundance of three nest-dwelling ectoparasites (fleas, mites, and blowflies). Experimental supplementation of aromatic plants reduced abundance of fleas only in nests of yearling females and not in nests of older females. Blackflies and biting midges were both more numerous in nests of yearling females than in nests of older females. Mass of aromatic plants added by females was negatively related with abundance of fleas in control nests but not in experimental nests supplied with aromatic plants. Mass of plants added by females was also positively related with abundance of blackflies during the nestling stage. Finally, aromatic plants did not affect nestling growth or immune responses. We conclude that several factors such as female experience and their ability to add plants to the nest interact to explain effects of aromatic plants on different parasites. (c) 2012 Elsevier B.V. All rights reserved.","English","2","BEHAVIOURAL PROCESSES","Tomas, G. and Merino, S. and Martinez-de la Puente, J. and Moreno, J. and Morales, J. and Lobato, E. and Rivero-de Aguilar, J. and del Cerro, S. month = jun,","2012","Place: PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS Publisher: ELSEVIER SCIENCE BV Type: Article","Antiparasite defence, Biting flies, Ceratopogonidae, Culicoides, Greenery, Simuliidae","246--253"
"6","article","Experimental {Addition} of {Green} {Plants} to the {Nest} {Increases} {Testosterone} {Levels} in {Female} {Spotless} {Starlings","116","0179-1613","10.1111/j.1439-0310.2009.01724.x","Multiple male traits and displays may act in signalling sexually selected processes during courtship. Spotless starling males (Sturnus unicolor) carry green plants into their nests before egg laying, and recent studies have shown that this behaviour is related to female breeding decisions and the production of male-biased broods. Although the functional implications of this effect on females are not yet clear, data suggest that it could be mediated by female circulating hormones. Additionally, females may show higher androgen levels as a consequence of the increased female-female competition generated by the increase in male attractiveness. We tested this hypothesis using the same manipulation of green nesting material that has been previously shown to result in an increase of male attractiveness in male spotless starlings. We found that females in experimental nests increased their circulating testosterone levels during the laying period. In addition, there was an increase of social interferences in the experimental nests because of the addition of green plants. We hypothesise that testosterone may allow females to maintain their mating status when competing with other females for the preferred males. Addition of green plants also increased the variance in the levels of circulating testosterone, suggesting plasticity between females in their response to the manipulation. We propose that there is a functional link between high testosterone levels, male-biased sex ratios and female resource-holding potential in intra-sexual competition in this species.","English","2","ETHOLOGY","Polo, Vicente and Lopez-Rull, Isabel and Gil, Diego and Veiga, Jose P. month = feb,","2010","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY-BLACKWELL Type: Article",NA,"129--137"
"7","article","Aromatic plants in nests of the blue tit {Cyanistes} caeruleus protect chicks from bacteria","161","0029-8549","10.1007/s00442-009-1418-6","Several bird species add fresh fragments of plants which are rich in volatile secondary compounds to their nests. It has been suggested, although never tested, that birds use fresh plants to limit the growth of nest microorganisms. On Corsica, blue tits (Cyanistes caeruleus) incorporate fresh fragments of aromatic plants into their nests. These plants do not reduce infestation by nest ectoparasites, but have been shown to improve growth and condition of chicks at fledging. To understand the mechanisms underlying such benefits, we experimentally tested the effects of these plants on the bacteria living on blue tits. Aromatic plants significantly affected the structure of bacterial communities, in particular reducing bacterial richness on nestlings. In addition, in this population where there is a strong association between bacterial density and infestation by blood-sucking Protocalliphora blow fly larvae, these plants reduced bacterial density on the most infested chicks. Aromatic plants had no significant effect on the bacteria living on adult blue tits. This study provides the first evidence that fresh plants brought to the nests by adult birds limit bacterial richness and density on their chicks.","English","4","OECOLOGIA","Mennerat, Adele and Mirleau, Pascal and Blondel, Jacques and Perret, Philippe and Lambrechts, Marcel M. and Heeb, Philipp month = oct,","2009","Place: ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES Publisher: SPRINGER Type: Article","Aromatic plants, Bacterial communities, Cyanistes caeruleus, Nest greenery, Protocalliphora sp.","849--855"
"8","article","Do female spotless starlings {Sturnus} unicolor adjust maternal investment according to male attractiveness?","40","0908-8857","10.1111/j.1600-048X.2009.04553.x","In birds, female egg allocation patterns have a strong influence in offspring development and differential investment in egg size and composition has been shown to respond to male attractiveness. In this study we experimentally manipulated the perceived attractiveness of male starlings Sturnus unicolor by increasing the amount of green material in some nests (a male courtship display in this species). We predicted that, if female investment before laying is related to male attractiveness, experimental females would increase their reproductive investment in response to the addition of plants in their nests when compared to control females. We found that our manipulation caused variations in female reproductive investment in a way that seems to influence offspring quantity but not offspring quality: Females laid larger clutch sizes but not larger eggs when green plant material was added. However, yolk androgens contents were not related to the experimental manipulation. Contrary to expectations, females breeding in experimental nests laid eggs with smaller amounts of eggshell pigments. Interestingly, we found that eggs laid later in the sequence had higher testosterone levels and showed more intense egg colouration than eggs laid earlier in the sequence. These differences at the within-clutch level suggest that selection has favoured compensatory strategies for hatching asynchrony. Alternatively, since nest sabotages by other females are most common at the beginning of laying, this could be seen as female strategy to minimise losses due to nest sabotages. As far as we know, this is the first study to show that an external egg characteristic such as blue-green colouration reflects yolk androgen concentration.","English","3","JOURNAL OF AVIAN BIOLOGY","Lopez-Rull, Isabel and Gil, Diego month = may,","2009","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",NA,"254--262"
"9","article","Aromatic plants in nests of blue tits: positive effects on nestlings","77","0003-3472","10.1016/j.anbehav.2008.11.008","For altricial birds, detailed studies of parental care include egg incubation, brooding and chick feeding, all of them being crucial to offspring survival. Few studies have explored nest building and maintenance from this perspective, although the nest is the first environment experienced by hatchlings. On Corsica, blue tits, Cyanistes caeruleus, incorporate fresh fragments of several species of aromatic plants in the nest cup throughout the nesting period, and replenish the nest with fresh fragments of the same plant species quickly after experimental removal. In this study, we experimentally tested whether aromatic plants used by blue tits affect the growth and condition of nestlings. Because we expected the effects of plants to depend on environmental conditions, we tested this hypothesis both in enlarged and in control broods. Aromatic plants positively affected chick mass gain in enlarged broods. Chicks in nests containing aromatic plants also had higher haematocrit levels. In addition, in 1 of the 2 study years, feathers developed faster in aromatic-treated nests than in nests where aromatic plants had been replaced by a neutral nest material (moss). However, no significant effect of aromatic plants on chick body size at. edging was found. We propose several hypotheses on the proximal mechanisms whereby aromatic plants affect chick growth and condition. (c) 2008 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.","English","3","ANIMAL BEHAVIOUR","Mennerat, Adele and Perret, Philippe and Bourgault, Patrice and Blondel, Jacques and Gimenez, Olivier and Thomas, Don W. and Heeb, Philipp and Lambrechts, Marcel M. month = mar,","2009","Place: 24-28 OVAL RD, LONDON NW1 7DX, ENGLAND Publisher: ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD Type: Article","Cyanistes caeruleus, blue tit, body size, brood enlargement, chick condition, chick growth, feather development, haematocrit, nest construction, nest greenery, parental care","569--574"
"10","article","Blue tits ({Cyanistes} caeruleus) respond to an experimental change in the aromatic plant odour composition of their nest","79","0376-6357","10.1016/j.beproc.2008.07.003","Although the use of olfaction by birds is now widely recognised, the olfactory abilities of passerine birds remain poorly explored, for historical reasons. Several studies however suggest that passerines can perceive volatile compounds in several biologically relevant contexts. In Corsica, recent findings suggest that cavity-nesting blue tits may use volatile compounds in the context of nest building and maintenance. Although they build their nests mainly from moss, female blue tits also frequently incorporate fragments of several species of aromatic plants in the nest cup. In field experiments, breeding female blue tits altered their nest maintenance behaviour in response to experimental addition of aromatic plants in their nest. In aviary experiments. captive male blue tits could be trained to detect lavender odour from a distance. Here I report results from a field study aimed to test whether adult blue tits altered their chick-feeding behaviour after an experimental change in nest odour composition. I experimentally added fragments of aromatic plant species that differed from those brought in the nests before the start of the experiment in a set of experimental nests and added moss, the basic nest material, in a set of control nests. Both male and female blue tits hesitated significantly longer entering the nest cavity after addition of new aromatic plant fragments, as compared to moss addition. This response was especially observed during the first visit following the experimental change in nest plant composition. Nest composition treatment had no effect on the time spent in the nest. This study demonstrates that free-ranging blue tits detect changes in nest odour from outside the nest cavity. (C) 2008 Elsevier B.V. All rights reserved.","English","3","BEHAVIOURAL PROCESSES","Mennerat, A. month = nov,","2008","Place: PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS Publisher: ELSEVIER SCIENCE BV Type: Article","Nest greenery, Aromatic plant, Nest odour, Olfaction, Passerine","189--191"
