Paper_ID,label,title,author,journal,volume,number,pages,year,doi,abstract,search_duplicated,n_duplicates,screened,notes
GNM_002,X.WOS.000553938400002,Development of nestling blue tits (Cyanistes caeruleus) is affected by experimental addition of aromatic plants,"Pires, Barbara A. and Belo, Anabela D. F. and Diamantino, Fernanda and Rabaca, Joao E. and Merino, Santiago",AVIAN BIOLOGY RESEARCH,13,3,44-48,2020,10.1177/1758155920921075,"Some passerines incorporate aromatic plants in their nest cups, and several hypotheses have been formulated to explain this behaviour. One of those, the Drug Hypothesis, states that aromatic plants present in nests have positive effects on nestlings' development through increased immune function. In this study, we aimed to examine if experimental addition of aromatic plants had positive effects on reproductive performance (the number of fledglings produced and nestling survival rate) and nestling development (weight and tarsus length). In addition, we study whether those potential effects were more noticeable in different brood sizes-small and large-through an observational approach. We expect that large broods, due to increased resource competition between nestlings, will benefit more from aromatic plant incorporation, as compared to small broods. Nestlings were significantly heavier in 2015 as compared to 2016 and 2017 and in small broods. No effect of treatment was observed in nestling weight. Although there was no overall effect of treatment on nestling tarsus length, nestlings from aromatic nests had significantly longer tarsi as compared to nestlings from control nests, in large broods.",2,2,selected,
GNM_003,X.WOS.000260989800009,Blue tits (Cyanistes caeruleus) respond to an experimental change in the aromatic plant odour composition of their nest,"Mennerat, A.",BEHAVIOURAL PROCESSES,79,3,189-191,2008,10.1016/j.beproc.2008.07.003,"Although the use of olfaction by birds is now widely recognised, the olfactory abilities of passerine birds remain poorly explored, for historical reasons. Several studies however suggest that passerines can perceive volatile compounds in several biologically relevant contexts. In Corsica, recent findings suggest that cavity-nesting blue tits may use volatile compounds in the context of nest building and maintenance. Although they build their nests mainly from moss, female blue tits also frequently incorporate fragments of several species of aromatic plants in the nest cup. In field experiments, breeding female blue tits altered their nest maintenance behaviour in response to experimental addition of aromatic plants in their nest. In aviary experiments. captive male blue tits could be trained to detect lavender odour from a distance. Here I report results from a field study aimed to test whether adult blue tits altered their chick-feeding behaviour after an experimental change in nest odour composition. I experimentally added fragments of aromatic plant species that differed from those brought in the nests before the start of the experiment in a set of experimental nests and added moss, the basic nest material, in a set of control nests. Both male and female blue tits hesitated significantly longer entering the nest cavity after addition of new aromatic plant fragments, as compared to moss addition. This response was especially observed during the first visit following the experimental change in nest plant composition. Nest composition treatment had no effect on the time spent in the nest. This study demonstrates that free-ranging blue tits detect changes in nest odour from outside the nest cavity. (C) 2008 Elsevier B.V. All rights reserved.",3,2,selected,
GNM_018,Tom.U.00C3..U.00A1.s2013926,Nest size and aromatic plants in the nest as sexually selected female traits in blue tits,"TomÃ¡s, G. and Merino, S. and MartÃ­nez-De La Puente, J. and Moreno, J. and Morales, J. and Rivero-De Aguilar, J.",Behavioral Ecology,24,4,926-934,2013,10.1093/beheco/art015,"Besides the direct functionality of nests driven by natural selection, accumulating evidence shows that nest building behaviors and nests may also evolve under sexual selection. Empirical research on the potential role of nests or nest features as sexual signals, however, is comparatively scarce for avian species in which the female is the only sex involved in its construction because of a male bias in the study of sexual traits, even though maternally built nests may be more common than paternally and biparentally built nests. In blue tits Cyanistes caeruleus, females alone build nests and add aromatic plants to them. We manipulated nest size and amount of aromatic plants in the nest to assess subsequent male effort and risk taking during provisioning of nestlings as indices of differential allocation. Risk taking was assessed through trappability indices of males at the nest-box when provisioning nestlings. Although male provisioning rates did not differ between experimental groups, male risk taking during provisioning was significantly lower in nests reduced in size than in control and enlarged nests, and it was significantly higher in nests supplied with aromatic plants than in control nests. Females showed nonsignificant trends to increase their provisioning effort in reduced nests, probably to compensate reduced male investment. Finally, female provisioning rates and especially male risk taking had a major positive impact on reproductive success and thereby on female fitness. In summary, this study (and previous evidence) suggests that nest size and aromatic plants in blue tit nests are used by females as sexual signals to elicit differential allocation in males. This study adds to the scarce evidence in favor of nests or nest materials acting as sexually selected traits regarding female signaling. Â© 2013 The Author. Published by Oxford University Press on behalf of the International Society for Behavioral Ecology. All rights reserved.",18,2,selected,
GNM_024,L.U.00C3..U.00B3.pez.Rull2009254,Do female spotless starlings Sturnus unicolor adjust maternal investment according to male attractiveness?,"LÃ³pez-Rull, I. and Gil, D.",Journal of Avian Biology,40,3,254-262,2009,10.1111/j.1600-048X.2009.04553.x,"In birds, female egg allocation patterns have a strong influence in offspring development and differential investment in egg size and composition has been shown to respond to male attractiveness. In this study we experimentally manipulated the perceived attractiveness of male starlings Sturnus unicolor by increasing the amount of green material in some nests (a male courtship display in this species). We predicted that, if female investment before laying is related to male attractiveness, experimental females would increase their reproductive investment in response to the addition of plants in their nests when compared to control females. We found that our manipulation caused variations in female reproductive investment in a way that seems to influence offspring quantity but not offspring quality: Females laid larger clutch sizes but not larger eggs when green plant material was added. However, yolk androgens contents were not related to the experimental manipulation. Contrary to expectations, females breeding in experimental nests laid eggs with smaller amounts of eggshell pigments. Interestingly, we found that eggs laid later in the sequence had higher testosterone levels and showed more intense egg colouration than eggs laid earlier in the sequence. These differences at the within-clutch level suggest that selection has favoured compensatory strategies for hatching asynchrony. Alternatively, since nest sabotages by other females are most common at the beginning of laying, this could be seen as female strategy to minimise losses due to nest sabotages. As far as we know, this is the first study to show that an external egg characteristic such as blue-green colouration reflects yolk androgen concentration. Â© 2009 Journal of Avian Biology.",24,2,selected,
GNM_027,Moreno20081078,Blue-green eggs in pied flycatchers: An experimental demonstration that a supernormal stimulus elicits improved nestling condition,"Moreno, J. and Lobato, E. and Merino, S. and MartÃ­nez-De La Puente, J.",Ethology,114,11,1078-1083,2008,10.1111/j.1439-0310.2008.01551.x,"It has been proposed that blue-green egg colouration in certain avian species has evolved as a signal of female and egg quality to males, affecting their investment in the brood according to the differential allocation scenario. A recent experiment has successfully manipulated male investment by placing dummy eggs simulating the extremes in the blue-green natural reflectance. Here we have substituted one egg in certain pied flycatcher clutches with a single deep-blue (blue) or light-blue (pale) dummy egg and used other clutches as controls. Blue dummy eggs reflected more in the blue-green part of the spectrum than natural and pale dummy eggs, which were similar in reflectance. Nestlings in nests with one blue dummy egg during laying and incubation attained a significantly higher mass and condition than those in nests with one pale dummy egg or in control broods, when controlling for phenology, brood size and blue-green chroma of the clutch. Only a shift in parental investment can have induced this highly significant effect. Preference for deeply coloured clutches associated with high-quality females and their maternal effects may explain stimulation by a single supernormal stimulus emanating from multiple objects like clutches. Â© 2008 The Authors.",294,2,excluded,no green nest material
GNM_029,Saino2005998,Stressed mothers lay eggs with high corticosterone levels which produce low-quality offspring,"Saino, N. and Romano, M. and Ferrari, R.P. and Martinelli, R. and MÃ¸ller, A.P.",Journal of Experimental Zoology Part A: Comparative Experimental Biology,303,11,998-1006,2005,10.1002/jez.a.224,"Organisms frequently encounter stressful ecological conditions. In vertebrates, a major mechanism of physiological response to stress is mediated by the hypothalamic-pituitary-adrenal axis and results in increased secretion of glucocorticosteroids, which can have adverse consequences on diverse phenotypic traits affecting fitness. Maternal stress may thus have carry-over effects on progeny if it influences pre-natal offspring environment in terms of glucocorticosteroid concentration, although this hypothesis has never been tested in any species under field conditions. We manipulated stress experienced by female barn swallows Hirundo rustica, by exposing them to a predator during laying and measured egg corticosterone concentration. Stressed females laid eggs with greater corticosterone concentration than controls exposed to a herbivore. In another experiment, we injected physiological doses of corticosterone in the egg albumen and compared the phenotype of offspring originating from these eggs with their control siblings originating from either sham-inoculated or unmanipulated eggs and reared in the same nest. Eggs injected with corticosterone had lower hatchability and produced fledglings with smaller body size and slower plumage development than did control eggs. Nestling body size in our study population predicts long-term survival. Thus, maternal stress impaired offspring phenotype and viability by increasing transmission of glucocorticosteroids to the eggs. This study identifies a novel mechanism mediating early maternal effects whereby maternal stress affects offspring quality. These results are relevant to biological conservation because they disclose a mechanism that can link environmental conditions to population productivity and viability. Â© 2005 Wiley-Liss, Inc.",29,2,excluded,no green nest material
GNM_043,X.WOS.000813058300001,Specificity within bird-parasite-parasitoid food webs: A novel approach for evaluating potential biological control agents of the avian vampire fly,"Ramirez, Ismael E. and Causton, Charlotte E. and Gutierrez, George A. and Mosquera, Denis A. and Piedrahita, Paolo and Heimpel, George E.",JOURNAL OF APPLIED ECOLOGY,59,8,2189-2198,2022,10.1111/1365-2664.14235,"Quantitative food web analyses can provide insights into the specificity of consumers such as herbivores, parasites and parasitoids. Understanding such patterns can be useful in forecasting the potential benefits and risks of biological control agents being considered for introduction against invasive species. The avian vampire fly, Philornis downsi (Diptera: Muscidae), is a neotropical bird parasite that is invasive in the Galapagos Islands, where it is causing substantial mortality of endemic bird species. We used a novel in-field experimental food web approach within the native range of P. downsi in Ecuador to test the hypotheses that pupal parasitoids known to attack P. downsi specialize on members of the genus Philornis, which occur only in bird nests. We deployed pupae of non-Philornis fly species adjacent to bird nests to assess specificity of the parasitoids and used two indices to assess specificity: Resource Range (RR), which evaluates the breadth of host use, and Pair Difference Index (PDI), which evaluates interaction strength. The results revealed very strong compartmentalization within the guild of pupal fly parasitoids, with four species attacking only Philornis spp. Both specificity indices indicated significant levels of specificity towards the genus Philornis for two of these species: Conura annulifera and Trichopria sp. novus. We also assessed the specificity of the two dominant Philornis species attacking 11 bird species and preference of the two dominant parasitoid species for bird species. Although there was some significant preference for particular bird species by the Philornis spp., there was no indication that this drove specificity patterns by the parasitoids. Policy implications. Our results confirm previous laboratory studies indicating specificity by C. annulifera and support the hypothesis that this species would produce few, if any, nontarget impacts if released into Galapagos to suppress populations of the P. downsi. These results can inform an environmental risk assessment framework to guide governmental agencies in deliberation on potential field releases of parasitoids in the Galapagos Islands.",43,1,excluded,no green nest material
GNM_046,X.WOS.000744045600001,Cattle grazing in CRP grasslands during the nesting season: effects on avian abundance and diversity,"Wilson, Benjamin S. and Jensen, William E. and Houseman, Gregory R. and Jameson, Mary Liz and Reichenborn, Molly M. and Watson, D. Fraser and Morphew, Alex R. and Kjaer, Esben L.",JOURNAL OF WILDLIFE MANAGEMENT,86,2,NA,2022,10.1002/jwmg.22188,"The Conservation Reserve Program (CRP) is a primary tool for restoring grassland in the United States, in part as wildlife habitat, which has benefited declining grassland bird populations. Among potential mid-contract management practices used to maintain early-successional CRP grasslands, cattle grazing had been prohibited and is currently disincentivized during the primary nesting season for birds (much of the growing season), despite the important role that large herbivores historically played in structuring grassland ecosystems. Conservative grazing of CRP grasslands could increase spatial heterogeneity in vegetation structure and plant diversity, potentially supporting higher densities of some grassland bird species and higher bird diversity. Our objective was to determine the effect of experimental cattle grazing on species-specific relative abundance and occupancy, species diversity, and community dissimilarity of grassland birds on CRP grasslands across the longitudinal extent of Kansas, USA (a 63.5-cm precipitation gradient) during the 2017-2019 avian breeding seasons. Fifty-three of 108 fields were grazed by cattle during the growing seasons of 2017 and 2018 and all fields were rested from grazing in 2019. For all analyses, we examined separate model sets for semiarid western versus more mesic eastern Kansas. Using data from line transect surveys, we modeled relative abundances of 5 songbird species: grasshopper sparrow (Ammodramus savannarum), dickcissel (Spiza americana), eastern meadowlark (Sturnella magna), western meadowlark (Sturnella neglecta), and brown-headed cowbird (Molothrus ater). Grazing had delayed yet positive effects on abundances of grasshopper sparrow in western Kansas, and eastern meadowlark in eastern Kansas, but negative effects on dickcissel abundance in western Kansas and especially on burned fields in eastern Kansas. Somewhat counterintuitively, brown-headed cowbirds in western Kansas were more abundant on ungrazed versus grazed fields in the years after grazing began. In addition, we modeled multi-season occupancy of 3 gamebird species (ring-necked pheasant {[}Phasianus colcicus], northern bobwhite {[}Colinus virginianus], mourning dove [}Zenaida macroura]) and Henslow's sparrow (Centronyx henslowii); grazing did not affect occupancy of these species. In eastern Kansas, species diversity was highest in grazed, unburned fields. In western Kansas, bird communities in grazed and ungrazed fields were dissimilar, as determined from multivariate analysis. Though regionally variable, conservative stocking of cattle on CRP grasslands during the nesting season as a mid-contract management tool might increase bird species diversity by restructuring habitat that accommodates a greater variety of species and decreasing abundances of species associated with taller, denser stands of vegetation.",46,2,excluded,Not empirical
GNM_048,vanDis2021,"Color of Artificial Light at Night Affects Incubation Behavior in the Great Tit, Parus major","van Dis, N.E. and Spoelstra, K. and Visser, M.E. and Dominoni, D.M.",Frontiers in Ecology and Evolution,9,NA,NA,2021,10.3389/fevo.2021.728377,"Artificial light at night (ALAN) has been recognized as a biodiversity threat due to the drastic effects it can have on many organisms. In wild birds, artificial illumination alters many natural behaviors that are important for fitness, including chick provisioning. Although incubation is a key determinant of the early developmental environment, studies into the effects of ALAN on bird incubation behavior are lacking. We measured nest temperature in nest boxes of great tits during the incubation period in two consecutive years. Nest boxes were located in eight previously dark field sites that have been experimentally illuminated since 2012 with white, green, or red light, or were left dark. We tested if light treatment affected mean nest temperature, number of times birds leave the nest (off-bout frequency), and off-bout duration during the incubation period. Subsequently, we investigated if incubation behavior is related to fitness. We found that birds incubating in the white light during a cold, early spring had lower mean nest temperatures at the end of incubation, both during the day and during the night, compared to birds in the green light. Moreover, birds incubating in white light took fewer off-bouts, but off-bouts were on average longer. The opposite was true for birds breeding in the green light. Low incubation temperatures and few but long off-bouts can have severe consequences for developing embryos. In our study, eggs from birds that took on average few off-bouts needed more incubation days to hatch compared to eggs from birds that took many off-bouts. Nevertheless, we found no clear fitness effects of light treatment or incubation behavior on the number of hatchlings or hatchling weight. Our results add to the growing body of literature that shows that effects of ALAN can be subtle, can differ due to the spectral composition of light, and can be year-dependent. These subtle alterations of natural behaviors might not have severe fitness consequences in the short-term. However, in the long term they could add up, negatively affecting parent condition and survival as well as offspring recruitment, especially in urban environments where more environmental pollutants are present. Â© Copyright Â© 2021 van Dis, Spoelstra, Visser and Dominoni.",48,2,excluded,no green nest material
GNM_049,X.WOS.000691555000002,Surveys on detritivorous moths using bait traps in Japan,"Goto, Kiyoshiro and Yagi, Sadahisa and Oku, Johei and Tomura, Shunsuke and Yamaguchi, Daisuke and Hirowatari, Toshiya",JOURNAL OF ASIA-PACIFIC BIODIVERSITY,14,3,386-398,2021,10.1016/j.japb.2021.03.011,"Surveys on detritivorous moths were carried out at three locations in Kyushu, Japan, in 2019, using bait traps. The trap material consisted of dead leaves or rice straw, baited with dog food, chicken manure, or bat guano. A total of 293 moth individuals, comprising 25 species belonging to 17 families, were trapped during the experiment. The emerged moths included 285 detritivore individuals of 17 species in nine families and eight herbivore individuals of eight different families. Most moth individuals emerged from the traps made of dead leaves with dog food, which contains several nutrients, as the bait. Of these individuals, species such as Phaeoses sp. (Tineidae) and Pyralis farinalis(Pyralidae), which often emerge from bird nests but are difficult to collect, were also found. This is the first study to collect detritivorous moths using traps with different baits. (c) 2021 National Science Museum of Korea (NSMK) and Korea National Arboretum (KNA), Publishing Services by Elsevier. This is an open access article under the CC BY-NC-ND license (http:// creativecommons.org/licenses/by-nc-nd/4.0/).",49,2,excluded,Not birds
