"paper_id","label","title","author","journal","volume","number","pages","year","doi","abstract","search_duplicated","n_duplicates","screened_abstracts","notes"
"GNM_200","Karnup2020115","Mapping of spinal interneurons involved in regulation of the lower urinary tract in juvenile male rats","Karnup, S.V. and De Groat, W.C.","IBRO Reports","9",NA,"115-131",2020,"10.1016/j.ibror.2020.07.002","Coordination between the urinary bladder (BL) and external urethral sphincter (EUS) is necessary for storage and elimination of urine. In rats interneuronal circuits at two levels of the spinal cord (i.e., L6-S1 and L3-L4) play an important role in this coordination. In the present experiments retrograde trans-synaptic transport of pseudorabies virus (PRV) encoding fluorescent markers (GFP and RFP) was used to trace these circuits. To examine the relative localization of EUS-related and BL-related interneuronal populations we injected PRV-GFP into the EUS and PRV-RFP into the BL wall. The PRV infected populations of spinal interneurons were localized primarily in the dorsal commissure (DCM) of L6/S1 and in a hypothesized lumbar spinal coordinating center (LSCC) in L3/L4 above and lateral to central canal (CC). At both sites colocalization of markers occurred in a substantial number of labeled interneurons indicating concomitant involvement of these double-labelled neurons in the EUS- and BL-circuits and suggesting their role in EUS-BL coordination. Intense GFP or RFP fluorescent was detected in a subpopulation of cells at both sites suggesting that they were infected earlier and therefore likely to represent first order, primary interneurons that directly synapse with output neurons. Larger numbers of weakly fluorescent neurons that likely represent second order interneurons were also identified. Within the population of EUS-related first order interneurons only 3â€“8 % exhibited positive immunoreaction for an early transcription factor Pax2 specific to GABAergic and glycinergic inhibitory neurons suggesting that the majority of interneurons in DCM and LSCC projecting directly to the EUS motoneurons are excitatory. Â© 2020 The Author(s)",199,1,"excluded","Not birds"
"GNM_291","Morales2008227","Pigment allocation to eggs decreases plasma antioxidants in a songbird","Morales, J. and Velando, A. and Moreno, J.","Behavioral Ecology and Sociobiology","63","2","227-233",2008,"10.1007/s00265-008-0653-x","Although evidence is accumulating on the adaptive function of female ornamentation, very little is known about maternal allocation decisions involving sexual signaling and other reproductive functions. Blue egg coloration has been suggested as a sexually selected signal of female quality to males, and some recent studies are in accordance with this hypothesis. Blue eggshell coloration results from the deposition of biliverdin pigment by laying females, which is a potent antioxidant. Thus, egg pigmentation should be costly in terms of antioxidants, an assumption of the signaling hypothesis that has not been tested yet. We induced increased reproductive effort in a set of female pied flycatchers Ficedula hypoleuca through nest removal and measured egg pigmentation and plasma antioxidant levels in relation with a control group. Experimental females showed a negative association between egg color and plasma antioxidant levels, while there was no relationship for control birds. This supports that egg pigmentation is costly in terms of general antioxidant defenses and suggests a tradeoff between the allocations to both traits. Furthermore, experimental females with more colorful eggs raised more fledglings, especially when breeding early. Controls did not show a relationship between egg color and reproductive success. Females laying more colorful eggs could have shifted their allocation decisions towards current reproduction, at the expense of their own antioxidant defenses. Our results highlight that blue egg coloration is a life-history trait, subject to tradeoffs with other attributes, and seems to be especially informative under harsh breeding conditions. Â© 2008 Springer-Verlag.",293,1,"excluded","No green nest material"
"GNM_340","Trust1994821","Effects of 7,12â€�dimethylbenz[A]anthracene on immune function and mixedâ€�function oxygenase activity in the european starling","Trust, K.A. and Hooper, M.J. and Fairbrother, A.","Environmental Toxicology and Chemistry","13","5","821-830",1994,"10.1002/etc.5620130518","Immune function and hepatic MFO activity were examined in adult and nestling starlings administered a synthetic PAH, 7,12â€�dimethylbenz[a]anthracene (DMBA). Methods used to examine the starling immune system included immunopaâ€�thology, macrophage phagocytosis, lymphocyte blastogenesis to concanavalin A, and hemagglutination of sheep erythrocytes (SRBC). Concomitant investigations of MFO activity were conducted in starlings exposed to DMBA. Ethoxyresorufin Oâ€�dealkylase (EROD) and pentoxyresorufin Oâ€�depentylase (PROD) were used as indicators of hepatic MFO activity. Changes in MFO activity were compared to chemically altered immune responses following DMBA exposure. Subcutaneous exposure of adult starlings to 125 mg/kg DMBA resulted in suppression of lymphocyte blastogenesis and antibody production to SRBC. EROD and PROD activity were increased 2.8â€� and 3.4â€�fold, respectively. Lymphocyte blastogenesis was impaired in adult starlings orally exposed to 125 mg/kg DMBA. The immune system of nestling starlings exposed orally to 100 mg/kg DMBA was altered, as evidenced by decreased phagocytic ability of macrophages and inhibition of lymphocyte blastogenesis. Oral exposure to DMBA did not induce MFO activity in starlings of either age class. Effects of DMBA on immune function and MFO activity in starlings varied with the age of birds and route and length of chemical exposure. Copyright Â© 1994 SETAC",344,1,"excluded","No green nest material"
"GNM_259","NoAuthor2014","2013 International Conference on Human Health and Medical Engineering, HHME 2013",NA,"WIT Transactions on Biomedicine and Health","18",NA,NA,2014,NA,"The proceedings contain 169 papers. The special focus in this conference is on Human Health and Medical Engineering. The topics include: Study on formulation of hemorrhoids and the mechanism of acupuncture by means of acupuncture combined with trimming hands and feet; expression and clinical significance of E-cadherin and MMP-2 in human colorectal carcinoma; finite element modeling of internal carotid siphon segment based on CT data; based on the genetic algorithm to optimize the BP neural network of knee osteoarthritis diagnosed; improved medical image registration based on mutual information and gradient information; risk factors, microbiological data, and cost of stroke-associated pneumonia; development of portable surface Plasmon resonance biochemical sensing system based on fixed optical structure for field use; muscle ultrasound as a diagnostic tool in neuromuscular diseases; a review of the methods to assess cerebral autoregulation; transcranial sonography for the diagnosis of Parkinson's disease; the study of cerebral autoregulation in patients with severe carotid artery stenosis or occlusions; isomap algorithm for visualization of microarray data; a rat model of methamphetamine reinstatement behavior induced by methamphetamine-priming; permanent bilateral subclavian steal syndrome; relationship between blood pressure and prognosis in patients in the acute stage of intracerebral hemorrhage; experimental research of explosive blast brain injury within closed environment; the anti-inflammatory effect of external use and the impact on scalded mice model of arisaema; effect of total alkali in Leonuri Herba in rabbit ear acne model; the study of near infrared spectral characteristics of knee osteoarthritis; stellate ganglion block for the treatment of breast cancer-related lymphedema in breast cancer survivors; the effect of substrate stiffness on wound repair cells; the design and implementation of clinical pathway based on MVC framework; the study on mechanics characteristics of lumbar disk under the condition of bending; cascade pulse coupled neural network for multimodal medical image fusion; the suspected encephalitis of globoid cell leukodystrophy; nursing care of skin defect repaired by the bridge cross flaps transplant in perioperative period; detection of P16 and APC gene methylation in peripheral blood with liver cancer patients; fixation of ozone and used as therapeutic agent in medicine; structure and function of ubiquitin-conjugating enzymes; D-arabitol dehydrogenase and xylitol dehydrogenase for microbial production of xylitol; development of an RP-HPLC method for evaluation of the content of cefotiam hydrochloride for injection; DNA binding and cytotoxic activity of two isomers of nitrosylruthenium complex; genomewide expression profile analysis in different TNM stages of lung adenocarcinoma; a method of clinical EEG signals analysis based on the symbolic entropy; a model of recognition for human pulse wave types by the BP neural network; the protective effect of reduced glutathione on cadmium-induced DNA double-strand breaks; optimize the prescription compatibility of the dachengqi decoction based on partial least squares regression; research on the quality of formula granule of liquidambaris fructus; study on sludge reduction of a new uncoupler in A/O process; prediction of chaotic EEG signal using multiple wavelet neural network; the effects of different host plants on the components and DNA of the herbal plants of Cuscuta; topical anti-inflammatory effects of aloe Vera juice; DNA damage and effects on antioxidative enzymes in mouse marrow induced by Berberine; liquichip detection technique of chloramphenieol residue in aquatic products; identification study using Fourier transform infrared spectroscopy for several herbs of the genus selaginella; research the prescription compatibility of the dachengqi decoction using partial least squares and multi-objective optimization; mathematical modeling and computer simulation of cellulose production; research and development of self-organized protocol in wireless body area network; the synergistic effect of glucocorticoid on the mesenteric microcirculation in hemorrhagic shock rat; computer simulation of synergistic effects in enzymatic hydrolysis of cellulose; modeling and computer simulation of early pulse aeration effects on ethanol fermentation; toxicity comparison of Para-halogenated diphenyl ethers from views of polarizability and frontier molecular orbital; 16 PAHs identification combined with Raman and infrared spectra signature through density functional theory; the observation of pollen viability and pollen tube germination in limonium bicolor; influence of temperature fluctuation on rice tillering and corresponding characteristics of DUS test; the application of PBL model in teaching of molecular biology; a biomechanical study of the dynamic behavior of the organ of Corti; the process optimization of natto by using mixed beans; adsorption of biological active alkaloid from traditional Chinese medicine on benzothiazolium ionic liquid-supported silica; the expression of PI3K, AKT, and PTEN in medulloblastoma; periodic changes of the pulsatility index of the cerebral artery by transcranial Doppler sonography as a clue for leptomeningeal carcinoma; reintroduction of Epstein-Barr virus in nasopharyngeal carcinoma cell lines visulized by GFP; neurosyphilis presenting as brainstem encephalitis and myelitis; antitumor activity of different fractions of cynanchum komarocii in vitro; markerless deletion of a rhodanese in acidithiobacillus caldus MTH-04; hepatoid adenocarcinoma of the esophagus with dysphagia as initial symptom; effects of polymerized whey protein on physicochemical and textural properties of Chinese style Greek yoghurt; quantitative sandwich ELISA for the determination of walnut protein in foods; MicroRNAs expression signature in human lung cancer cell; study on immunogenicity and protective efficacy of a new vaccine expressing Ag85B and MPT83 fusion protein from mycobacterium tuberculosis; changes of nissl bodies and expression of NeuN in hippocampus of rats with vascular dementia; antitumor and immunoregulation effects of black garlic extract on H22 xenografts; screening of an algicidal bacteria A-4 and the exploration of its algicidal effect; degradation of orange II over sulforhodamine B (SRB) sensitized TiO2 under visible irradiation; optimization of curcin expression conditions; UVC-induced damage in mouse spleen lymphocytes and anti-radiation effect of exogenous nucleotides; the c-met signaling pathway; neuroprotective effects of honghua on oxygen-glucose deprivation in PC12 cells; neuroprotective effects of Smad7-siRNA on oxygen-glucose deprivation (OGD) in PC12 cells; function mechanism influenced by emotion and mood in the construction of an effective learning system; groundwater quality and pollution evaluation in Xinjiang plain area; the influence of metallic foreign bodies in body after firearm wound; research on rehabilitation training control based on virtual force feedback; preference strategies of prevention and control of noninfectious chronic disease against the background of the new health care reform in China; study on zoning methods in chemical accident emergency rescue; analysis of the emergency response on kaixian gas well blowout accident; study on characteristics of chemical terrorist attack on subway station and its handling; activated sludge degradation of oil; the influence of temperature on the storage quality of postharvest white celery; a survey of brain fitness products consumption practices among high school students; preliminary study on removal of nitrate nitrogen in aqueous samples by microbial nano-silica ball; an empirical analysis of relationship between environmental protection and economic development in China; model experimental study on heat flow distribution of single room fire in underground engineering; the effects of environmental electromagnetic radiation on college students' peripheral blood cells; wastewater irrigation and associated risks to public health; problems and countermeasures of medical waste management and disposal in China; investigation of toxicological effects caused by gamma radiation delivered by different dose rates; main organic pollutants migration and transformation laws in sewage sludge landfill and composting process; the research on cyclists knee and hip forces at different saddle heights; the study on physical and mental health of the empty nest elderly; an investigation on psychological health education mode for senior nursing majors in universities; a correlation research on procrastination and self-efficacy in nursing students; health education intervention for diabetic elderly patients in community; the study of current situation in nursing care at elderly welfare institution in Jilin province; development of stevioside cake with high dietary fiber and low sugar; a survey and analysis on the mental state of the expectant mothers at hospital; analysis and simulation of the corporate pharmaceutical patent infringement litigation warning indicator system and effect of motor relearning program on recovery of event-related potential of cerebral infarction.",255,1,"excluded","Not birds"
"GNM_272","Zhang20120659","Nest-box color preference and reproductive success of great tit","Zhang, K. and Deng, Q. and Liu, J. and Jiang, S. and Zhang, Z. and Li, W. and Zhao, F. and Yao, Q. and Lou, Y. and Gao, W.","Shengtai Xuebao/ Acta Ecologica Sinica","32","2","0659-0662",2012,"10.5846/stxb201011301706","To investigate the color preference of Great Tit in nest-box selection and its impact on reproductive efficiency, experiments were conducted by hanging black, blue, green, white, and red nest-boxes in Zuojia Natural Reserve, Jilin Province, from March to July in each year of four consecutive years (2007-2010). Occupancy status of the boxes and reproductive parameters of the birds were recorded and analyzed. Occupancy rate of red boxes was compared to the average of the boxes in other colors pooled together. The occupancy rate of red nest-boxes was significantly higher than the average of all other colors combined for year 2007 (Ï‡2 =5. 51,df =1,0. 01&lt;P&lt;0. 05), 2008 (Ï‡2 =5. 51,df =1, 0. 01&lt;P&lt;0. 05) and 2010 (Ï‡2 =4. 65,df =1,0. 01&lt;P&lt;0. 05). An exception was found in 2009 when boxes with noticeable faded red color were used and resulted in a lower (Ï‡2 =4. 99,df =1, 0. 01&lt;P&lt;0. 05) occupancy rate than the average of nest-boxes in other colors. All these indicate that great tits do prefer the red-color nest boxes to the boxes of other colors. For breeding efficiency, there was no significant difference in clutch size among boxes of different colors in each year. The clutch size of red nest boxes was numerically lower than each of the other colors in 2010, but for the rest of the years it was numerically higher. The fledging number for red nest-boxes was significantly higher than the boxes of any other colors. When the mean of red color boxes was compared to the mean of all other colors pooled together, no significant difference was found between the clutch size of red nest-boxes and the average of all nest-boxes of other colors (F =1. 68, df =1, P =0. 59), however the red nest-boxes had significant higher fledging number than the average of all nest-boxes of other colors (F =17. 65, df =1, P =0. 04). In conclusion, Great Tit prefers nest-boxes in red color, and red nest-boxes have higher occupancy rate and fledging number than the average of all nest-boxes of other colors.",270,1,"excluded","No green nest material"
"GNM_122","Mart.U.00C3..U.00AD.n.Vivaldi2009191","Seasonal, sexual and developmental differences in hoopoe Upupa epops preen gland morphology and secretions: Evidence for a role of bacteria","MartÃ­n-Vivaldi, M. and Ruiz-RodrÃ­guez, M. and Soler, J.J. and Peralta-SÃ¡nchez, J.M. and MÃ©ndez, M. and Valdivia, E. and MartÃ­n-Platero, A.M. and MartÃ­nez-Bueno, M.","Journal of Avian Biology","40","2","191-205",2009,"10.1111/j.1600-048X.2009.04393.x","The uropygial glands of birds serve multiple functions, and there is great interspecific variability in the composition and properties of their secretions. A special case is the secretion in the hoopoes Upupa epops, and green woodhoopoes Phoeniculus purpureus, which, contrary to the commonly white and odourless secretions, are dark with pungent odour. Recently, bacteria have been isolated from glands of both woodhoopoes and hoopoes and here we test the hypothesis that bacteria are responsible of some of the special properties of glands and secretions of this group of birds. We explore natural seasonal changes and intersexual differences in the properties of hoopoe glands and secretions, check the natural occurrence of bacteria within secretions, and analyse the effect of experimental injection of antibiotics on uropygial gland properties. Male glands underwent no seasonal changes, and their secretions were invariably white and odourless, very similar to female glands outside the breeding season. However, in comparison to the uropygial gland of non-breeding females, those of incubating females showed a marked increase in size and volume of secretion produced, which became dark and pungent. All these parameters increased until the hatching date and returned to values similar to those in the prelaying phase towards the end of the nestling period. Nestling glands produced secretions similar to those of females in colour and odour. Gland size of both females and nestlings predicted the amount of secretion produced. Microscopic techniques confirmed the presence of bacteria at high density and in active division in all dark secretions examined. The antibiotic treatment significantly reduced the load of enterococci in nestling glands, did not affect size of glands, but diminished the volume of secretion, which was lighter in colour than that of control nestlings. In nesting females, the experimental injection of antibiotic affected some measurements of gland size and secretion colour. Because the experiment did not affect general health estimates (immunocompetence, body condition or growing) of nestlings, our results suggest that some of the special properties of hoopoe glands are mediated by the presence of symbiotic bacteria. Â© 2009 The Authors.",122,2,"excluded","No green nest material"
"GNM_234","Dobbs2016899","Naturalized habitat on golf courses: source or sink for natural enemies and conservation biological control?","Dobbs, E.K. and Potter, D.A.","Urban Ecosystems","19","2","899-914",2016,"10.1007/s11252-015-0521-1","Many golf courses are converting out-of-play areas to meadow-like habitat to reduce mowing, irrigation, and chemical inputs. Such naturalized roughs, which often constitute 50Â % or more of a courseâ€™s total acreage, support biodiversity by providing habitat for pollinators and other wildlife. This study explored the hypothesis that they also serve as reservoirs of invertebrate natural enemies whose services extend to suppress pests in adjacent mowed turf. We used vacuum sampling, pitfall traps, and ant baits to compare arthropod populations in grassland or meadow-type naturalized roughs and traditional mowed roughs at two courses, and tested for spillover of biological control using sentinel eggs or larvae of a grass-feeding caterpillar exposed near or farther from naturalized areas into mowed turf. Although some natural enemies (e.g., spiders) were more abundant in naturalized roughs, we saw no direct spillover of predation which was quite high regardless of habitat type. Most likely that is because ground-nesting ants (Lasius, Solenopsis, and Pheidole spp.), which are dominant predators in this system, were equally or more abundant in the mowed turfgrass. Herbivorous insects, too, were more abundant in naturalized roughs, so prey availability may discourage solitary ground-dwelling predators from leaving those refuges to forage in mowed areas. There was no parasitism of sentinel eggs or larvae in our trials. Despite absence of direct spillover of predation, we argue that naturalized roughs might be more purposely designed and managed to promote parasitoids, insectivorous birds, and other enemies that provide diffuse biological control services elsewhere on the course. Â© 2016, Springer Science+Business Media New York.",231,1,"excluded","Not birds"
"GNM_021","X.WOS.000289042100009","Effect of different amounts of pansy and nettle in feed mixtures for chickens on physical, chemical and strength parameters of their bones","Kwiecien, Malgorzata and Jaskiewicz, Teresa","MEDYCYNA WETERYNARYJNA","67","4","258-262",2011,NA,"The aim of the present study was to determine the effect of an herbal supplement used in feed mixtures on the selected physical features and the chemical composition of broiler chickens' bones in reference to antibiotic growth promoter. The experimental material was provided by 180 ROSS broiler chickens. One-day-old nestlings were divided randomly into 2 control groups and 4 experimental groups, in three replications, 10 birds each. The feed mixtures (Starter and Grower/Finisher types) were made of corn and extracted soy meal and they also contained fodder yeast, soy oil, mineral additives, premixes (with an addition of growth promoters or without) and an addition of dried green forage or dried herbs. The mechanical properties of the bones were determined on the basis of the three-point bend test performed with the use of an Instron 4302 apparatus coupled with a computer. The test registers as a graph the dependence between the force acting perpendicularly to the long axis of the bone and its deformation. An examination was performed to determine maximum force, and the maximum elasticity force. The studies revealed that both the type and the amount of the herbs determined chickens' growth and the physical and strength properties of their bones. The most beneficial effects were observed in feeding birds mixtures containing 1\% of pansy, since the values noted for all traits and indices were not worse than the effects obtained in the control group receiving antibiotic growth promoter, and in some cases they were even higher. The least positive results occurred in supplementing feed mixtures with 3\% of nettle.",21,2,"excluded","No green nest material"
"GNM_041","X.WOS.000792112800007","Detectability and predator strategy affect egg depredation rates: Implications for mitigating nest depredation in farmlands","Bravo, Carolina and Sarasa, Mathieu and Bretagnolle, Vincent and Pays, Olivier","SCIENCE OF THE TOTAL ENVIRONMENT","829",NA,NA,2022,"10.1016/j.scitotenv.2022.154558","Predation is a major evolutionary force in animal ecology. Mechanisms by which prey coloration provides camouflage has been widely studied. However, predator response to prey camouflage and concealment has received less attention. Understanding vegetation structure effect on depredation success could help managers design strategies to mitigate the depredation of managed species (e.g., threatened or hunted). We aimed to investigate the relationship between depredation rate, nest camouflage and concealment in ground-nesting birds of farmlands, and their predators. We set up an experiment of 2576 artificial ground nests to assess the role of egg coloration (white, light green, and dark green), egg size (small, medium, and large), and vegetation structure (vegetation height and land use) in nest survival rates. We also explored the role of predator searching strategies by analysing clumped depredation and multiple depredation events. Of the nests, 34.0\% were depredated, with corvids as the predators 78.5\% of the time. Corvid depredation decreased by 40-60\% in grasslands and spring crops above a vegetation height of 30 cm. In contrast, vegetation height and land use may be of far less importance in avoiding depredation by other predators. The probability of depredation was spatially clumped, suggesting that predators increase search effort in areas where a nest was previously encountered. Neighboring depredation and depredation repetition were more frequent in corvids than in other predators. Our study indicates that nests in vegetation higher than 30 cm had a drastic reduction in depredation rates by corvids. Management of vegetation structure is a key tool to mitigate depredation risk, and improving the availability of alternative food resources may be a complementary tool.",41,2,"excluded","No green nest material"
"GNM_223","Ghasemi.Kasman2018e462","In vivo conversion of astrocytes to myelinating cells by miR-302/367 and valproate to enhance myelin repair","Ghasemi-Kasman, M. and Zare, L. and Baharvand, H. and Javan, M.","Journal of Tissue Engineering and Regenerative Medicine","12","1","e462-e472",2018,"10.1002/term.2276","Enhancement of repair potential for degenerative brain diseases has been a research priority during recent years. Considering recent advancements in the field of direct transdifferentiation, conversion of astrocytes as a prominent component of glial scars to the progenitor cells that contribute to the repair mechanisms seems interesting. Recently, we have reported miR-302/367-mediated in vivo conversion of astrocytes into neuroblasts and neurons. In the current study, we used miR-302/367 and valproate (VPA) to show the possibility of conversion of astrocytes to oligodendrocyte progenitor cells and myelinating cells in a cuprizone (CPZ)-induced model of demyelination. Evaluation of behavioural impairment following CPZ and consequent to the treatments showed functional recovery from impairments. Enhanced remyelination was detected by luxol fast blue staining and immunostaining against two mature myelin markers, myelin basic protein and proteolipid protein. Tracing of transduced cells with green fluorescent protein showed their contribution toward generation of new myelinating cells. These findings have suggested that in vivo specific targeting of astrocytes for forced expression of the miR-302/367 cluster and VPA administration may increase the brain's potential for repairing myelin insults by the generation of oligodendroglia from astrocytes. This finding may open a new avenue for enhancement of brain repair in neurodegenerative diseases such as multiple sclerosis. Copyright Â© 2017 John Wiley & Sons, Ltd. Copyright Â© 2017 John Wiley & Sons, Ltd.",220,1,"excluded","Not birds"
