"paper_id","label","title","author","journal","volume","number","pages","year","doi","abstract","search_duplicated","n_duplicates","screened_final","notes_final"
"GNM_324","Yauk2000211","Induced minisatellite germline mutations in herring gulls (Larus argentatus) living near steel mills","Yauk, C.L. and Fox, G.A. and McCarry, B.E. and Quinn, J.S.","Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis","452","2","211-218",2000,"10.1016/S0027-5107(00)00093-2","Despite widespread industrial release of genotoxic contaminants, little is understood of their role in inducing germline mutations in natural populations. We used multilocus DNA fingerprinting to quantify germline minisatellite mutations in families of herring gulls (Larus argentatus) in three nesting categories: (a) near cities with large steel mills operating coking ovens; (b) near cities without steel mills; and (c) in rural locations removed from point sources of contamination. Gulls nesting near integrated steel mills showed significantly higher mutation rates than gulls from rural locations (Fisher's exact, P = 0.0004); urban sites without steel mills fell midway between steel and rural sites (difference from rural; Fisher's exact, P = 0.19). Distance of the nesting location of herring gulls from the steel industries' coking ovens was negatively correlated with minisatellite mutation rate demonstrating significant risk for induced germline mutations in cities with steel operations (Kendall Tau; Ï„ = 0.119; P < 0.0001). (C) 2000 Elsevier Science B.V.",327,1,"excluded","No green nest material"
"GNM_167","X.WOS.000166152300004","Experimental evidence of a testosterone-induced shift from paternal to mating behaviour in a facultatively polygynous songbird","De Ridder, E and Pinxten, R and Eens, M","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","49","1","24-30",2000,"10.1007/s002650000266","Previous studies have suggested that testosterone (T) profiles of male birds reflect a trade-off between mate attraction behaviours (requiring high T levels) and parental care activities (requiring low T levels). In this study, we experimentally elevated T levels of monogamous males in the facultatively polygynous European starling (Sturnus vulgaris), and compared mate attraction and paternal behaviour of T-treated males with those of controls (C-males). T-males significantly reduced their participation in incubation and fed nestlings significantly less often than C-males. Females paired to T-treated males did not compensate for their mate's lower paternal effort. The observed reduction in a male's investment in incubating the eggs was accompanied by an increased investment in typical female-attracting behaviour: T-males spent a significantly higher proportion of their time singing to attract additional females. They also occupied more additional nestboxes than C-males, although the differences just failed to be significant, and carried significantly more green nesting materials into an additional nestbox (a behaviour previously shown to serve a courtship function). T-males also behaved significantly more aggressively than C-males. During the nestling period, the frequency of mate-attracting behaviours by T-treated and control males no longer differed significantly. Despite the reduced paternal effort by T-males and the lack of compensation behaviour by females, hatching and breeding success did not differ significantly between T- and C-pairs.",167,2,"excluded","No green nest material"
"GNM_129","X.WOS.000254537900042","Spectroscopy and implosion dynamics of low wire number nested arrays on the 1 MA COBRA generator","Safronova, A. S. and Kantsyrev, V. L. and Esaulov, A. A. and Ouart, N. D. and Yilmaz, M. F. and Williamson, K. M. and Shrestha, I. and Osborne, G. C. and Greenly, J. B. and Chandler, K. M. and McBride, R. D. and Chalenski, D. A. and Hammer, D. A. and Kusse, B. R. and LePell, P. D.","PHYSICS OF PLASMAS","15","3",NA,2008,"10.1063/1.2888520","Low wire number nested array Z-pinch experiments have been carried out with wires made of aluminum, stainless steel (uniform), and combinations of these two materials (mixed) on the 1 MA COBRA generator at Cornell University {[}J. D. Douglass, J. B. Greenly, D. A. Hammer et al., in Proceedings of the 15th IEEE International Pulsed Power Conference (IEEE, Piscataway, NJ, 2005)]. The outer array consisted of eight wires, whereas the inner array had four or eight wires. The 10 mu m Al wires were alloy 5056 and the 6.25 mu m stainless steel wires were alloy SS304. The diagnostic suite included fast-x-ray and extreme ultraviolet (EUV) detectors, a time-gated x-ray pinhole camera, x-ray spectrometers, and laser shadow imaging. The main focus was made on the spectroscopic study of plasma evolution after the main x-ray burst though the data from photoconducting detector (PCD) and EUV signals over the whole period of current, and in addition laser shadowgraphy images before the main x-ray burst were analyzed. Modeling of the time-gated spectra recorded after the main x-ray burst indicates that the electron temperature Te either follows the PCD signals and peaks at times of the second (and the third if present) x-ray burst or has the higher value at the first frame (closest to the main x-ray burst), then slightly changes and increases at the last frame, which coincides with the second maximum of the current. It was also found that the values of Te never drop below 150 eV, and the EUV signal remains intense even when the PCD signal is almost zero. (C) 2008 American Institute of Physics.",129,2,"excluded","Out of field"
"GNM_299","Sang2007190","Dynamic features of postnatal subventricular zone cell motility: A two-photon time-lapse study","Sang, C.N. and Kim, Y. and Dryanovski, D. and Walker, A. and Goings, G. and Woolfrey, K. and Seong, S.K. and Chu, C. and Chenn, A. and Erdelyi, F. and Szabo, G. and Hockberger, P. and Szele, F.G.","Journal of Comparative Neurology","505","2","190-208",2007,"10.1002/cne.21473","Neuroblasts migrate long distances in the postnatal subventricular zone (SVZ) and rostral migratory stream (RMS) to the olfactory bulbs. Many fundamental features of SVZ migration are still poorly understood, and we addressed several important questions using two-photon time-lapse microscopy of brain slices from postnatal and adult eGFP+ transgenic mice. 1) Longitudinal arrays of neuroblasts, so-called chain migration, have never been dynamically visualized in situ. We found that neuroblasts expressing doublecortin-eGFP (Dcx-eGFP) and glutamic acid decarboxylase-eGFP (Gad-eGFP) remained within arrays, which maintained their shape for many hours, despite the fact that there was a wide variety of movement within arrays. 2) In the dorsal SVZ, neuroblasts migrated rostrocaudally as expected, but migration shifted to dorsoventral orientations throughout ventral regions of the lateral ventricle. 3) Whereas polarized bipolar morphology has been a gold standard for inferring migration in histologic sections, our data indicated that migratory morphology was not predictive of motility. 4) Is there local motility in addition to long distance migration? 5) How fast is SVZ migration? Unexpectedly, one-third of motile neuroblasts moved locally in complex exploratory patterns and at average speeds slower than long distance movement. 6) Finally, we tested, and disproved, the hypothesis that all motile cells in the SVZ express doublecortin, indicating that Dcx is not required for migration of all SVZ cell types. These data show that cell motility in the SVZ and RMS is far more complex then previously thought and involves multiple cell types, behaviors, speeds, and directions. Â© 2007 Wiley-Liss, Inc.",302,1,"excluded","Out of field"
"GNM_270","Robinson2012141","Mechanisms of avian population decline and species loss in tropical forest fragments","Robinson, W.D. and Sherry, T.W.","Journal of Ornithology","153","SUPPL. 1","141-152",2012,"10.1007/s10336-011-0806-y","Even large fragments of tropical forest lose bird species over time. The speed of disappearance and permanence of these losses depend on a variety of factors, but the pattern of species loss appears more universal. We still do not understand the degree to which different mechanisms lead to population declines and local extinction in fragmented tropical landscapes. We review data currently available to evaluate three of the leading hypotheses, which include altered community dynamics producing mesopredator release and indirect effects of elevated herbivore populations; sensitivity of forest birds to altered microclimatic conditions in fragments, and the constraint of poor dispersal ability that reduces connectivity in fragmented landscapes. We find that all three mechanisms require additional study and suggest steps to be taken in future studies. Â© 2012 Dt. Ornithologen-Gesellschaft e.V.",267,1,"excluded","Not empirical"
"GNM_187","Mart.U.00C3..U.00AD.n.V.U.00C3..U.00A9.lez2022","Gulls living in cities as overlooked seed dispersers within and outside urban environments","MartÃ­n-VÃ©lez, V. and Montalvo, T. and AfÃ¡n, I. and SÃ¡nchez-MÃ¡rquez, A. and AymÃ­, R. and Figuerola, J. and Lovas-Kiss, Ã�. and Navarro, J.","Science of the Total Environment","823",NA,NA,2022,"10.1016/j.scitotenv.2022.153535","The yellow-legged gull is an opportunistic and generalist bird that has colonised urban areas, where it has found very favourable trophic resources but also causes disturbance to humans and damage to infrastructure. Here, we investigated the potential role that gulls play in the dispersal of plants in Barcelona, a highly populated city of north-eastern Spain. We analysed the stomach contents of 145 chicks collected in urban nests and reported the presence of seeds of 27 plant taxa. We then developed a plant dispersal model based on the movements of 20 GPS-tracked yellow-legged gulls breeding in the city of Barcelona. We estimated seed dispersal distances, seed shadows and percentage of seeds reaching habitats suitable for seeds regurgitated in pellets and those excreted in faeces. Seven of the 27 plant taxa found in the stomachs were alien taxa to Spain. Average dispersal distances of plant seeds by gulls were around 700 m, but maximum dispersal distances reached up to 35 km. Dispersal distances and seed spatial patterns did not differ between faeces and pellet models, as most strongly depended on gull movements. About 95% of the seeds were dispersed within urban environments and between 20 and 30% reached suitable habitats for seed deposition (urban woodlands, green urban parks and urban grasslands). Urban gulls frequently dispersed seeds (including alien species) within urban habitats, both via direct consumption or via secondary dispersal after consuming granivorous birds that had ingested the seeds, such as pigeons or parakeets. Urban planning for Barcelona is based on native plant species, and thus, special attention should be paid to alien plants dispersed by birds, which could pose a risk to native biodiversity in urban ecosystems. Â© 2022 The Authors",187,1,"excluded","Not experimental"
"GNM_307","Bouvier20052846","Effects of apple orchard management strategies on the great tit (Parus major) in southeastern France","Bouvier, J.-C. and Toubon, J.-F. and Boivin, T. and Sauphanor, B.","Environmental Toxicology and Chemistry","24","11","2846-2852",2005,"10.1897/04-588R1.1","The impact of conventional, organic, and integrated pest management (IPM) strategies of apple orchards on the reproduction of the great tit Parus major was investigated during a three-year period in southeastern France. The colonization process, egg-laying dates, clutch sizes, and fledging success were similar among pairs of P. major nesting in orchards conducted under the three studied management strategies. However, the mean number of young produced per ha (orchard productivity) was significantly higher in organic orchards than in both conventional and IPM orchards. Such divergences between both fledging success and orchard productivity primarily resulted from higher densities of P. major nesting pairs, but also from lower rates of nest abandonment during incubation in organic orchards. We suggest that intensive pesticide use under both IPM and conventional managements may have resulted in a substantial reduction in insect prey availability that enhanced intraspecific competition, which then led to failure in reproduction in pairs with low competitive ability. Our results highlight the relevance of P. major in assessing the environmental impact of apple orchard management strategies. Â© 2005 SETAC.",310,1,"excluded","No green nest material"
"GNM_085","X.WOS.000350353200006","A push-pull integrated pest management scheme for preventing use of parrot nest boxes by invasive Africanized honey bees","Efstathion and Caroline A. and Bardunias and Paul M. and Boyd and Janice D. and Kern and Jr. and William H.","JOURNAL OF FIELD ORNITHOLOGY","86","1","65-72",2015,"10.1111/jofo.12089","Africanized honey bees (Apis mellifera scutellata) compete with endangered parrots for nest boxes and can hamper conservation efforts. We tested an integrated pest management push-pull protocol in the Atlantic Forest in SAo Paulo, Brazil, in an effort to prevent bee swarms from colonizing nest boxes (N = 30 in the forest plus five in aviaries) meant for use by Vinaceous-breasted Amazons (Amazona vinacea). Fifteen parrot nest boxes were treated with a permethrin insecticide to push scout bees away and each parrot box was paired with a bee trap box containing a pheromone lure to pull bees. Over a 1-yr period (March 2013 to March 2014), 29 insect colonies moved into 18 of the 35 trap boxes. Nine Africanized honey bee, three native Jatai bee (Tetragonisca sp.), and 17 wasp colonies occupied trap boxes. Only one experimental push-pull pair untreated parrot box was invaded by bees and no parrot boxes in aviaries were colonized. Four of the parrot nest boxes were occupied by birds during our study. Although none were used by Vinaceous-breasted Amazons, Southern House Wrens (Troglodytes musculus), Green-winged Saltators (Saltator similis), and Plain Parakeets (Brotogeris tirica) nested in the boxes and all nests were successful. Although long-term studies are needed before drawing conclusions about the effectiveness of trap boxes, our results suggest that a push-pull protocol may prove useful for reducing the use of nest boxes meant for parrots and other cavity-nesting birds by Africanized honey bees and other insects. RESUMEN Un esquema integrada de alejar-atraer para el control de plagas para la prevencion del uso de cajas nido para loros por las abejas de miel Africanizadas invasoras Las abejas de miel Africanizadas (Apis mellifera scutellata) compiten con los loros en peligro de extincion para las cajas nido y puede impedir los esfuerzos de conservacion. Probamos un metodo integrado para el control de plagas, el protocolo de alejar-atraer, en el Bosque Atlantico, en SAo Paulo, Brasil, en un esfuerzo para evitar que los enjambres de abejas colonicen las cajas nido (N = 30 en el bosque, mas cinco en aviarios) destinadas a ser utilizadas por el loro Amazona Vinosa (Amazona vinacea). Quince cajas nido fueron tratados con una insecticida permetrina para alejar las abejas exploradoras de las cajas nido. Las cajas nido tambien fueron emparejada con una caja trampa para abejas, que contenia una feromona para atraer las abejas. Durante un periodo de un ano (marzo 2013 - marzo 2014), 29 colonias de insectos se trasladaron a 18 de las 35 cajas trampa para abejas. Nueve colonias abejas de miel Africanizada, tres colonias abejas nativo Jatai (Tetragonisca sp.) y 17 colonias de avispas ocuparon las cajas trampas. Solo un experimento caja nido, emparejada con el metodo alejar-atraer, fue invadida por las abejas y ninguna de las cajas nido en aviarios fueron colonizados por abejas. Cuatro de las cajas nido estaban ocupados por aves durante nuestro estudio. Aunque ninguno fue utilizado por el loro Amazona Vinosa, los nidos fueron anidados por el Chivirin Raton (Troglodytes musculus), el Pepitero Verdoso (Saltator similis) y la Catita Tirica (Brotogeris tirica) y todos los nidos fueron exitosos. Aunque se necesitan estudios a largo plazo antes de sacar conclusiones acerca de la efectividad de la caja trampa para abejas, nuestros resultados sugieren que un protocolo de alejar-atraer puede ser util para reducir el uso de nidos de loros, y otras aves, por las abejas de miel africanizadas y otros insectos.",85,2,"excluded","Not birds"
"GNM_277","Saxton2011233","Comparative behavioural responses of silvereyes (Zosterops lateralis) and European blackbirds (Turdus merula) to secondary metabolites in grapes","Saxton, V.P. and Mulder, I. and Creasy, G.L. and Paterson, A.M. and Ross, J.G. and Trought, M.C.T.","Austral Ecology","36","3","233-239",2011,"10.1111/j.1442-9993.2010.02142.x","Secondary metabolites in fruit are compounds that are not directly associated with plant growth; some are directly related to plant reproductive processes, specifically seed protection and dispersion. There is a complex and species-specific interaction between these plant compounds and their avian seed dispersers. To determine whether two important secondary metabolites in wine grapes - tannins and colour pigments - might be important cues to two of the avian species that forage on wine grapes, and how species-specific this interaction might be, comparative field experiments were run with Australasian silvereyes (Zosterops lateralis) and European blackbirds (Turdus merula). Both species were offered a glucose/fructose artificial nectar with increasing concentrations of grape tannins. In a second experiment, they were offered both green and purple artificial grapes where only the colour differed. Both species showed aversion to tannins; silvereyes appeared to have greater tolerance than blackbirds of tannin concentrations above 5%. In summer no preference was shown between green and purple coloured artificial grapes, but in late autumn blackbirds took only purple grapes whereas silvereyes pecked mostly at green. Links between tannin for seed protection and colour signals to birds are discussed. Colour may cue the two species to different species-specific aspects of fruit nutritive value. Â© 2010 The Authors. Journal compilation Â© 2010 Ecological Society of Australia.",275,1,"excluded","No green nest material"
"GNM_362","Heinz1985223","Contaminant levels in colonial waterbirds from Green Bay and Lake Michigan, 1975-80","Heinz, G.H. and Erdman, T.C. and Haseltine, S.D. and Stafford, C.","Environmental Monitoring and Assessment","5","3","223-236",1985,"10.1007/BF00394064","Residues of organochlorine pesticides, polychlorinated biphenyls (PCBs), polybrominated biphenyls (PBBs), polychlorinated styrenes (PCSs), and mercury were measured in the eggs of 10 species of colonial waterbirds nesting in areas around Green Bay or Lake Michigan from 1975 to 1980. Residues also were measured in the carcasses and brains of black-crowned night-herons (Nycticorax nycticorax). The highest residues were of PCBs, DDE, mercury, and dieldrin; for some species, levels of these chemicals possibly were high enough to have caused reproductive effects. Other organochlorine pesticides were found at low levels. Only trace amounts of PCSs and PBBs were found. Eggs of herring gulls (Larus argentatus) collected in 1977 from an island in Lake Michigan contained an average of 100 ppm PCBs and 33 ppm DDE; this was the most-contaminated species. Cattle egrets (Bubulcus ibis), the only bird that is not a fish eater, contained only small quantities of DDE and mercury. Â© 1985 D. Reidel Publishing Company.",366,1,"excluded","Not experimental"
