paper_id;label;title;author;journal;volume;number;pages;year;doi;abstract;search_duplicated;n_duplicates;screened_abstracts_SD;notes_SD;screened_abstracts_JMGS;notes_JMGS;resolution_discussion;screened_final;notes_final
GNM_004;X.WOS.000285340000010;Neural Correlates of Behavioural Olfactory Sensitivity Changes Seasonally in European Starlings;De Groof, Geert and Gwinner, Helga and Steiger, Silke and Kempenaers, Bart and Van der Linden, Annemie;PLOS ONE;5;12;NA;2010;10.1371/journal.pone.0014337;Background: Possibly due to the small size of the olfactory bulb (OB) as compared to rodents, it was generally believed that songbirds lack a well-developed sense of smell. This belief was recently revised by several studies showing that various bird species, including passerines, use olfaction in many respects of life. During courtship and nest building, male European starlings (Sturnus vulgaris) incorporate aromatic herbs that are rich in volatile compounds (e. g., milfoil, Achillea millefolium) into the nests and they use olfactory cues to identify these plants. Interestingly, European starlings show seasonal differences in their ability to respond to odour cues: odour sensitivity peaks during nest-building in the spring, but is almost non-existent during the non-breeding season. Methodology/Principal Findings: This study used repeated in vivo Manganese-enhanced MRI to quantify for the first time possible seasonal changes in the anatomy and activity of the OB in starling brains. We demonstrated that the OB of the starling exhibits a functional seasonal plasticity of certain plant odour specificity and that the OB is only able to detect milfoil odour during the breeding season. Volumetric analysis showed that this seasonal change in activity is not linked to a change in OB volume. By subsequently experimentally elevating testosterone (T) in half of the males during the non-breeding season we showed that the OB volume was increased compared to controls. Conclusions/Significance: By investigating the neural substrate of seasonal olfactory sensitivity changes we show that the starlings' OB loses its ability during the non-breeding season to detect a natural odour of a plant preferred as green nest material by male starlings. We found that testosterone, applied during the non-breeding season, does not restore the discriminatory ability of the OB but has an influence on its size.;4;2;excluded;No green nest material;selected;(not sure if they used green nest material as independent variable though);Select: main text says they use milfoil which is some form of green material/aromatic/etc;selected;
GNM_005;Gwinner2008971;Starling males select green nest material by olfaction using experience-independent and experience-dependent cues;Gwinner, H. and Berger, S.;Animal Behaviour;75;3;971-976;2008;10.1016/j.anbehav.2007.08.008;Male European starlings, Sturnus vulgaris, incorporate fresh volatile herbs into their nests. This behaviour is related to courtship but also benefits the nestlings. We tested in aviary experiments whether males select aromatic plants using olfaction and whether they depend on experience with nest odours they encountered as nestlings. We scented nests of wild starlings with milfoil, Achillea millefolium, a preferred nest plant of the starlings, and other control nests with vanilla. Fledglings from both nest types were hand-reared and tested the following year in dyadic choice experiments for their odour preference. Males from both milfoil- and vanilla-treated nests preferred milfoil scent when they had the choice between milfoil-scented versus vanilla-scented or versus unscented leaves. However, when they had to choose between vanilla scent and no scent, males from vanilla-treated nests chose vanilla scent but males from milfoil-treated nests did not discriminate. The disinterest of vanilla-inexperienced males in vanilla-scented leaves (when milfoil scent was lacking) and the preference for it in vanilla-experienced males implies learning during the nestling period. Because males discriminated between leaves of the same plant species looking the same but scented with different odours and because males without milfoil experience instantly preferred milfoil odour, we conclude that starlings use olfactory cues to select green nest material following an olfactory pattern designed prior to birth which may be supplemented by learning early in ontogeny. Â© 2007 The Association for the Study of Animal Behaviour.;5;2;excluded;"No green nest material
No direct manipulation of nest material but the scent of the plants";excluded;No green nest material (not as an independent variable but interesting to write the introduction).;;excluded;No green nest material
GNM_006;Yang2022;Light matters: Nest illumination alters egg rejection behavior in a cavity-nesting bird;Yang, C. and MÃ¸ller, A.P. and Liang, W.;Avian Research;13;NA;NA;2022;10.1016/j.avrs.2022.100016;Egg discrimination by cavity-nesting birds that build nests under dim light conditions was presumed to depend on nest luminance, although this hypothesis has rarely been tested. Tests of egg discrimination ability by cavity-nesting tits under dim light conditions may reveal the selection pressure from brood parasitism that they encounter under natural interactions. We manipulated the intensity of luminance of nests of the Green-backed Tit (Parus monticolus), a potential cuckoo host that possesses a strong discrimination ability of non-mimetic foreign eggs. We performed experiments to test their egg discrimination ability under different light conditions. Our results showed that Green-backed Tits discriminate against non-mimetic foreign eggs under normal light conditions in nest boxes, and this ability persisted at nest luminance as low as 4.78 â€‹Â± â€‹1.31 lux that is several times lower than normal luminance (38.11 â€‹Â± â€‹24.02 lux). However, egg discrimination by Green-backed Tits disappeared when nest luminance was reduced to a minimum of 0.35 â€‹Â± â€‹0.15 lux. The latter value represents total darkness for humans. The present study shows that nest luminance plays a key role in egg discrimination by Green-backed Tits that build nests under dim light conditions. This study provides strong experimental evidence for nest illumination altering egg rejection behavior in cavity-nesting birds. Â© 2022 The Authors;6;2;excluded;No green nest material;excluded;No green nest material;;excluded;No green nest material
GNM_007;BaniAssadi2021;The Influence of Different Light Wavelengths of Anthropogenic Light at Night on Nestling Development and the Timing of Post-fledge Movements in a Migratory Songbird;Bani Assadi, S. and Fraser, K.C.;Frontiers in Ecology and Evolution;9;NA;NA;2021;10.3389/fevo.2021.735112;Many different aspects of an animalâ€™s lifecycle such as its behavior, patterns of hormone activity, and internal clock time, can be affected by anthropogenic light at night (ALAN). Exposing an organism to ALAN during its early life could also have an impact on its development. Since photoperiod can trigger or schedule the migration timing of long-distance migratory birds, there is great potential for anthropogenic light to interact with photoperiod to affect timing. However, very little has been investigated regarding the impacts of ALAN on post-hatching development and migration timing. We investigated the impact of ALAN during nestling development in a long-distance migratory songbird to determine the potential impact on the timing of post-breeding movements in the wild. We experimentally manipulated the light by using programmable lighting, in the nest boxes of free-living nestlings of purple martin (Progne subis) in Manitoba, Canada. We exposed two groups of developing nestlings, from hatch to fledge date, to green or white LED lights (5 lux) during the night. We also included a control group that experienced natural, ambient light at night. We found that some adults abandoned their nests shortly after starting the experiment (4 of 15 nests in the white light treatment). For the nests that remained active, nestlings exposed to the white light treatment had higher weights (at day 20 or 22), later fledge dates (1.54 Â± 0.37, 95% CI 0.80â€“2.28), and later colony departure date (2.84 Â± 1.00, 95% CI 0.88â€“4.81), than young of the control group. Moreover, nestlings of both white and green light groups had longer nesting duration than nestlings of the control group. This study demonstrates the impact of ALAN on the development of post-breeding movement timing in nestlings of wild migratory birds. However, our results also indicate that green light may have less of an impact as compared to white light. Copyright Â© 2021 Bani Assadi and Fraser.;7;2;excluded;No green nest material;excluded;"No green nest material
";;excluded;No green nest material
GNM_008;X.WOS.000550365900018;Neither forest herbicides nor ambient temperature exert strong effects on reproductive output of a cavity-nesting songbird;Rivers, James W. and Jones, Kristin N. and Betts, Matthew;AVIAN CONSERVATION AND ECOLOGY;15;1;NA;2020;10.5751/ACE-01578-150118;Land management may combine with air temperature to influence the persistence of animal populations, so both must be evaluated in concert to understand how populations respond to increased forest management intensity and projected climate change. We used a large-scale study that experimentally manipulated herbicide application intensity within regenerating forests to test how herbicide-mediated changes in temperature influenced three components of reproductive output in the House Wren (Troglodytes aedon): nest survival, the number of offspring produced, and nestling body condition. We found no evidence for a consistent herbicide treatment effect on any reproductive measure, although our power to detect effects was modest. Relative to unsprayed controls, nest survival was lowest in the light herbicide treatment, and this measure increased on sites that were subjected to greater herbicide application (i.e., at moderate and intensive herbicide treatments), against our predictions. We also detected no evidence of a temperature effect singly or in combination with herbicide application on wren reproductive output. Although herbicide intensity was more influential on reproductive output than was temperature, we found that neither exerted strong effects in regenerating conifer forests. Given the dearth of studies that combine evaluations of temperature and land management impacts on songbird reproductive output, we suggest researchers continue to expand our understanding of the relative influence of both drivers simultaneously to better formulate conservation strategies in light of expected changes in climate and a heightened global demand for wood products.;8;1;excluded;No green nest material;excluded;No green nest material;;excluded;No green nest material
GNM_012;Rivers2017235;Success despite the stress: violet-green swallows increase glucocorticoids and maintain reproductive output despite experimental increases in flight costs;Rivers, J.W. and Newberry, G.N. and Schwarz, C.J. and Ardia, D.R.;Functional Ecology;31;1;235-244;2017;10.1111/1365-2435.12719;Glucocorticoid steroid hormones play a central role in regulating the metabolic state of animals, especially when they cope with unanticipated stressors in their environment. The cort-adaptation hypothesis predicts that baseline concentrations of glucocorticoids are adjusted upward to match energetic needs and promote fitness when individuals are faced with physiological challenges, including those associated with reproduction. We tested the cort-adaptation hypothesis in the violet-green swallow (Tachycineta thalassina) by experimentally increasing flight costs during the offspring rearing period. Individual females were assigned to one of three treatments: light feather clipping (removal of four wing feathers), heavy feather clipping (removal of eight wing feathers) or a sham-clip control. We measured baseline corticosterone and body mass immediately prior to implementing treatments during the offspring rearing period and then 10Â days after initial manipulations took place. We also quantified risk-taking behaviour, offspring feeding rate and the number of offspring fledged. Finally, we examined how treatments influenced offspring phenotype via measurements of nestling body mass and baseline corticosterone, as both measures have been associated with post-fledging survival. We found that handicapped females significantly increased baseline corticosterone between the two sampling periods, with the magnitude of change in the light clipping and heavy clipping treatments 2Â·5Ã— and 6Â·1Ã— greater than controls, respectively. All individuals lost mass between the two sampling periods, but the degree of loss was greater for females in both clipping treatments relative to unmanipulated controls. In contrast, we found no evidence of treatment differences in female risk-taking, offspring provisioning or in the number of offspring fledged. Offspring raised by females in both handicapped treatments did have significantly elevated baseline corticosterone relative to those in control broods, but we detected no treatment differences in offspring body mass. Our study found that handicapped females increased circulating glucocorticoids and were able to maintain critical parental care behaviours and raise a similar number of offspring as unmanipulated controls. Thus, increases in baseline cort of handicapped females appeared to have allowed them to maintain fitness despite increased physiological challenges, providing support for the cort-adaptation hypothesis. A Lay Summary is available for this article. Â© 2016 The Authors. Functional Ecology Â© 2016 British Ecological Society;12;2;excluded;No green nest material;excluded;"No green nest material
";;excluded;No green nest material
GNM_017;Scott.Baumann20151016;A review of the nest protection hypothesis: Does inclusion of fresh green plant material in birds' nests reduce parasite infestation?;Scott-Baumann, J.F. and Morgan, E.R.;Parasitology;142;8;1016-1023;2015;10.1017/S0031182015000189;"The use of aromatic plants and their essential oils for ectoparasite treatment is a field of growing interest. Several species of birds regularly introduce aromatic herbs into their nests putatively to reduce parasites. The behaviour is most often seen in cavity nesting birds and after nest building has finished. The plants are included in a non-structural manner and are often strongly aromatic. Various different hypotheses have been proposed regarding the function of this behaviour; from the plants altering some non-living factor in the nest (crypsis, water loss and insulation hypotheses) to them being involved in mate selection (mate hypothesis) or even having a beneficial effect, direct or indirect, on chicks (drug or nest protection hypothesis, NPH). Many studies have been carried out over the years observing and experimentally testing these hypotheses. This review focuses on studies involving the most popular of these hypotheses, the NPH: that plants decrease nest parasites or pathogens, thereby conveying positive effects to the chicks, allowing the behaviour to evolve. Studies providing observational evidence towards this hypothesis and those experimentally testing it are discussed. Â© Cambridge University Press 2015.";17;2;excluded;Not empirical;excluded;Not empirical;;excluded;Not empirical
GNM_022;X.WOS.000274307400003;Developmental plasticity varied with sex and position in hatching hierarchy in nestlings of the asynchronous European roller, Coracias garrulus;Parejo, Deseada and Silva, Nadia and Aviles, Jesus M. and Danchin, Etienne;BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY;99;3;500-511;2010;10.1111/j.1095-8312.2010.01396.x;"Allocation rules between ornamental and other functional traits of birds may differ among individuals and vary with environmental conditions. We supplemented roller (Coracias garrulus) nestlings with methionine in a between-nest design to investigate the way in which the sex and position in the hatching hierarchy affect the allocation of resources among growth, immunity, and plumage coloration. Methionine induces the production of lymphocytes at expense of growth; thus, we used it to manipulate growth and immunity, which are two traits likely to compromise plumage coloration. We predicted that late-hatched chicks within a brood (juniors) compared to early-hatched chicks (seniors) should allocate more to traits directly providing fitness than to ornamental traits because juniors are more affected than seniors by sibling competition. The methionine treatment effectively enhanced the production of lymphocytes in experimental broods. This appeared to be at the expense of plumage coloration in junior nestlings because, in supplemented nests, junior males showed a trend to display less greenish bellies than junior males from control nests. However, juniors from supplemented nests maintained wing growth as in control juniors. The plumage coloration of seniors was unaffected by the methionine supplementation, although they paid the costs of lymphocyte production at a level of growth that was reduced compared to senior nestlings in control nests. Hence, sex, and hatching order affected resource allocation among growth, immunity, and plumage coloration of roller nestlings. (C) 2010 The Linnean Society of London, Biological Journal of the Linnean Society, 2010, 99, 500-511.";22;2;excluded;No green nest material;excluded;No green nest material;;excluded;No green nest material
GNM_030;Tosi2005470;Response of Antarctic soil fungal assemblages to experimental warming and reduction of UV radiation;Tosi, S. and Onofri, S. and Brusoni, M. and Zucconi, L. and Vishniac, H.;Polar Biology;28;6;470-482;2005;10.1007/s00300-004-0698-x;This paper reports the effects of nutrient availability, UV radiation and temperature on the taxa composition and abundance of Antarctic soil mycobiota. Two sites at Edmonson Point were studied: the first was poor in nutrients, near the glacier, and the second was close to bird nesting sites. The highest abundance of soil fungi was recorded at the site adjacent to the bird nesting sites. Phoma herbarum was the most abundant taxon. Lecytophora lignicola and Ascotricha erinacea are new records for continental Antarctica. The fungal assemblage from the nutrient-deficient site was characterized by a dominance-diversity curve approaching the broken-stick model, the assemblage from the soil influenced by birds was characterized by a lognormal distribution. Plastic cloches were used in experiments designed to assess differences in fungal assemblages subjected to altered temperature and/or UV exposure. Dominance-diversity curves and diversity values of soil fungal mycobiota were compared in their natural condition as compared with manipulated conditions. Under the walled cloches, at both sites, artificial warming led to stress on Antarctic soil fungal assemblages. In contrast, UV protection led to a higher equilibrium in the assemblage structure. On the basis of the results obtained, it could be proposed that UV radiation is the most important limiting ecological factor for soil mycobiota in continental Antarctica. Â© Springer-Verlag 2005.;30;2;excluded;Not birds;excluded;Not birds;;excluded;Not birds
GNM_038;X.WOS.000080557100008;Hatching asynchrony reduces the duration, not the magnitude, of peak load in breeding green-rumped parrotlets (Forpus passerinus);Siegel, RB and Weathers, WW and Beissinger, SR;BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY;45;6;444-450;1999;10.1007/s002650050583;The peak load reduction hypothesis suggests that hatching asynchrony in altricial birds is adaptive because it reduces parental workload during the most energetically costly time in brood rearing. By staggering the ages of their offspring, parents may ensure that all nestlings do not reach maximum energy demand simultaneously. To test the hypothesis, we used the doubly labeled water technique to measure the energy expenditure of green-rumped parrotlets (Forpus passerinus) that reared experimentally manipulated synchronous and asynchronous broods. Peak metabolic rates of the two experimental groups did not differ, but parents of asynchronous broods metabolized significantly less energy than did parents of synchronous broods throughout the first half of the brood-rearing period. Our results suggest that hatching asynchrony in parrotlets substantially shortens the temporal duration of high brood energy demand, but does not reduce the magnitude of peak energy demand.;38;2;excluded;No green nest material;excluded;No green nest material;;excluded;No green nest material
