paper_id,label,title,author,journal,volume,number,pages,year,doi,abstract,search_duplicated,n_duplicates,screened_abstracts,notes
GNM_311,Pavel2004171,The impact of grazing animals on nesting success of grassland passerines in farmland and natural habitats: A field experiment,"Pavel, V.",Folia Zoologica,53,2,171-178,2004,NA,"A study was made of the influence of trampling by grazing animals on the nesting success of real nests (meadow pipit, Anthus pralensis; water pipit, Anthus spinoletta; and skylark, Alauda arvensis) and simulated nests (caps from jam-jars filled by green plasticine) on pasture in the OrlickÃ© Mountains and on unmanaged alpine meadows in the JesenÃ­ky Mountains (Czech Republic, Central Europe). While the pasture was continuously grazed by livestock at high densities, unmanaged alpine meadow was grazed only by wild large herbivores at far lower densities. Trampling was the primary cause of nest failure in the OrlickÃ© Mountains, but was infrequent in the Jeseniky Mountains. The number of real nests lost by trampling corresponded to simulated nests within the localities. Spatial distribution of simulated nests had no effect on their survival on intensively grazed fields. The results indicate that grazing animals negatively influenced the nesting success of real and simulated nests of grassland passerines on continuously grazed mountain pasture. The use of simulated nests was an adequate method of predicting trampling losses by natural nests.",314,1,excluded,No green nest material
GNM_178,X.WOS.A1996UV70000011,Marking technique of embryo in egg for identification of small passerine (Passeriformes) nestlings after hatching,"Lebedeva, NV",ZOOLOGICHESKY ZHURNAL,75,5,757-762,1996,NA,"A simple technique of marking embryos in eggs for identification of small passerine nestlings after hatching is described. The shell of pipping eggs of tree and house sparrow were perforated on the pipping opening and the embryo beaks were. marl;ed with a marker (0,5 mm). Holes in egg shells were no mole than 2 x 2 mm in size. Red, green, blue and black waterproof ink was used, The portion of the identified nestlings within the experimental broods amounted to 76\% (tree sparrows) and 91\% (house sparrows). Hatching mortality in control and in experimental clutches did not differ significantly.",178,2,excluded,No green nest material
GNM_014,X.WOS.000371257300011,Paternal attractiveness and the effects of differential allocation of parental investment,"Arnold, Kathryn E. and Gilbert, Lucy and Gorman, Helen E. and Griffiths, Kate J. and Adam, Aileen and Nager, Ruedi G.",ANIMAL BEHAVIOUR,113,NA,69-78,2016,10.1016/j.anbehav.2015.12.013,"The differential allocation hypothesis (DAH) predicts that an individual should vary its reproductive investment according to the attractiveness of its mate. A recently revised version of the DAH makes explicit that investment can be positive, i.e. higher for the offspring of attractive males which should be of higher quality, or negative, i.e. higher for offspring of unattractive males, for example compensating for inheriting poor paternal genes. Moreover, investment can be made by the father and the mother. Here, we tested whether experimental manipulation of male attractiveness affected parental investment at different reproductive stages and thus influenced fitness-related traits in offspring. In two aviaries, all male zebra finches, Taeniopygia guttata, were given red leg rings to increase attractiveness and in two aviaries all males received green leg rings to decrease attractiveness. This controlled for assortative mating between treatments. Ring colour was merely an experimental manipulation of male attractiveness, not paternal quality, so we might expect additional investment to elevate offspring quality. Eggs were cross-fostered between and within treatments to allow differentiation of effects of investment in eggs and nestlings. Clutch and brood sizes were standardized. Both positive and negative investment were observed: Eggs from red-ringed fathers had higher yolk to albumen ratios than eggs from green-ringed fathers. Nestlings from eggs laid and incubated by parents in the red-ringed group had higher hatching masses than those in the green-ringed group. Both parents in the green-ringed group fed nestlings more frequently than red-ringed parents. Offspring performance was influenced by the treatment of both foster and biological parents, but combined effects of these different investment patterns on fitness-related traits were ambiguous. Male attractiveness appeared to affect patterns of reproductive investment but not consistently across all forms of reproductive investment suggesting that the costs and benefits of differential allocation vary among individuals and across contexts. (C) 2015 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",14,2,excluded,No green nest material
GNM_145,X.WOS.000224132200001,The recent declines of farmland bird populations in Britain: an appraisal of causal factors and conservation actions,"Newton, I",IBIS,146,4,579-600,2004,10.1111/j.1474-919X.2004.00375.x,"In this paper, the main aspects of agricultural intensification that have led to population declines in farmland birds over the past 50 years are reviewed, together with the current state of knowledge, and the effects of recent conservation actions. For each of 30 declining species, attention is focused on: (1) the external causes of population declines, (2) the demographic mechanisms and (3) experimental tests of proposed external causal factors, together with the outcome of (4) specific conservation measures and (5) agri-environment schemes. Although each species has responded individually to particular aspects of agricultural change, certain groups of species share common causal factors. For example, declines in the population levels of seed-eating birds have been driven primarily by herbicide use and the switch from spring-sown to autumn-sown cereals, both of which have massively reduced the food supplies of these birds. Their population declines have been associated with reduced survival rates and, in some species, also with reduced reproductive rates. In waders of damp grassland, population declines have been driven mainly by land drainage and the associated intensification of grassland management. This has led to reduced reproductive success, as a result of lowered food availability, together with increased disturbance and trampling by farm stock, and in some localities increased nest predation. The external causal factors of population decline are known (with varying degrees of certainty) for all 30 species considered, and the demographic causal factors are known (again with varying degrees of certainty) for 24 such species. In at least 19 species, proposed causal factors have been tested and confirmed by experiment or by local conservation action, and 12 species have been shown to benefit (in terms of locally increased breeding density) from options available in one or more agri-environment schemes. Four aspects of agricultural change have been the main drivers of bird population declines, each affecting a wide range of species, namely: (1) weed-control, mainly through herbicide use; (2) the change from spring-sown to autumn-sown cereal varieties, and the associated earlier ploughing of stubbles and earlier crop growth; (3) land drainage and associated intensification of grassland management; and (4) increased stocking densities, mainly of cattle in the lowlands and sheep in the uplands. These changes have reduced the amounts of habitat and/or food available to many species. Other changes, such as the removal of hedgerows and `rough patches', have affected smaller numbers of species, as have changes in the timings of cultivations and harvests. Although at least eight species have shown recent increases in their national population levels, many others seem set to continue declining, or to remain at a much reduced level, unless some relevant aspect of agricultural practice is changed.",145,2,excluded,Not empirical
GNM_052,D.U.00C3..U.00AD.azLora2020,Hoopoe Upupa epops male feeding effort is related to female cosmetic egg colouration,"DÃ­az Lora, S. and PÃ©rez-Contreras, T. and AzcÃ¡rate-GarcÃ­a, M. and MartÃ­nez Bueno, M. and Soler, J.J. and MartÃ­n-Vivaldi, M.",Journal of Avian Biology,51,8,NA,2020,10.1111/jav.02433,"Avian eggshell colouration might function as a post-mating sexually selected signal of female quality, influencing male parental investment and, hence, reproductive success. This hypothesis has been tested for intrinsic eggshell pigments as biliverdin (blue-green colouration) and/or protoporphyrin (brown coloured spots), but never for colourations applied post-laying. Post-laying staining colouration due to, for instance, uropygial secretion of the female could reflect its phenotypic properties and, thus, might be a cue for male investment in reproduction. In hoopoes, the uropygial gland of incubating females hosts symbiotic bacteria that are responsible for the brown colour of their uropygial secretion and of the eggshells, as they cover their bluish-grey eggshells with gland secretion after laying. The secretion protects embryos from pathogenic trans-shell infections and, thus, egg colouration may function as a cue or even as a post-mating sexually selected signal of antimicrobial potential in hoopoes. In a wild hoopoe population breeding in nest boxes in Spain, we test this hypothesis by exploring whether egg colour predicts male parental investment. In accordance with the hypothesis, we found that the amount of food provided by males to incubating females was higher in nests with less saturated eggshell colours. This relationship was affected by female body condition. High quality females in terms of body condition and/or in secretion colour obtained better males in terms of provisioning effort during incubation. Given that eggshell saturation is negatively related to density of bacterial symbionts in uropygial secretions, one possibility is that males may regulate their parental investment in accordance to the expected characteristics of mutualistic bacteria hosted in uropygial glands and deposited on eggshells. We discuss alternative explanations for our results, concluding that the post-mating sexual selection hypothesis is the most likely but experimental modification of egg colour is needed to test it further. Â© 2020 Nordic Society Oikos. Published by John Wiley & Sons Ltd",52,2,excluded,No green nest material
GNM_023,Polo2010129,Experimental addition of green plants to the nest increases testosterone levels in female spotless starlings,"Polo, V. and LÃ³pez-Rull, I. and Gil, D. and Veiga, J.P.",Ethology,116,2,129-137,2010,10.1111/j.1439-0310.2009.01724.x,"Multiple male traits and displays may act in signalling sexually selected processes during courtship. Spotless starling males (Sturnus unicolor) carry green plants into their nests before egg laying, and recent studies have shown that this behaviour is related to female breeding decisions and the production of male-biased broods. Although the functional implications of this effect on females are not yet clear, data suggest that it could be mediated by female circulating hormones. Additionally, females may show higher androgen levels as a consequence of the increased female-female competition generated by the increase in male attractiveness. We tested this hypothesis using the same manipulation of green nesting material that has been previously shown to result in an increase of male attractiveness in male spotless starlings. We found that females in experimental nests increased their circulating testosterone levels during the laying period. In addition, there was an increase of social interferences in the experimental nests because of the addition of green plants. We hypothesise that testosterone may allow females to maintain their mating status when competing with other females for the preferred males. Addition of green plants also increased the variance in the levels of circulating testosterone, suggesting plasticity between females in their response to the manipulation. We propose that there is a functional link between high testosterone levels, male-biased sex ratios and female resource-holding potential in intra-sexual competition in this species. Â© 2010 Blackwell Verlag GmbH.",286,2,selected,
GNM_228,Lameris20172652,"Forage plants of an Arctic-nesting herbivore show larger warming response in breeding than wintering grounds, potentially disrupting migration phenology","Lameris, T.K. and Jochems, F. and van der Graaf, A.J. and Andersson, M. and Limpens, J. and Nolet, B.A.",Ecology and Evolution,7,8,2652-2660,2017,10.1002/ece3.2859,"During spring migration, herbivorous waterfowl breeding in the Arctic depend on peaks in the supply of nitrogen-rich forage plants, following a â€œgreen waveâ€� of grass growth along their flyway to fuel migration and reproduction. The effects of climate warming on forage plant growth are expected to be larger at the Arctic breeding grounds than in temperate wintering grounds, potentially disrupting this green wave and causing waterfowl to mistime their arrival on the breeding grounds. We studied the potential effect of climate warming on timing of food peaks along the migratory flyway of the Russian population of barnacle geese using a warming experiment with open-top chambers. We measured the effect of 1.0â€“1.7Â°C experimental warming on forage plant biomass and nitrogen concentration at three sites along the migratory flyway (temperate wintering site, temperate spring stopover site, and Arctic breeding site) during 2Â months for two consecutive years. We found that experimental warming increased biomass accumulation and sped up the decline in nitrogen concentration of forage plants at the Arctic breeding site but not at temperate wintering and stop-over sites. Increasing spring temperatures in the Arctic will thus shorten the food peak of nitrogen-rich forage at the breeding grounds. Our results further suggest an advance of the local food peak in the Arctic under 1â€“2Â°C climate warming, which will likely cause migrating geese to mistime their arrival at the breeding grounds, particularly considering the Arctic warms faster than the temperate regions. The combination of a shorter food peak and mistimed arrival is likely to decrease goose reproductive success under climate warming by reducing growth and survival of goslings after hatching. Â© 2017 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",225,1,excluded,No green nest material
GNM_253,Su201569,Removal of indoor carbon dioxide and formaldehyde using green walls by bird nest fern,"Su, Y.-M. and Lin, C.-H.",Horticulture Journal,84,1,69-76,2015,10.2503/hortj.CH-114,"This paper presents an evaluation of the effectiveness of removing air pollutants by installing green vertical walls filled with potted plants. Most people in urban areas spend 80â€“90% of their lives indoors, indicating the significance of indoor air quality. Carbon dioxide (CO2) and formaldehyde (HCHO) are the most common sources of indoor pollution; their levels can be reduced by using potted plants, which provide the additional benefit of beautification. In accordance with our previous study, for this purpose, we used bird nest fern (Asplenium nidus Linn.), which has a high rate of transpiration and is easy to grow indoors. Upon using 3 treatments involving the release of CO2, HCHO, or CO2 + HCHO, the experimental results showed that bird nest fern can reduce the concentration of CO2 from 2000â€¯ppm to a safe 800â€¯ppm at an average of 1.984â€¯ppmÂ·h-1 (per pot). By contrast, the concentration of HCHO was reduced from 2â€¯ppm to the safe level of 0.1â€¯ppm, at an average of 0.003â€¯ppmÂ·h-1 (per pot). Regarding temperature and humidity, the results showed a decrease of 2Â°C indoors and an increase of 10% relative humidity. These results show that bird nest fern has high rates of CO2and HCHO removal, reduces temperature, and raises relative humidity. Â© 2015 The Japanese Society for Horticultural Science (JSHS). All rights reserved.",248,1,excluded,Not birds
GNM_214,Ramos2019473,Vascular interstitial cells in retinal arteriolar annuli are altered during hypertension,"Ramos, D. and Catita, J. and Ä¹opez-Luppo, M. and ValenÃ§a, A. and Bonet, A. and Carretero, A. and Navarro, M. and Nacher, V. and Mendez-Ferrer, S. and Meseguer, A. and Casellas, A. and Mendes-Jorge, L. and Ruberte, J.",Investigative Ophthalmology and Visual Science,60,2,473-487,2019,10.1167/iovs.18-25000,"PURPOSE. It has been suggested that arteriolar annuli localized in retinal arterioles regulate retinal blood flow acting as sphincters. Here, the morphology and protein expression profile of arteriolar annuli have been analyzed under physiologic conditions in the retina of wildtype, Î²-actin-Egfp, and Nestin-gfp transgenic mice. Additionally, to study the effect of hypertension, the KAP transgenic mouse has been used. METHODS. Cellular architecture has been studied using digested whole mount retinas and transmission electron microscopy. The profile of protein expression has been analyzed on paraffin sections and whole mount retinas by immunofluorescence and histochemistry. RESULTS. The ultrastructural analysis of arteriolar annuli showed a different cell population found between endothelial and muscle cells that matched most of the morphologic criteria established to define interstitial Cajal cells. The profile of protein expression of these vascular interstitial cells (VICs) was similar to that of interstitial Cajal cells and different from the endothelial and smooth muscle cells, because they expressed b-actin, nestin, and CD44, but they did not express CD31 and a-SMA or scarcely express F-actin. Furthermore, VICs share with pericytes the expression of NG2 and platelet-derived growth factor receptor beta (PDGFR-Î²). The high expression of Ano1 and high activity of nicotinamide adenine dinucleotide phosphate (NADPH)-diaphorase observed in VICs was diminished during hypertensive retinopathy suggesting that these cells might play a role on the motility of arteriolar annuli and that this function is altered during hypertension. CONCLUSIONS. A novel type of VICs has been described in the arteriolar annuli of mouse retina. Remarkably, these cells undergo important molecular modifications during hypertensive retinopathy and might thus be a therapeutic target against this disease. Â© 2019 The Authors.",211,1,excluded,Not birds
GNM_117,Christianini2010573,Birds and ants provide complementary seed dispersal in a neotropical savanna,"Christianini, A.V. and Oliveira, P.S.",Journal of Ecology,98,3,573-582,2010,10.1111/j.1365-2745.2010.01653.x,"A substantial portion of the crop of fruiting trees falls beneath parent plants as a result of dispersal failure. Such diaspores are considered as waste because the likelihood of plant recruitment is usually very small close to parent trees. However, many animals may rescue fallen diaspores and provide them with another chance of dispersal and establishment. We investigated the effectiveness of two broad types of seed dispersal vectors for the regeneration of Xylopia aromatica in the Brazilian cerrado savanna: birds that remove diaspores from plant canopies and ants that harvest diaspores on the ground under the parent plant (as rescuers) or from bird feces (as secondary dispersers). Birds removed a mean of 32% of the crop from plant canopies, but removal was independent of crop size. A large part of the crop (mean of 25%) landed beneath parent plants or was dropped after manipulation by vertebrate frugivores as viable diaspores. Ants from at least five genera removed most fallen diaspores (up to 83%) within 24 h. Ants influenced the fate of a large amount of the crop, and for some trees ants removed as many diaspores as birds. Large ants rescued some diaspores to distances beyond the parent plant crown, but birds may remove diaspores 40-fold farther. However, seedlings of X. aromatica were only found close to nests of large ants, probably due to diaspore rescuing and/or directed secondary dispersal by certain ant groups following primary dispersal by birds. Although an unknown percentage of seeds was lost to granivorous ants, diaspore removal by ants potentially enhances the likelihood of plant recruitment due to distance-related benefits and directed dispersal to ant nests, while birds play a premier role in long-distance seed dispersal and metapopulation dynamics. Synthesis. Birds and ants provide complementary seed dispersal at different spatial scales to X. aromatica. Since ants remove most fallen diaspores beneath parent plants, the use of diaspore removal rates from plant canopy as a surrogate of plant fitness may be misleading. By acting as secondary dispersers, ants may also provide a fine-tuned dispersal following long-distance dispersal by birds (i.e. diplochory). Â© 2010 The Authors. Journal compilation Â© 2010 British Ecological Society.",117,2,excluded,No green nest material
