"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Yang C.; Møller A.P.; Liang W.","Yang, Canchao (36459294900); Møller, Anders Pape (55574503700); Liang, Wei (55726995700)","36459294900; 55574503700; 55726995700","Light matters: Nest illumination alters egg rejection behavior in a cavity-nesting bird","2022","Avian Research","13","","100016","","","","6","10.1016/j.avrs.2022.100016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126109264&doi=10.1016%2fj.avrs.2022.100016&partnerID=40&md5=2e3b4afb296f4c879c58d9c87e4f8288","Egg discrimination by cavity-nesting birds that build nests under dim light conditions was presumed to depend on nest luminance, although this hypothesis has rarely been tested. Tests of egg discrimination ability by cavity-nesting tits under dim light conditions may reveal the selection pressure from brood parasitism that they encounter under natural interactions. We manipulated the intensity of luminance of nests of the Green-backed Tit (Parus monticolus), a potential cuckoo host that possesses a strong discrimination ability of non-mimetic foreign eggs. We performed experiments to test their egg discrimination ability under different light conditions. Our results showed that Green-backed Tits discriminate against non-mimetic foreign eggs under normal light conditions in nest boxes, and this ability persisted at nest luminance as low as 4.78 ​± ​1.31 lux that is several times lower than normal luminance (38.11 ​± ​24.02 lux). However, egg discrimination by Green-backed Tits disappeared when nest luminance was reduced to a minimum of 0.35 ​± ​0.15 lux. The latter value represents total darkness for humans. The present study shows that nest luminance plays a key role in egg discrimination by Green-backed Tits that build nests under dim light conditions. This study provides strong experimental evidence for nest illumination altering egg rejection behavior in cavity-nesting birds. © 2022 The Authors","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85126109264"
"Corsini M.; Jagiello Z.; Walesiak M.; Redlisiak M.; Stadnicki I.; Mierzejewska E.; Szulkin M.","Corsini, Michela (57196067398); Jagiello, Zuzanna (57201186563); Walesiak, Michał (57219113627); Redlisiak, Michał (57202194642); Stadnicki, Ignacy (57745318600); Mierzejewska, Ewa (6603739937); Szulkin, Marta (16643553500)","57196067398; 57201186563; 57219113627; 57202194642; 57745318600; 6603739937; 16643553500","Breeding in the pandemic: short-term lockdown restrictions in a European capital city did not alter the life-history traits of two urban adapters","2023","Urban Ecosystems","26","3","","665","675","10","3","10.1007/s11252-022-01309-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143848384&doi=10.1007%2fs11252-022-01309-5&partnerID=40&md5=a8b5d37e6ef1f4b9274d4ff9ba30a296","Humans are transforming natural habitats into managed urban green areas and impervious surfaces at an unprecedented pace. Yet the effects of human presence per se on animal life-history traits are rarely tested. This is particularly true in cities, where human presence is often indissociable from urbanisation itself. The onset of the SARS-CoV-2 outbreak, along with the resulting lockdown restrictions, offered a unique, “natural experiment” to investigate wildlife responses to a sudden reduction in human activity. We analysed four years of avian breeding data collected in a European capital city to test whether lockdown measures altered nestbox occupancy and life-history traits in terms of egg laying date, incubation duration and clutch size in two urban adapters: great tits (Parus major) and blue tits (Cyanistes caeruleus). Lockdown measures, which modulated human presence, did not influence any of the life-history traits investigated. In contrast, the interaction between year and tree cover, a distinct ecological attribute of the urban space, was positively associated with clutch size, a key avian life-history and reproductive trait. This highlights the importance of inter-year variation and habitat quality over human activity on urban wildlife reproduction. We discuss our results in the light of other urban wildlife studies carried out during the pandemic, inviting the scientific community to carefully interpret all lockdown—associated shifts in biological traits. © 2022, The Author(s).","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85143848384"
"Wakao S.; Oguma Y.; Kushida Y.; Kuroda Y.; Tatsumi K.; Dezawa M.","Wakao, Shohei (16551116900); Oguma, Yo (57226652564); Kushida, Yoshihiro (52163832100); Kuroda, Yasumasa (55741724500); Tatsumi, Kazuki (57192590604); Dezawa, Mari (7003660398)","16551116900; 57226652564; 52163832100; 55741724500; 57192590604; 7003660398","Phagocytosing differentiated cell-fragments is a novel mechanism for controlling somatic stem cell differentiation within a short time frame","2022","Cellular and Molecular Life Sciences","79","11","542","","","","11","10.1007/s00018-022-04555-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139304080&doi=10.1007%2fs00018-022-04555-0&partnerID=40&md5=28ca5f4fc4a46fcaeb248ac5e1a41f92","Stem cells undergo cytokine-driven differentiation, but this process often takes longer than several weeks to complete. A novel mechanism for somatic stem cell differentiation via phagocytosing ‘model cells’ (apoptotic differentiated cells) was found to require only a short time frame. Pluripotent-like Muse cells, multipotent mesenchymal stem cells (MSCs), and neural stem cells (NSCs) phagocytosed apoptotic differentiated cells via different phagocytic receptor subsets than macrophages. The phagocytosed-differentiated cell-derived contents (e.g., transcription factors) were quickly released into the cytoplasm, translocated into the nucleus, and bound to promoter regions of the stem cell genomes. Within 24 ~ 36 h, the cells expressed lineage-specific markers corresponding to the phagocytosed-differentiated cells, both in vitro and in vivo. At 1 week, the gene expression profiles were similar to those of the authentic differentiated cells and expressed functional markers. Differentiation was limited to the inherent potential of each cell line: triploblastic-, adipogenic-/chondrogenic-, and neural-lineages in Muse cells, MSCs, and NSCs, respectively. Disruption of phagocytosis, either by phagocytic receptor inhibition via small interfering RNA or annexin V treatment, impeded differentiation in vitro and in vivo. Together, our findings uncovered a simple mechanism by which differentiation-directing factors are directly transferred to somatic stem cells by phagocytosing apoptotic differentiated cells to trigger their rapid differentiation into the target cell lineage. © 2022, The Author(s).","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85139304080"
"Malone K.M.; Webb E.B.; Mengel D.C.; Kearns L.J.; McKellar A.E.; Matteson S.W.; Williams B.R.","Malone, Kristen M. (57195757294); Webb, Elisabeth B. (35273680300); Mengel, Doreen C. (57201700863); Kearns, Laura J. (50761183400); McKellar, Ann E. (25936587000); Matteson, Sumner W. (55351143200); Williams, Benjamin R. (57211943351)","57195757294; 35273680300; 57201700863; 50761183400; 25936587000; 55351143200; 57211943351","Wetland management practices and secretive marsh bird habitat in the Mississippi Flyway: a review","2023","Journal of Wildlife Management","87","7","e22451","","","","1","10.1002/jwmg.22451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162660304&doi=10.1002%2fjwmg.22451&partnerID=40&md5=af883fef3506c48cca853250593479ee","Management regimes on publicly owned freshwater wetlands in the Mississippi Flyway of North America (i.e., Flyway) have historically emphasized waterfowl, but there is limited information on how waterfowl-focused wetland management affects other wetland-dependent wildlife. Secretive marsh birds (SMBs) depend on wetlands with emergent vegetation throughout their migratory life cycle and often encounter vegetation and water conditions resulting from waterfowl-focused management regimes. Thus, there is a need for better understanding of how SMBs are affected by wetland management and the extent to which waterfowl-focused management regimes provide habitat for SMBs. In this review, we identify the vegetation and water conditions resulting from typical management objectives on freshwater emergent wetlands in the Flyway, review and qualitatively synthesize results from studies that directly evaluate how wetland management practices affect SMBs or their habitat, and assess how the vegetation and water conditions being produced for target species (mainly waterfowl) align with SMB habitat requirements. We searched online databases and used Google Scholar to locate peer-reviewed literature, technical reports, and graduate theses that pertained to responses of SMBs or their habitat to water-level manipulation, herbicide application, prescribed fire, disking, mowing, and planting crops. There are several management strategies that complement SMBs and waterfowl, such as reducing cover of woody species and providing flooded emergent vegetation. We also highlight management strategies that may not currently align with SMB life-cycle needs and suggest adjustments that might promote habitat for SMBs while still achieving waterfowl population objectives. For example, adjusting the dates and duration of spring water-level drawdowns on a portion of wetlands within a larger complex can provide for spring migrating waterfowl and ensure habitat for migrating and nesting SMBs. Ideally, future studies would address how modifications to management practices affect SMBs and monitor potential effects on waterfowl, resulting in a more holistic approach to wetland management. © 2023 The Wildlife Society.","Review","Final","","Scopus","2-s2.0-85162660304"
"Beissinger S.R.; Berg K.S.","Beissinger, Steven R. (7003831942); Berg, Karl S. (8398919100)","7003831942; 8398919100","Eviction-driven infanticide and sexually selected adoption and infanticide in a neotropical parrot","2024","Proceedings of the National Academy of Sciences of the United States of America","121","20","e2317305121","","","","1","10.1073/pnas.2317305121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192608421&doi=10.1073%2fpnas.2317305121&partnerID=40&md5=9e4b08d51017363a5e4f41ea054375be","Infanticide and adoption have been attributed to sexual selection, where an individual later reproduces with the parent whose offspring it killed or adopted. While sexually selected infanticide is well known, evidence for sexually selected adoption is anecdotal. We report on both behaviors at 346 nests over 27 y in green-rumped parrotlets (Forpus passerinus) in Venezuela. Parrotlets are monogamous with long-term pair bonds, exhibit a strongly male-biased adult sex ratio, and nest in cavities that are in short supply, creating intense competition for nest sites and mates. Infanticide attacks occurred at 256 nests in two distinct contexts: 1) Attacks were primarily committed by nonbreeding pairs (69%) attempting to evict parents from the cavity. Infanticide attacks per nest were positively correlated with population size and evicting pairs never adopted abandoned offspring. Competition for limited nest sites was a primary cause of eviction-driven infanticide, and 2) attacks occurred less frequently at nests where one mate died (31%), was perpetrated primarily by stepparents of both sexes, and was independent of population size. Thus, within a single species and mating system, infanticide occurred in multiple contexts due to multiple drivers. Nevertheless, 48% of stepparents of both sexes adopted offspring, and another 23% of stepfathers exhibited both infanticide and long-term care. Stepfathers were often young males who subsequently nested with widows, reaching earlier ages of first breeding than competitors and demonstrating sexually selected adoption. Adoption and infanticide conferred similar fitness benefits to stepfathers and appeared to be equivalent strategies driven by limited breeding opportunities, male-biased sex ratios, and long-term monogamy. Copyright © 2024 the Author(s). Published by PNAS.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85192608421"
"Ramirez I.E.; Causton C.E.; Gutierrez G.A.; Mosquera D.; Piedrahita P.; Heimpel G.E.","Ramirez, Ismael E. (57194466707); Causton, Charlotte E. (7801358605); Gutierrez, George A. (57746047500); Mosquera, Denis A. (57194145860); Piedrahita, Paolo (37026882700); Heimpel, George E. (7003737824)","57194466707; 7801358605; 57746047500; 57194145860; 37026882700; 7003737824","Specificity within bird–parasite–parasitoid food webs: A novel approach for evaluating potential biological control agents of the avian vampire fly","2022","Journal of Applied Ecology","59","8","","2189","2198","9","3","10.1111/1365-2664.14235","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132101752&doi=10.1111%2f1365-2664.14235&partnerID=40&md5=f68a984ae7c32a7d9bfa2feea8d44db5","Quantitative food web analyses can provide insights into the specificity of consumers such as herbivores, parasites and parasitoids. Understanding such patterns can be useful in forecasting the potential benefits and risks of biological control agents being considered for introduction against invasive species. The avian vampire fly, Philornis downsi (Diptera: Muscidae), is a neotropical bird parasite that is invasive in the Galapagos Islands, where it is causing substantial mortality of endemic bird species. We used a novel in-field experimental food web approach within the native range of P. downsi in Ecuador to test the hypotheses that pupal parasitoids known to attack P. downsi specialize on members of the genus Philornis, which occur only in bird nests. We deployed pupae of non-Philornis fly species adjacent to bird nests to assess specificity of the parasitoids and used two indices to assess specificity: Resource Range (RR), which evaluates the breadth of host use, and Pair Difference Index (PDI), which evaluates interaction strength. The results revealed very strong compartmentalization within the guild of pupal fly parasitoids, with four species attacking only Philornis spp. Both specificity indices indicated significant levels of specificity towards the genus Philornis for two of these species: Conura annulifera and Trichopria sp. novus. We also assessed the specificity of the two dominant Philornis species attacking 11 bird species and preference of the two dominant parasitoid species for bird species. Although there was some significant preference for particular bird species by the Philornis spp., there was no indication that this drove specificity patterns by the parasitoids. Policy implications. Our results confirm previous laboratory studies indicating specificity by C. annulifera and support the hypothesis that this species would produce few, if any, nontarget impacts if released into Galapagos to suppress populations of the P. downsi. These results can inform an environmental risk assessment framework to guide governmental agencies in deliberation on potential field releases of parasitoids in the Galapagos Islands. © 2022 The Authors. Journal of Applied Ecology published by John Wiley & Sons Ltd on behalf of British Ecological Society.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85132101752"
"Schiavinato M.; Griggio M.; Pilastro A.A.; Baldan D.","Schiavinato, Matteo (58167163700); Griggio, Matteo (6701404903); Pilastro, Andrea A. (58008364100); Baldan, Davide (56100243700)","58167163700; 6701404903; 58008364100; 56100243700","Compensatory responses differ between parental tasks in a songbird species","2023","Animal Behaviour","199","","","141","149","8","2","10.1016/j.anbehav.2023.03.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151468641&doi=10.1016%2fj.anbehav.2023.03.005&partnerID=40&md5=003f6f68f66b030c3e58e5e323e1f55e","In species with biparental care, the amount of care devoted to offspring is affected by the negotiation rules that the parents adopt. Theoretical models predict that biparental care can be evolutionarily stable if a decrease in parental investment by one parent is only partially compensated by its partner. However, empirical studies have found substantial variability in compensatory behaviour and have mainly used nesting provisioning as a single measure of parental effort. In this study, we investigated parental compensatory behaviour for two parental tasks, offspring provisioning and nest defence. These two tasks are likely characterized by different levels of risk as well as different cost and benefit functions for the parents, which may affect the expected level of compensatory responses. We experimentally widowed (by temporarily removing one parent) male or female Spanish sparrows, Passer hispaniolensis, and measured their compensatory responses to offspring provisioning and nest defence (after predator presentation of green whip snake, Hierophis viridiflavus, models). Parents differed in their compensatory responses in relation to parental task and sex: both sexes partially compensated for offspring provisioning, but females compensated by a larger degree than males. For predator defence, males instead decreased defence behaviour by increasing latency and reducing the number of attacks, while females did not change their behaviour when caring alone. This within-individual comparison indicates that parents adjust their compensatory behaviour according to parental task. We discuss how these differences could arise due to different costs and benefits of extra investments. © 2023 The Association for the Study of Animal Behaviour","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85151468641"
"Giraldo E.; Bonilla P.; Mellado M.; Garcia-Manau P.; Rodo C.; Alastrue A.; Lopez E.; Moratonas E.C.; Pellise F.; Đorđević S.; Vicent M.J.; Moreno Manzano V.","Giraldo, Esther (23993494000); Bonilla, Pablo (57216815575); Mellado, Mara (57209887593); Garcia-Manau, Pablo (57194508335); Rodo, Carlota (55155389700); Alastrue, Ana (57941803500); Lopez, Eric (57942024300); Moratonas, Elena Carreras (36447964700); Pellise, Ferran (55905004200); Đorđević, Snežana (57220008103); Vicent, María J. (6701442649); Moreno Manzano, Victoria (6603164186)","23993494000; 57216815575; 57209887593; 57194508335; 55155389700; 57941803500; 57942024300; 36447964700; 55905004200; 57220008103; 6701442649; 6603164186","Transplantation of Human-Fetal-Spinal-Cord-Derived NPCs Primed with a Polyglutamate-Conjugated Rho/Rock Inhibitor in Acute Spinal Cord Injury","2022","Cells","11","20","3304","","","","0","10.3390/cells11203304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140635957&doi=10.3390%2fcells11203304&partnerID=40&md5=59ed1fce5063623cb06d5053b92340c7","Neural precursor cell (NPC) transplantation represents a promising therapy for treating spinal cord injuries (SCIs); however, despite successful results obtained in preclinical models, the clinical translation of this approach remains challenging due, in part, to the lack of consensus on an optimal cell source for human neuronal cells. Depending on the cell source, additional limitations to NPC-based therapies include high tumorigenic potential, alongside poor graft survival and engraftment into host spinal tissue. We previously demonstrated that NPCs derived from rat fetal spinal cords primed with a polyglutamate (PGA)-conjugated form of the Rho/Rock inhibitor fasudil (PGA-SS-FAS) displayed enhanced neuronal differentiation and graft survival when compared to non-primed NPCs. We now conducted a similar study of human-fetal-spinal-cord-derived NPCs (hfNPCs) from legal gestational interruptions at the late gestational stage, at 19–21.6 weeks. In vitro, expanded hfNPCs retained neural features, multipotency, and self-renewal, which supported the development of a cell banking strategy. Before transplantation, we established a simple procedure to prime hfNPCs by overnight incubation with PGA-SS-FAS (at 50 μM FAS equiv.), which improved neuronal differentiation and overcame neurite-like retraction after lysophosphatidic-acid-induced Rho/Rock activation. The transplantation of primed hfNPCs into immune-deficient mice (NU(NCr)-Foxn1nu) immediately after the eighth thoracic segment compression prompted enhanced migration of grafted cells from the dorsal to the ventral spinal cord, increased preservation of GABAergic inhibitory Lbx1-expressing and glutamatergic excitatory Tlx3-expressing somatosensory interneurons, and elevated the numbers of preserved, c-Fos-expressing, activated neurons surrounding the injury epicenter, all in a low percentage. Overall, the priming procedure using PGA-SS-FAS could represent an alternative methodology to improve the capabilities of the hfNPC lines for a translational approach for acute SCI treatment. © 2022 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85140635957"
"Kellett D.K.; Alisauskas R.T.","Kellett, Dana K. (6701369777); Alisauskas, Ray T. (7003993765)","6701369777; 7003993765","Reduction in biomass of freshwater arctic vegetation by foraging and nesting hyperabundant herbivores shows recovery","2022","Ecosphere","13","11","e4275","","","","1","10.1002/ecs2.4275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142804833&doi=10.1002%2fecs2.4275&partnerID=40&md5=888ef34c381cf5f71effff633b2685cb","Arctic-nesting geese are specialist herbivores of grasses and sedges (collectively, graminoids). Under moderate grazing pressure, these migratory herbivores can create and maintain arctic grazing lawns with high nutritional content and low aboveground biomass. Nutrient and energy subsidies from southern agricultural landscapes during winter have improved survival among populations of Ross's (Anser rossii) and lesser snow geese (Anser caerulescens caerulescens), leading to marked population growth. Resulting goose hyperabundance has raised conservation concern for resilience of arctic ecosystems to withstand cumulative and intense pressures of herbivory and nest construction. We used both design-based (experimental herbivore exclosures) and model-based methods to investigate changes to plant community structure in direct response to foraging and nesting by these species within the Queen Maud Gulf (Ahiak) Migratory Bird Sanctuary, Nunavut, Canada. Annual nest construction and foraging by up to ~1.3 million geese at a large colony at Karrak Lake markedly reduced aboveground biomass of forage (graminoids) and non-forage (foliose and fruticose lichens) vegetation, with spatial variation in reduction associated with intensity of use by geese. Within vast brood-rearing regions, foraging reduced above- and belowground plant biomass of lowland plant communities by 61% and 29%, respectively, between 1994 (when herbivore exclosures were established) and 2017. In addition to landscape diversity associated with abiotic properties created by geomorphic processes, long-term herbivory by geese further increased spatial heterogeneity in vegetation at the landscape scale. Although foraging geese nearly completely depleted aboveground plant biomass in some parts of their brood-rearing areas, belowground biomass was largely conserved, and thus, plant communities had strong potential for aboveground regeneration. We propose that the effects of high-density nesting and foraging by Ross's and lesser snow geese in the central Canadian Arctic, while extensive, are ephemeral and prone to reversion following cessation of grazing and nesting pressure, such as that afforded by shifts in herbivore distribution or local population decline. © 2022 The Authors. Ecosphere published by Wiley Periodicals LLC on behalf of The Ecological Society of America.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85142804833"
"Martínez-Mendoza M.L.; Rodríguez-Arzate C.A.; Gómez-González G.B.; Kirchhoff F.; Martínez-Torres A.","Martínez-Mendoza, Marianne Lizeth (57226066403); Rodríguez-Arzate, Cynthia Alejandra (57226082289); Gómez-González, Gabriela B. (57193013399); Kirchhoff, Frank (58357594000); Martínez-Torres, Ataúlfo (6603836285)","57226066403; 57226082289; 57193013399; 58357594000; 6603836285","Analysis of a cell niche with proliferative potential at the roof of the aqueduct of Sylvius","2023","Neuroscience Research","188","","","28","38","10","0","10.1016/j.neures.2022.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142747099&doi=10.1016%2fj.neures.2022.11.004&partnerID=40&md5=f3472c2a0202c41702f5058bd6d6f7e5","The aqueduct of Sylvius connects the third with the fourth ventricle and is surrounded by the Periaqueductal Grey. Here, we report a novel niche of cells in the dorsal section of the aqueduct, hereby named dorsal aqueduct niche or DAN, by applying a battery of selective markers and transgenic mouse lines. The somata of DAN cells are located toward the lumen of the ventricle forming multiple layers in close association with the cerebrospinal fluid (CSF). A single process emerges from the soma and run with the blood vessels. Cells of the DAN express radial glia/stem cell markers such as GFAP, vimentin and nestin, and the glutamate transporter GLAST or the oligodendrocyte precursor/pericyte marker NG2, thereby suggesting their potential for the generation of new cells. Morphologically, DAN cells resemble tanycytes of the third ventricle, which transfer biochemical signals from the CSF to the central nervous system and display proliferative capacity. The aqueduct ependymal lining can proliferate as observed by the integration of BrdU and expression of Ki67. Thus, the dorsal section of the aqueduct of Sylvius possesses cells that may act a niche of new glial cells in the adult mouse brain. © 2022 Japan Neuroscience Society and Elsevier Ltd","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85142747099"
