Paper_ID,label,title,author,journal,volume,number,pages,year,doi,abstract,n_duplicates,screener_ID,screened_abstracts,notes
GNM_001_rep,X.WOS.001090732000001,Is there a role for aromatic plants in blue tit (<i>Cyanistes caeruleus</i>) nests? Results from a correlational and an experimental study,"Garrido-Bautista, Jorge and Ramos, Jaime Albino and Arce, Sofia Irene and Melero-Romero, Pablo and Ferreira, Rafael and Santos-Baena, Carolina and Guimaro, H. R. and Martin-Villegas, Carlos and Moreno-Rueda, Gregorio and Norte, Ana Claudia",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,77,10,NA,2023,10.1007/s00265-023-03393-9,"The utility of fresh green material in avian nests is still not fully understood. Potential explanations include the effects of plants' volatile compounds on parasite reduction (nest protection hypothesis) or direct beneficial effects on nestling condition (drug hypothesis). We used correlative data collected during 2020 and 2021 in a Mediterranean population of blue tits (Cyanistes caeruleus) as well as experimental data (aromatic nest content manipulation) to assess the effects of aromatic plant use on nestling physiological condition and survival, nest-dwelling ectoparasitic pressure and its relationship with breeding parameters. We found that aromatic plants were disproportionally used in relation to their abundance in the environment and that their use was positively related to egg mass (but only in 2020). Blowflies and facultative parasitic mites were more frequent in nests with aromatics compared to nests without aromatics, but obligatory parasitic mites were less abundant in nests with aromatics. However, no effects of aromatic plants were observed on nestling haemoglobin levels nor erythrocyte sedimentation rate or other physiological health metrics, but the heterophil to lymphocyte ratio was higher in nests with the highest quantity of aromatics. The artificial addition of mint reduced the flea abundance, but 7-day old nestlings showed significantly lower colour saturation and brightness in the mouth flange. Nestling survival to fledging was not related to aromatic plant use. Therefore, our results partially support a beneficial effect of aromatic plants in blue tit nests because some ectoparasite groups were reduced. Immediate effects on nestling physiology or survival could not be established. Significance statementSome avian species place fresh aromatic plant material in their nests, and several non-mutually exclusive hypotheses have been proposed to explain its potential functions. In this study, we use both correlational and experimental data from a blue tit population to test two hypotheses, namely the `nest protection hypothesis' and the `drug hypothesis'. The first one proposes that aromatic plants have direct repellent effects against ectoparasites, while the latter poses that these plant components benefit nestling condition through the stimulation of some components of the immune system. Our results suggest that some ectoparasites, such as fleas and obligatory parasitic mites, were less abundant in nests where aromatic plants were artificially or naturally added, respectively, but no relationships were detected with nestling physiology or survival, which could be partially explained by our small sample size. Our study partially supports a beneficial effect of aromatic plants in avian nests.",1,SD,selected,NA
GNM_002_rep,X.WOS.001139646300001,Early corticosterone increases vocal complexity in a wild parrot: An organizational role of the hypothalamic-pituitary-adrenal axis in vocal learning?,"Mclean, Celia R. and Mata, Astolfo and Kline, Richard J. and Berg, Karl S.",JOURNAL OF NEUROENDOCRINOLOGY,NA,NA,NA,2024,10.1111/jne.13365,"The neuroendocrinology of vocal learning is exceptionally well known in passerine songbirds. Despite huge life history, genetic and ecological variation across passerines, song learning tends to occur as a result of rises in gonadal and non-gonadal sex steroids that shape telencephalic vocal control circuits and song. Parrots are closely related but independently evolved different cerebral circuits for vocal repertoire acquisition in both sexes that serve a broader suite of social functions and do not appear to be shaped by early androgens or estrogens; instead, parrots begin a plastic phase in vocal development at an earlier life history stage that favors the growth, maturation, and survival functions of corticosteroids. As evidence, corticosterone (CORT) supplements given to wild green-rumped parrotlets (Forpus passerinus) during the first week of vocal babbling resulted in larger vocal repertoires in both sexes in the remaining days before fledging. Here, we replicate this experiment but began treatment 1 week before in development, analyzing both experiments in one model and a stronger test of the organizational effects of CORT on repertoire acquisition. Early CORT treatment resulted in significantly larger repertoires compared to late treatment. Both treatment groups showed weak negative effects on the early, reduplicated stage of babbling and strong, positive effects of CORT on the later, variegated stage. Results are consistent with more formative effects of corticosteroids at earlier developmental stages and a role of the hypothalamic-pituitary-adrenal axis (HPA) in vocal repertoire acquisition. Given the early emergence of speech in human ontogeny, parrots are a promising model for understanding the putative role of the HPA axis in the construction of neural circuits that support language acquisition. This work shows that week-long corticosterone supplements given to pre-endothermic nestling parrots resulted in larger vocal repertoires than controls more than a week after treatment ended, and larger repertoires than a previous study where CORT was administered a week later in development. Results strongly suggest early, organizational effects of corticosteroids on vocal production learning and a beneficial role of the Hypothalamic-Pituitary-Adrenal axis in the development of complex social communication. This represents adeparture from the songbird model and the experimental support for the putative endocrine pathway that supports language precursors in human infants.image",1,SD,excluded,No green nest material
GNM_003_rep,ref_24,Eggshell spots are an important cue for the egg retrieval behavior in two tit species,Liu J.; Ma L.; Yang X.; Li B.; Wang X.; Liang W.,Animal Cognition,26,5,1697-1703,2023,10.1007/s10071-023-01814-w,"It is a common occurrence for incubating female ground- or cavity-nesting birds to accidentally roll their own eggs out of the nest cup. To correctly roll eggs that are not in the nest cup back to the nest, birds must be able to discriminate between their eggs and things around their nests that could be easily confused for their eggs (e.g., egg-shaped stones or other birds’ eggs). Moreover, there may be a strong interaction between egg retrieval and egg rejection behaviors in the context of avian brood parasitism where recognition and rejection of alien eggs is an effective means for hosts to defend against cuckoo parasitism. It has been shown that green-backed tits (Parus monticolus) and Japanese tits (P. minor) in China have strong egg recognition ability and are able to reject nonmimetic eggs in the nest. Eggshell spots play an essential role in the egg rejection behavior of these two tit hosts. This study investigated the egg retrieval behavior of green-backed tits and Japanese tits by adding one experimental egg to the nest corner to explore whether eggshell spots also play a role in the process of egg retrieval. The results revealed significant differences in the retrieval rates of white-rumped munia (Lonchura striata) eggs painted with spots, Japanese tits’ own true eggs, and unpainted, pure white-white-rumped munia eggs. The retrieval rate of white-white-rumped munia eggs was significantly lower than that of spotted white-rumped munia eggs and Japanese tits’ own spotted eggs. For green-backed tits, the retrieval rate of spotted white-rumped munia eggs in the nest corner was significantly higher than that of pure white-white-rumped munia eggs, while the rejection rate of spotted white-rumped munia eggs was significantly lower than that of pure white-white-rumped munia eggs. These findings indicate that eggshell spots play a key role in the egg retrieval of green-backed tits and Japanese tits. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",2,SD,excluded,No green nest material
GNM_004_rep,X.WOS.001013788400001,Wetland management practices and secretive marsh bird habitat in the Mississippi Flyway: a review,"Malone, Kristen M. and Webb, Elisabeth B. and Mengel, Doreen C. and Kearns, Laura J. and McKellar, Ann E. and Matteson, Sumner W. and Williams, Benjamin R.",JOURNAL OF WILDLIFE MANAGEMENT,87,7,NA,2023,10.1002/jwmg.22451,"Management regimes on publicly owned freshwater wetlands in the Mississippi Flyway of North America (i.e., Flyway) have historically emphasized waterfowl, but there is limited information on how waterfowl-focused wetland management affects other wetland-dependent wildlife. Secretive marsh birds (SMBs) depend on wetlands with emergent vegetation throughout their migratory life cycle and often encounter vegetation and water conditions resulting from waterfowl-focused management regimes. Thus, there is a need for better understanding of how SMBs are affected by wetland management and the extent to which waterfowl-focused management regimes provide habitat for SMBs. In this review, we identify the vegetation and water conditions resulting from typical management objectives on freshwater emergent wetlands in the Flyway, review and qualitatively synthesize results from studies that directly evaluate how wetland management practices affect SMBs or their habitat, and assess how the vegetation and water conditions being produced for target species (mainly waterfowl) align with SMB habitat requirements. We searched online databases and used Google Scholar to locate peer-reviewed literature, technical reports, and graduate theses that pertained to responses of SMBs or their habitat to water-level manipulation, herbicide application, prescribed fire, disking, mowing, and planting crops. There are several management strategies that complement SMBs and waterfowl, such as reducing cover of woody species and providing flooded emergent vegetation. We also highlight management strategies that may not currently align with SMB life-cycle needs and suggest adjustments that might promote habitat for SMBs while still achieving waterfowl population objectives. For example, adjusting the dates and duration of spring water-level drawdowns on a portion of wetlands within a larger complex can provide for spring migrating waterfowl and ensure habitat for migrating and nesting SMBs. Ideally, future studies would address how modifications to management practices affect SMBs and monitor potential effects on waterfowl, resulting in a more holistic approach to wetland management.",2,SD,excluded,Not empirical
GNM_005_rep,X.WOS.000953997300017,EFFECT OF NaH2PO4 ON DIFFERENTIATION OF<i> IN</i><i> VITRO</i><i> PROPAGATED</i> BIRD NEST FERN<i> (ASPLENIUMNIDUS</i> L.),"Raziq, Mariam and Kazmi, Syeda Kahkashan and Nasib, Asma and Soomro, Faheeda and Khan, Saifullah",PAKISTAN JOURNAL OF BOTANY,55,3,965-972,2023,10.30848/PJB2023-3(5),"Nutrients are sources of nourishment and survival for plants. Salt stress changes the morphological, physiological and biochemical responses of plants. Bird nest fern (Asplenium nidus) is typically an exotic plant and belongs to the fern family. Spores of Asplenium nidus were used as an explant for In vitro propagation. After sterilization, the spores of Asplenium nidus were sprinkled over on MS initiation media of different strengths (1/2MS, 1/4 MS, 3/4 MS and Full MS). It was experiential that varying strength of nutrient components of the media has shown markedly influence. It was found that 90\% highest number of green prothalli, larger in size were germinated on 1/2 strength MS media. Prothalli shifted onto multiplication media which correspond 1/2 strength MS medium supplemented with different growth regulators BAP (1-4 mg/L) and NAA (0.5-0.1 mg/L), 3\% sugar and 0.25\% w/v phytagel. It is observed that the F7 media showed an intense effect on the multiplication of plants, Plantlets multiplied vigorously were transferred onto differentiation media. In vitro differentiation of Asplenium nidus plantlets were optimized on differentiation media, MF media which corresponds with half -strength MS media supplemented with NaH2PO4, and MK medium supplemented with KH2PO4 containing BAP (2mg/L) and NAA (0.5mg/L), 3\% sugar and 0.25 w/v solidifying agent (phytagel) was incorporated in each combination at pH 5.75, Media containing NaH2PO4 showed different degrees of differentiation as compared to the media correspond with KH2PO4. The effect of liquid and solid supporting media on the rapid growth of micro propagated fern species Asplenium nidus was also studied about the accessibility of nutrients and water in the culture medium. In this study, two different types of media were used each restrain half -strength MS media containing growth regulators BAP (2mg/L), NAA (0.5mg/L) and IBA (2mg/L) respectively, along with the addition of 200 mg/L NaH2PO4. When shoots attained a sufficient length and become differentiated, then plants were transferred into auxin -rich media. Experiments were conducted to study the effect of different types and levels of auxins in rooting media. Differentiated plantlets were consequently shifted on medium for proliferation of root. Field trials experiments were designed and plantlets of Asplenium nidus were acclimatized in the greenhouse.",1,SD,excluded,Not birds
GNM_006_rep,X.WOS.000998955500001,PHENOTYPE DIFFERENTIATION OF <i>CAPSICUM ANNUUM</i> VAR. <i>GLABRIUSCULUM</i> OF THREE REGIONS IN MEXICO AND ITS RELATION TO CLIMATE,"Romero-Higareda, Cesar Enrique and Hernandez-Verdugo, Sergio and Pacheco-Olvera, Antonio and Retes-Manjarrez, Jesus Enrique and Osuna-Enciso, Tomas and Valdez-Ortiz, Angel",BOTANICAL SCIENCES,101,3,744-760,2023,10.17129/botsci.3289,"Background: Populations of Capsicum annuum var. glabriusculum are found in a wide portion of the Mexican territory, and it is ancestor of many cultivated forms relevant for the Mexican diet. Questions: What are the proportions of phenotypic and genetic variation distributed among its sampled regions, populations and within populations. How does the climate correlates to the population's phenotypic variation. Species: Capsicum annuum var. glabriusculum. Study sites and years: 24 populations form three regions were sampled: Northwest, states of Sonora and Sinaloa; South: Oaxaca and Southeast Tabasco and Yucatan, in Mexico. The experiment was performed between years 2016 to 2018. Methods: Fruits from single plants were collected in wild populations. Plants were grown in a greenhouse. Nested ANOVAS were performed to estimate phenotypic and genetic variance components for different spatial scales. Climate correlation was estimated through univariate and multivariate methods. Results: 49.8 \% of phenotypic variation was detected within families, 11.1 \% among families (within populations), 21.3 \% among populations and 17.6 \% among regions. The genetic basis of phenotypic variation was 50.1\% on average, for this genetic variation 34.2 \% was found among regions, 39.4\% among populations and 26.3 \% within populations. Climate factors generated different patterns of correlations for vegetative, foliar and reproductive traits. Conclusions: Northwest plants were shorth, with small leaves and large fruits, Southeast plants were tall, with large leaves and small fruits, South plants developed intermediate phenotypic traits. Climate explained a large proportion of phenotypic differentiation.",1,SD,excluded,Not birds
GNM_007_rep,ref_18,Sericea lespedeza control with postemergence and preemergence herbicide applications in fields managed for northern bobwhite,Turner M.A.; Powell B.L.; Wade GeFellers J.; Bones J.T.; Marshall S.G.; Harper C.A.,Wildlife Society Bulletin,47,2,-,2023,10.1002/wsb.1442,"Sericea lespedeza (Lespedeza cuneata) is an invasive nonnative legume that commonly occurs on sites managed for northern bobwhite (Colinus virginianus). Sericea reduces bobwhite habitat availability by outcompeting native plants that provide food and cover. Sericea can be controlled with postemergence herbicides such as glyphosate as well as a mixture of triclopyr with fluroxypyr, but these herbicides do not provide preemergence control. Imazapic has been effective at controlling a limited number of planted sericea seeds, but the efficacy of imazapic at various application rates to control sericea seedbank response following treatment with a postemergence herbicide has not been evaluated. We designed a field experiment to evaluate sericea control and changes in the plant community as related to bobwhite habitat with 2 postemergence herbicides followed by preemergence treatment of imazapic at 3 sites in Tennessee and Alabama, USA, 2018–2022. Specifically, we treated sericea with postemergence broadcast applications of glyphosate or triclopyr with fluroxypyr in 2018 and applied spot treatment with the same herbicides in 2019–2021. We applied imazapic at 4 rates following prescribed fire in 2019 and 2022. We measured coverage of sericea, native forbs, annual grasses, perennial grasses, and bobwhite food plants before treatment in 2018 and after all treatments in 2022. Nearly all postemergence treatments reduced sericea coverage, but imazapic did not increase control compared to postemergence herbicides alone. Perennial grasses used for nesting and bobwhite foraging were maintained following treatments. We recommend managers use either glyphosate or triclopyr with fluroxypyr to control sericea postemergence and consider using a low rate of imazapic to reduce annual grasses if coverage is a problem on the site. © 2023 The Authors. Wildlife Society Bulletin published by Wiley Periodicals LLC on behalf of The Wildlife Society.",2,SD,excluded,No green nest material
GNM_008_rep,X.WOS.000967267500001,Compensatory responses differ between parental tasks in a songbird species,"Schiavinato, Matteo and Griggio, Matteo and Pilastro, Andrea A. and Baldan, Davide",ANIMAL BEHAVIOUR,199,NA,141-149,2023,10.1016/j.anbehav.2023.03.005,"In species with biparental care, the amount of care devoted to offspring is affected by the negotiation rules that the parents adopt. Theoretical models predict that biparental care can be evolutionarily stable if a decrease in parental investment by one parent is only partially compensated by its partner. However, empirical studies have found substantial variability in compensatory behaviour and have mainly used nesting provisioning as a single measure of parental effort. In this study, we investigated parental compensatory behaviour for two parental tasks, offspring provisioning and nest defence. These two tasks are likely characterized by different levels of risk as well as different cost and benefit functions for the parents, which may affect the expected level of compensatory responses. We experimentally widowed (by temporarily removing one parent) male or female Spanish sparrows, Passer hispaniolensis, and measured their compensatory responses to offspring provisioning and nest defence (after predator presentation of green whip snake, Hierophis viridiflavus, models). Parents differed in their compensatory responses in relation to parental task and sex: both sexes partially compensated for offspring provi-sioning, but females compensated by a larger degree than males. For predator defence, males instead decreased defence behaviour by increasing latency and reducing the number of attacks, while females did not change their behaviour when caring alone. This within-individual comparison indicates that parents adjust their compensatory behaviour according to parental task. We discuss how these differ-ences could arise due to different costs and benefits of extra investments. (c) 2023 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2,SD,excluded,No green nest material
GNM_009_rep,X.WOS.000899079000001,Breeding in the pandemic: short-term lockdown restrictions in a European capital city did not alter the life-history traits of two urban adapters,"Corsini, Michela and Jagiello, Zuzanna and Walesiak, Michal and Redlisiak, Michal and Stadnicki, Ignacy and Mierzejewska, Ewa and Szulkin, Marta",URBAN ECOSYSTEMS,26,3,665-675,2023,10.1007/s11252-022-01309-5,"Humans are transforming natural habitats into managed urban green areas and impervious surfaces at an unprecedented pace. Yet the effects of human presence per se on animal life-history traits are rarely tested. This is particularly true in cities, where human presence is often indissociable from urbanisation itself. The onset of the SARS-CoV-2 outbreak, along with the resulting lockdown restrictions, offered a unique, ``natural experiment `` to investigate wildlife responses to a sudden reduction in human activity. We analysed four years of avian breeding data collected in a European capital city to test whether lockdown measures altered nestbox occupancy and life-history traits in terms of egg laying date, incubation duration and clutch size in two urban adapters: great tits (Parus major) and blue tits (Cyanistes caeruleus). Lockdown measures, which modulated human presence, did not influence any of the life-history traits investigated. In contrast, the interaction between year and tree cover, a distinct ecological attribute of the urban space, was positively associated with clutch size, a key avian life-history and reproductive trait. This highlights the importance of inter-year variation and habitat quality over human activity on urban wildlife reproduction. We discuss our results in the light of other urban wildlife studies carried out during the pandemic, inviting the scientific community to carefully interpret all lockdown-associated shifts in biological traits.",2,SD,excluded,Not experimental
GNM_010_rep,X.WOS.000900136700017,Study of the chemical and<i> in</i><i> vitro</i> cytotoxic activities of essential oils (EOs) of two plants from the Ivorian flora<i> (Lippia</i><i> multiflora</i> and<i> Zingiber</i><i> officinale)</i> and their antiviral activities against non-enveloped viruses,"Julie Jose-Rita, Bouagnon and Bertin, Guede Kipre and Ibrahime, Sinan Kouadio and Yannick, Konan and Erick-Kevin, Bolou Gbouhoury and Riphin, Koffi Legue and Ceylan, Ramazan and David, N'Guessan Jean and Zengin, Gokhan and Mireille, Dosso",SOUTH AFRICAN JOURNAL OF BOTANY,151,B,387-393,2022,10.1016/j.sajb.2022.03.053,"To investigate chemical compositions and antiviral activities of essential oils (EOs) from two Ivorian aromatic plants (Lippia multiflora and Zingiber officinale) against two non-enveloped viruses (PV-1 and enterovirus type 1), human enteroviruses, chemical composition of LMEO and ZOEO was obtained by GC-MS. Biological activities such as inhibitory action on a-glucosidase, a-amylase, acetylcholinesterase (AChE), butyrylcholi-nesterase (BChE), tyrosinase and antioxidative potential of both EOs were evaluated. Respective cytotoxicity of LMEO and ZOEO towards RD (rhabdomyosarcoma) and L20B (a genetically engineered mouse cell line) were also determined by observation of the cell line carpet. In addition, Antiviral activity of LMEO and ZOEO against poliovirus type I and enterovirus type I was assessed using a cell culture cytopathic inhibition test. From the structure elucidation experiment, a total number of 23 and 30 compounds were respectively identi-fied for LMEO and ZOEO. Among both plant species, ZOEO significantly inhibited type I enterovirus activity by 50\% at 9.860 mu g/mL as compared to LMEO (44.47 mu g/mL), respectively after 48 and 72 h of incubation. Fur-thermore, inhibition was statistically the same for studied essential oils (ZOEO: 9 mu g/mL and LMEO: 9.077 mu g/mL). As a result of our findings, we concluded that the tested essential oils could be used as a source of natural antiviral agents in phytotherapeutic applications.(c) 2022 SAAB. Published by Elsevier B.V. All rights reserved.",1,SD,excluded,Not birds
