"paper_id","label","title","author","journal","volume","number","pages","year","doi","abstract","search_duplicated","n_duplicates","screened_final","notes_final"
"GNM_360","Clark1987227","Olfactory discrimination of plant volatiles by the European starling","Clark, L. and Mason, J.R.","Animal Behaviour",35,"1","227-235",1987,"10.1016/S0003-3472(87)80228-2","Passerine species that re-use nest sites often incorporate fresh green vegetation into their nests, a behaviour consistent with the possibility that some birds may use chemical properties of plants to counteract the selective potential of parasites and pathogens. We tested adult starlings (Sturnus vulgaris) for their physiological capacity and behavioural ability to detect and discriminate between volatiles emitted from plant material. Multi-unit electrophysiological recordings from olfactory nerves of adults indicated that strong responses were reliably elicited by volatiles from six plant species. After pairings of plant volatiles with gastro-intestinal malaise, birds exhibited conditioned avoidance in behavioural experiments, and made all possible pairwise discriminations between volatiles of the various plant species. Bilateral olfactory nerve cuts prior to conditioning abolished the ability to acquire avoidance, suggesting that olfactory cues mediated the response to plant species. These and previous results suggest that starlings use volatile cues to discriminate and choose between plants used in nest construction. Â© 1987.",364,1,"selected","Volatile cues"
"GNM_018","Tom.U.00C3..U.00A1.s2013926","Nest size and aromatic plants in the nest as sexually selected female traits in blue tits","TomÃƒÂ¡s, G. and Merino, S. and MartÃƒÂ­nez-De La Puente, J. and Moreno, J. and Morales, J. and Rivero-De Aguilar, J.","Behavioral Ecology",24,"4","926-934",2013,"10.1093/beheco/art015","Besides the direct functionality of nests driven by natural selection, accumulating evidence shows that nest building behaviors and nests may also evolve under sexual selection. Empirical research on the potential role of nests or nest features as sexual signals, however, is comparatively scarce for avian species in which the female is the only sex involved in its construction because of a male bias in the study of sexual traits, even though maternally built nests may be more common than paternally and biparentally built nests. In blue tits Cyanistes caeruleus, females alone build nests and add aromatic plants to them. We manipulated nest size and amount of aromatic plants in the nest to assess subsequent male effort and risk taking during provisioning of nestlings as indices of differential allocation. Risk taking was assessed through trappability indices of males at the nest-box when provisioning nestlings. Although male provisioning rates did not differ between experimental groups, male risk taking during provisioning was significantly lower in nests reduced in size than in control and enlarged nests, and it was significantly higher in nests supplied with aromatic plants than in control nests. Females showed nonsignificant trends to increase their provisioning effort in reduced nests, probably to compensate reduced male investment. Finally, female provisioning rates and especially male risk taking had a major positive impact on reproductive success and thereby on female fitness. In summary, this study (and previous evidence) suggests that nest size and aromatic plants in blue tit nests are used by females as sexual signals to elicit differential allocation in males. This study adds to the scarce evidence in favor of nests or nest materials acting as sexually selected traits regarding female signaling. Ã‚Â© 2013 The Author. Published by Oxford University Press on behalf of the International Society for Behavioral Ecology. All rights reserved.",18,2,"selected",NA
"GNM_101","X.WOS.000304740200014","Interacting effects of aromatic plants and female age on nest-dwelling ectoparasites and blood-sucking flies in avian nests","Tomas, G. and Merino, S. and Martinez-de la Puente, J. and Moreno, J. and Morales, J. and Lobato, E. and Rivero-de Aguilar, J. and del Cerro, S.","BEHAVIOURAL PROCESSES",90,"2","246-253",2012,"10.1016/j.beproc.2012.02.003","Some avian species incorporate aromatic plants to their nests. The ``nest protection hypothesis{''}, which posits that volatile secondary compounds contained in these plants may have antiparasite properties, has not received full support. All previous tests of this hypothesis have only considered effects on nest-dwelling ectoparasites, but not on blood-sucking flies. The ``drug hypothesis{''} posits that aromatic plants may stimulate nestling immune system, development, or condition. We tested these hypotheses experimentally in wild blue tits Cyanistes caeruleus. a species that adds aromatic plants to their nests. We supplemented aromatic plants to half of a sample of nests, while adding grass to the other half of nests. We quantified abundance of two groups of blood-sucking flies (blackflies and biting midges) at two different stages of the reproductive period, and abundance of three nest-dwelling ectoparasites (fleas, mites, and blowflies). Experimental supplementation of aromatic plants reduced abundance of fleas only in nests of yearling females and not in nests of older females. Blackflies and biting midges were both more numerous in nests of yearling females than in nests of older females. Mass of aromatic plants added by females was negatively related with abundance of fleas in control nests but not in experimental nests supplied with aromatic plants. Mass of plants added by females was also positively related with abundance of blackflies during the nestling stage. Finally, aromatic plants did not affect nestling growth or immune responses. We conclude that several factors such as female experience and their ability to add plants to the nest interact to explain effects of aromatic plants on different parasites. (c) 2012 Elsevier B.V. All rights reserved.",101,2,"selected",NA
"GNM_142","Polo2006942","Nest ornamentation by female spotless starlings in response to a male display: An experimental study","Polo, V. and Veiga, J.P.","Journal of Animal Ecology",75,"4","942-947",2006,"10.1111/j.1365-2656.2006.01103.x","1. The use of behavioural traits by females in signalling condition has been practically ignored in evolutionary theory. However, females may also exhibit ornaments and behavioural displays, although less elaborated than those of males. 2. In this study we suggest that the carrying of feathers by spotless starlings Sturnus unicolor Temminck females to decorate the nest represents an elaborated and costly behaviour that is displayed in response to a courtship male behaviour: the carrying of nest green plants. 3. By experimentally increasing the amount of green plants in the nests, to give the appearance that highly attractive males defended them, we induced females to increase their feather carrying rates. 4. The amount of feathers carried to the nest was correlated to female reproductive experience and laying date, two variables correlated with female body condition. These results suggests that this behaviour may work as an honest indicator of female quality. 5. We conclude that male carrying plants and female carrying feathers can be viewed as two sex-specific functionally related signalling behaviours involved in mutual courtship or status signalling. Ã‚Â© 2006 The Authors.",142,2,"selected",NA
"GNM_069","X.WOS.000400402700010","Telomere length and dynamics of spotless starling nestlings depend on nest-building materials used by parents","Soler, Juan J. and Ruiz-Castellano, Cristina and Figuerola, Jordi and Martin-Vivaldi, Manuel and Martinez-de la Puente, Josue and Ruiz-Rodriguez, Magdalena and Tomas, Gustavo","ANIMAL BEHAVIOUR",126,NA,"89-100",2017,"10.1016/j.anbehav.2017.01.018","Nest materials used by animals can have profound effects on developing offspring. They can modify the bacterial and parasitic environment of the nest, and can influence parental investment through sexual signalling processes. In spotless starlings, Sturnus unicolor, green plants and feathers are known nest materials with such functions. The aim of our study was to experimentally assess their influence on nestlings' telomere length and attrition, which are good predictors of their survival prospects. In a full-factorial experiment, we explored these effects in two different populations, together with the potential effects of hatching date, ectoparasitism, bacterial environment and nestling growth. Telomere length and attrition largely depended on population identity and hatching date. After correcting for these effects, the addition of feathers resulted in higher rates of telomere attrition. The addition of plants did not affect nestling telomeres in general, but did in interaction with location: in Hueneja, the experimental addition of green plants resulted in longer telomeres. Feather pigmentation also did not affect telomere length or attrition in general, but did in interaction with location: in Hueneja, the experimental addition of unpigmented feathers resulted in nestlings with longer telomeres and lower attrition rates. Moreover, prevalence of staphylococci on the skin of 8-day-old nestlings was negatively related to telomere lengths of fledglings. Taken together, these results suggest a direct link between nest material composition and nestling telomere length and dynamics. This relationship could be partially mediated by the antimicrobial and/or antiparasitic properties of nest materials or by sexual signalling processes. We discuss possible roles of maternal effects, parasites, immunity and nestling growth in explaining these experimental effects. (C) 2017 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",69,2,"selected",NA
"GNM_185","Scott.Baumann20221186","Effects of nest-box environment on fledgling success rate and pathogen load","Scott-Baumann, J.F. and Morgan, E.R. and Cogan, T.A.","Parasitology",149,"9","1186-1192",2022,"10.1017/S0031182022000695","Nest boxes have been used for many decades as tools for conservation and to study avian population dynamics. Plastic is increasingly used as a material for nest boxes, but no studies have investigated effects of this different material. Two consecutive studies were conducted to investigate effects of nest-box environment on nidicolous parasites, bacteria and fungi, as well as nest success, in blue tits Cyanistes caeruleus and great tits Parus major. The first compared microclimate and parasite and pathogen load in plastic and wooden nest boxes. The second tested the nest protection hypothesis-that birds naturally incorporate aromatic herbs into nests to decrease nest parasites and pathogens-by comparing parasite and pathogen load in plastic nest boxes to which aromatic or non-aromatic plant material was added. No significant difference in nest-box temperature or relative humidity was found between plastic and wooden boxes. Wooden boxes, however, contained 30-fold higher numbers of fleas and a higher total bacterial load on chicks. Fledging success for blue tit broods was significantly higher in wooden boxes. Parasites and bacteria did not decrease by the inclusion of aromatic herbs. The results increase the evidence base for nest-box design in support of plastic, which can provide an appropriate alternative nest-box material to wood, with apparently no difference in microclimate and no increase in the load of measured parasites and pathogens. Copyright Â© The Author(s), 2022. Published by Cambridge University Press.",185,1,"selected",NA
"GNM_147","X.WOS.000224706100001","Does fresh vegetation protect avian nests from ectoparasites? An experiment with tree swallows","Dawson, RD","CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE",82,"7","1005-1010",2004,"10.1139/Z04-076","Some species of birds incorporate fresh green vegetation into their nests. The adaptive significance of this behaviour, however, is unclear. The ``nest protection hypothesis{''} suggests that volatile chemicals contained in green plants reduce populations of nest-dwelling ectoparasites. I tested this hypothesis with tree swallows, Tachycineta bicolor (Vieillot, 1808), a species that has large infestations of ectoparasites in its nests. I experimentally added green leaves of yarrow (Achillea millefolium L.) to nests and compared these nests to control nests. My results showed that nests with yarrow had significantly higher levels of infestation by fleas, and yarrow had no effect on the number of blow flies detected. There was no effect of yarrow on condition of parents, size of offspring, or the probability of nests fledging at least one young. I did, however, find that second-year (SY) females with yarrow added to their nests hatched significantly more eggs than control SY females. In addition, pairs with yarrow added to their nest were significantly less likely to suffer hatching failure and (or) brood reduction. These beneficial effects of yarrow cannot be explained by reductions in numbers of fleas or blow flies, and I suggest that these results may be due to reductions in numbers of other types of parasites not quantified in my study, such as flying insects or the diseases that they may vector. I discuss my findings for swallows in the context of results from previous studies of other species that habitually use green plant material such as yarrow in their nests.",147,2,"selected",NA
"GNM_349","Fauth199122","Ectoparasitism and the role of green nesting material in the European starling","Fauth, P.T. and Krementz, D.G. and Hines, J.E.","Oecologia",88,"1","22-29",1991,"10.1007/BF00328399","The use of green nesting material is widespred among birds. Recent evidence suggests that birds use secondary chemicals contained in green plants to control ectoparasites. We manipulated green nesting material and ectoparasites of European starlings (Sturnus vulgaris) to test two hypotheses: (1) ectoparasites adversely affect prefledging survival and morphometrics or postfledging survival, and (2) green nesting material ameliorates the effects of ectoparasites. We recorded fat score, numbers of scabs, tarsal length, body mass, and hematocrit level on each nestling 17 days after hatching. We also fitted each nestling with unique patagial tags and resighted the starlings for 6-8 weeks after fledging to estimate survival and sighting rates. Nests devoid of green nesting material and dusted with the insecticide, carbaryl, had fewer high ectoparasite infestations, and nestlings had significantly lower scab scores, and significantly higher body masses than nestlings in undusted boxes. However, there was no difference in postfledging survival between birds from carbaryl-treated and undusted nests. There also was no difference in prefledging survival and morphometrics or postfledging survival between nestlings from boxes with and without green nesting material. These results do not support the hypothesis that starlings use green nesting material to control nest ectoparasites. We suggest an alternative hypothesis; green nesting material is used for mate selection or pairbonding in the starling. Â© 1991 Springer-Verlag.",353,1,"selected",NA
"GNM_032","Polo20041929","Female starlings adjust primary sex ratio in response to aromatic plants in the nest","Polo, V. and Veiga, J.P. and Cordero, P.J. and ViÃ±uela, J. and Monaghan, P.","Proceedings of the Royal Society B: Biological Sciences",271,"1551","1929-1933",2004,"10.1098/rspb.2004.2801","Adjustment of offspring sex ratios should be favoured by natural selection when parents are capable of facultatively altering brood sex ratios and of recognizing the circumstances that predict the probable fitness benefit of producing sons and daughters. Although experimental studies have shown that female birds may adjust offspring sex ratios in response to changes in their own condition and in the external appearance of their mate, and male attributes other than his external morphology are also thought to act as signals of male quality, it is not known whether females will respond to changes in such signals, in the absence of any change in the appearance of the male himself. Here, we experimentally manipulated a male courtship display, the green plants carried to the nest by male spotless starlings (Sturnus unicolor), without changing any physical attributes of the male himself, and examined whether this influenced female decisions on offspring sex ratio. We found that in an environment in which female starlings were producing more daughters than sons, experimental enhancement of the green nesting material caused females to significantly increase the number of male eggs produced and thereby removed the female bias. This effect was consistent in 2 years and at two localities. This demonstrates that the green material, whose function has long puzzled biologists, conveys important information to the female and that she facultatively adjusts offspring production accordingly. Â© 2004 The Royal Society.",32,2,"selected",NA
"GNM_141","Browne2006187","Effect of nestbox construction and colour on the occupancy and breeding success of nesting tits Parus spp.","Browne, S.J.","Bird Study",53,"2","187-192",2006,"10.1080/00063650609461432","Capsule: Breeding performance was not affected, although variation in nestbox occupancy may result from perceived differences in protection from predators and insulation properties. Aim: To assess if nestboxes of different construction and colour were occupied differently by breeding tits and affected breeding success. Methods: A total of 292 nestboxes of different construction and colour were placed in a range of habitats and their occupancy, and the clutch size, brood size and number of young fledged of the birds that used them were measured. Results: Overall 272 tit nests were included in the analysis. Although there were species-related differences in the occupancy of the different types of nestboxes, more tits nested in the boxes constructed from woodcrete (64% of nests) compared to the wooden boxes (36%). More tits nested in green (72%) rather than brown boxes (28%) and in boxes with entrance holes (68%) rather than wedges (32%). The clutch size, brood size and number of young fledged did not vary in relation to nestbox type. Conclusion: Within the parameters of the experimental design of this study, tits are more likely to nest in woodcrete boxes than in wooden boxes, and in wooden boxes that are green and have holes rather than brown boxes with wedge entrances. It is likely that the smaller internal volume, internal darkness, insulating properties and perceived protection from predation were the reasons for these differences. Â© 2006 British Trust for Ornithology.",141,2,"selected","Green nest boxes"
