"paper_id","label","title","author","journal","volume","number","pages","year","doi","abstract","search_duplicated","n_duplicates","screened_final","notes_final"
"GNM_028","Veiga2008167","Age dependent sex allocation in the polygynous spotless starling","Veiga, J.P. and Polo, V. and Cordero, P.J.","Evolutionary Ecology",22,"2","167-176",2008,"10.1007/s10682-007-9166-8","Theoretical and empirical evidence suggests that avian females are able to manipulate the offspring sex ratio at birth. Although mating with an attractive male may induce females to skew the sex ratio toward males, the balance between the benefits of producing attractive sons and the costs of competing with other females for mates could vary with female age, a possibility that had not been previously explored. In this paper we increment experimentally the attractiveness of males of the polygynous spotless starling (Sturnus unicolor) by adding green plants to their nests, a trait involved in courtship, and look for female age-differential effects on offspring primary sex ratio. Young and middle aged females produced more sons in experimental than in control nests, as expected, but old females showed the opposite tendency. To explain this novel result, we speculate that older females are limited to produce the most costly sex because the physiological drawbacks imposed by ageing reduce their ability to compete with younger ones for the non-shareable resources offered by males. We discuss that this evolutionary scenario may be widespread in avian polygynous systems. Â© 2007 Springer Science+Business Media, Inc.",28,2,"selected",NA
"GNM_023","Polo2010129","Experimental addition of green plants to the nest increases testosterone levels in female spotless starlings","Polo, V. and LÃ³pez-Rull, I. and Gil, D. and Veiga, J.P.","Ethology",116,"2","129-137",2010,"10.1111/j.1439-0310.2009.01724.x","Multiple male traits and displays may act in signalling sexually selected processes during courtship. Spotless starling males (Sturnus unicolor) carry green plants into their nests before egg laying, and recent studies have shown that this behaviour is related to female breeding decisions and the production of male-biased broods. Although the functional implications of this effect on females are not yet clear, data suggest that it could be mediated by female circulating hormones. Additionally, females may show higher androgen levels as a consequence of the increased female-female competition generated by the increase in male attractiveness. We tested this hypothesis using the same manipulation of green nesting material that has been previously shown to result in an increase of male attractiveness in male spotless starlings. We found that females in experimental nests increased their circulating testosterone levels during the laying period. In addition, there was an increase of social interferences in the experimental nests because of the addition of green plants. We hypothesise that testosterone may allow females to maintain their mating status when competing with other females for the preferred males. Addition of green plants also increased the variance in the levels of circulating testosterone, suggesting plasticity between females in their response to the manipulation. We propose that there is a functional link between high testosterone levels, male-biased sex ratios and female resource-holding potential in intra-sexual competition in this species. Â© 2010 Blackwell Verlag GmbH.",286,2,"selected",NA
"GNM_267","Gwinner2013307","Nest composition and yolk hormones: Do female European starlings adjust yolk androgens to nest quality?","Gwinner, H. and Yohannes, E. and Schwabl, H.","Avian Biology Research",6,"4","307-312",2013,"10.3184/175815513X13823680612392","The nest is a key element of avian reproductive fitness. It provides the developmental environment for the embryo and nestling thereby affecting their quality and survival. Nests are often constructed by the male and nest quality, elaboration, and ornamentation vary among males in a species. Therefore, male nest-building behaviour is likely under sexual selection and females may use male nest-building behaviour and nest features as cues in mate choice and their own reproductive investment. We tested this hypothesis in European starlings (Sturnus vulgaris). Male starlings present green plants to females during their courtship display and furbish their nests with variable quantities of fresh green plants. The highest frequency of plant incorporation into the nest occurs during pair formation and oogenesis. We determined nest composition and measured yolk testosterone concentrations in eggs. Yolk testosterone concentrations were positively correlated with the amount of green plant material in nests. Because males use green nest material in courtship and green nest material positively affects nestlings' development, we suggest that female European starlings use male nest-building effort, ritualised courtship display of green plants, and nest characteristics in mate choice, and adjust yolk testosterone levels in the eggs to the quality of the nest to optimise offspring growth.",264,1,"selected",NA
"GNM_123","X.WOS.000263366100002","Aromatic plants in nests of blue tits: positive effects on nestlings","Mennerat, Adele and Perret, Philippe and Bourgault, Patrice and Blondel, Jacques and Gimenez, Olivier and Thomas, Don W. and Heeb, Philipp and Lambrechts, Marcel M.","ANIMAL BEHAVIOUR",77,"3","569-574",2009,"10.1016/j.anbehav.2008.11.008","For altricial birds, detailed studies of parental care include egg incubation, brooding and chick feeding, all of them being crucial to offspring survival. Few studies have explored nest building and maintenance from this perspective, although the nest is the first environment experienced by hatchlings. On Corsica, blue tits, Cyanistes caeruleus, incorporate fresh fragments of several species of aromatic plants in the nest cup throughout the nesting period, and replenish the nest with fresh fragments of the same plant species quickly after experimental removal. In this study, we experimentally tested whether aromatic plants used by blue tits affect the growth and condition of nestlings. Because we expected the effects of plants to depend on environmental conditions, we tested this hypothesis both in enlarged and in control broods. Aromatic plants positively affected chick mass gain in enlarged broods. Chicks in nests containing aromatic plants also had higher haematocrit levels. In addition, in 1 of the 2 study years, feathers developed faster in aromatic-treated nests than in nests where aromatic plants had been replaced by a neutral nest material (moss). However, no significant effect of aromatic plants on chick body size at. edging was found. We propose several hypotheses on the proximal mechanisms whereby aromatic plants affect chick growth and condition. (c) 2008 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",123,2,"selected",NA
"GNM_036","X.WOS.000089659000002","Aromatic herbs in Corsican blue tit nests: The `Potpourri' hypothesis","Lambrechts, MM and Dos Santos, A","ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY",21,"3","175-178",2000,"10.1016/S1146-609X(00)00122-3","This study reports that Corsican blue tit (Parus caeruleus ogliastrae) nests contain between one to five aromatic herb species between the onset of egg laying till the chicks' finished growth 13 d after hatching. An herb removal experiment during the chick stage shows that blue tits bring fresh aromatic material 1-5 d after herb removal. Nests with a series of distinct odour classes easily perceived by humans have never been reported in birds. A new `Potpourri' hypothesis is proposed that may explain the functional significance of this behaviour. (C) 2000 Editions scientifiques et medicales Elsevier SAS.",36,2,"selected",NA
"GNM_010","X.WOS.000435198500010","`Green incubation': avian offspring benefit from aromatic nest herbs through improved parental incubation behaviour","Gwinner, Helga and Capilla-Lasheras, Pablo and Cooper, Caren and Helm, Barbara","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",285,"1880",NA,2018,"10.1098/rspb.2018.0376","Development of avian embryos requires thermal energy, usually from parents. Parents may, however, trade off catering for embryonic requirements against their own need to forage through intermittent incubation. This dynamically adjusted behaviour can be affected by properties of the nest. Here, we experimentally show a novel mechanism by which parents, through incorporation of aromatic herbs into nests, effectively modify their incubation behaviour to the benefit of their offspring. Our study species, the European starling, includes in its nest aromatic herbs which promote offspring fitness. We provided wild starlings with artificial nests including or excluding the typically selected fresh herbs and found strong support for our prediction of facilitated incubation. Herb effects were not explained by thermal changes of the nests per se, but by modified parental behaviours. Egg temperatures and nest attendance were higher in herb than herbless nests, egg temperatures dropped less frequently below critical thresholds and parents started their active day earlier. These effects were dynamic over time and particularly strong during early incubation. Incubation period was shorter in herb nests, and nestlings were heavier one week after hatching. Aromatic herbs hence influenced incubation in beneficial ways for offspring, possibly through pharmacological effects on incubating parents.",10,1,"selected",NA
"GNM_070","Rubalcaba2017203","Is offspring dispersal related to male mating status? An experiment with the facultatively polygynous spotless starling","Rubalcaba, J.G. and Veiga, J.P. and Polo, V.","Journal of Avian Biology",48,"2","203-208",2017,"10.1111/jav.00974","Patterns of natal dispersal are generally sex-biased in vertebrates, i.e. female-biased in birds and male-biased in mammals. Interphyletic comparisons in mammals suggest that male-biased dispersal occurs in polygynous and promiscuous species where local mate competition among males exceeds local resource competition among females. However, few studies have analysed sex-biased patterns of dispersal at the individual level, and facultatively polygynous species might offer this opportunity. In the spotless starling, polygynous males exhibit their mating status during courtship carrying higher amounts of green plants to nests than monogamous males. We experimentally incorporated green plants to nests during four years to analyse long-term consequences on breeding success and offspring recruitment rates. We unexpectedly found that experimental sons recruited farther than experimental daughters, while control daughters recruited farther than control sons. A similar pattern was found using observational information from eight years. We discuss this result in the context of local competition hypothesis and speculate that sons dispersed farther from nests controlled by polygynous males to avoid competition with relatives. The amount of green plants in nests affects female perception of male attractiveness and degree of polygyny, although little is known about proximate mechanisms linking this process with the offspring dispersal behaviour. Our results support the idea that male-biased dispersal is related to polygyny in a facultatively polygynous bird. � 2016 The Authors",70,2,"selected",NA
"GNM_355","Clark1988174","Effect of biologically active plants used as netst material and the derived benefit to starling nestlings","Clark, L. and Russell Mason, J.","Oecologia",77,"2","174-180",1988,"10.1007/BF00379183","The European starling Sturnus vulgaris preferentially incorporates fresh sprigs of particular plant species for use as nesting material. Chemicals found in these plants may act to reduce pathogen and ectoparasite populations normally found in nest environments. The present experiments were performed to test this Nest Protection Hypothesis. In the fild, we experimentally determined that wild carrot Daucus carota, a plant species preferred as nest material, effectively reduced the number of hematophagous mites found within nests relative to control nests without green vegetation. Chicks from nests containing wild carrot had higher levels of blood hemoglobin than chicks from control nests. However, there were no differences in weight or feather development. In the laboratory, we found that wild carrot and fleabane, Erigeron philadelphicus, (also preferred by starlings as nest material) substantially reduced the emergence of feeding instars of mites, while garlic mustard, Alliaria officinalis, (commonly available but not preferred) had little effect on the emergence of mites. We infer that preferred plant material may act to inhibit feeding or otherwise delay reproduction of mites, thereby reducing risk of anemia to developing nestlings. Â© 1988 Springer-Verlag.",359,1,"selected",NA
"GNM_011","Ruiz.Castellano2018137","Nest material preferences by spotless starlings","Ruiz-Castellano, C. and TomÃ¡s, G. and Ruiz-RodrÃ­guez, M. and Soler, J.J.","Behavioral Ecology",29,"1","137-144",2018,"10.1093/beheco/arx139","The avian nest is an essential structure for offspring development. For adults, nest building entails costs in terms of time, energy, and exposure to predators and parasites. Amount and diversity of materials used for nest building depend on their availability and functionality in scenarios of sexual selection and parasitism. Green plants and feathers of different colors have been hypothesized to play key roles in offspring protection against pathogens, and we here experimentally assessed spotless starling (Sturnus unicolor) preferences for pigmented versus unpigmented feathers and for different green plants (aromatic vs. non-aromatic plants) as nest materials. We predicted a preferential selection of unpigmented feathers and aromatic plants according to the antimicrobial properties of these materials described in the literature. We evaluated these predictions during nest building and during egg-laying stages. As expected, starlings preferentially selected unpigmented feathers both before and during egg laying, while aromatic plants were preferentially selected only during the egg-laying stage. These results suggest that starlings prefer nest materials that enhance antimicrobial protection of their offspring. We also discuss some other, non-exclusive functions that might explain the observed preference for nest materials, especially with regard to their potential role in sexual signaling. Â©The Author(s) 2017. Published by Oxford University Press on behalf of the International Society for Behavioral Ecology. All rights reserved.",11,2,"selected",NA
"GNM_143","Gwinner2005365","European starlings: Nestling condition, parasites and green nest material during the breeding season","Gwinner, H. and Berger, S.","Journal of Ornithology",146,"4","365-371",2005,"10.1007/s10336-005-0012-x","Male European starlings (Sturnus vulgaris) intermingle fresh herbs, preferably species rich in volatile compounds, into their dry nest material. In a field study, we investigated whether these herbs affect the mite and bacteria load of the nests and the condition of the nestlings either directly or via parasite control. We examined the amount of herbs and the number of plant species males carried into their nests, the variation of volatile compounds in the headspace air of the nest boxes and mite/bacteria load of the nests throughout the season. The amount of herb material and the number of plant species, the number of substances emanated by these plants and the infestation of the nests with bacteria and mites (Dermanyssus gallinae) increased with season. In a field experiment, we exchanged natural starling nests with experimental nests with or without herbs. We found that the herbs had no effect on the mites but fewer bacteria were sampled in nests with herbs than in nests without herbs. The body mass of the fledging was not related to the season or the mite/bacteria load of the nests. However, nestlings from nests with herbs fledged with higher body mass than nestlings from nests without herbs. Both bacteria and mite load were related to nestling mortality. In nests containing no herbs, the numbers of fledglings declined significantly with the increasing mite load while the mites had no effect on the number of fledglings in nests with herbs. Thus, the nest herbs counteracted the effect of the mites. In conclusion, it seems that volatile herbs can reduce bacterial but not mite infestation of the starling nests. The positive influence of herbs on nestling growth indicates that herbs either directly (perhaps as immunostimulants) improve the condition of the nestlings and help them cope with the harmful effects of mites, or they provide a nest environment beneficial for the nestlings' development by the reduction of germs. Â© Dt. Ornithologen-Gesellschaft e.V. 2005.",143,2,"selected",NA
