Nest;Year;Area;Plants treatment;Feather treatment;Log mesophilic bacterial density (1st sampling);log mesophilic bacterial density (2nd sampling);;;;;;;;;;;;;;;
C1;2012;Area 1;No plants;No feathers;0;0.390201415;;;;;;;;;;;;;;;
C11;2012;Area 1;Non-aromatic;No feathers;0.303477314;0;;;;;;;;;;;;;;;
C14;2012;Area 1;Non-aromatic;Pigmented;0.373919907;0.391848842;;;;;;;;;;;;;;;
C16;2012;Area 1;No plants;No feathers;1.314128297;0.554344931;;;;;;;;;;;;;;;
C17;2012;Area 1;Aromatics;Unpigmented;1.080776065;0.386807479;;;;;;;;;;;;;;;
C18;2012;Area 1;No plants;Unpigmented;0.657937797;0.779767828;;;;;;;;;;;;;;;
C19;2012;Area 1;Non-aromatic;No feathers;0.7067408;1.448637366;;;;;;;;;;;;;;;
C2;2012;Area 1;Aromatics;No feathers;0;0.474516885;;;;;;;;;;;;;;;
C23;2012;Area 1;Aromatics;Pigmented;0.312924243;1.281053997;;;;;;;;;;;;;;;
C26;2012;Area 1;Non-aromatic;No feathers;0;0;;;;;;;;;;;;;;;
C28;2012;Area 1;Aromatics;Unpigmented;0.165633336;0;;;;;;;;;;;;;;;
C32;2012;Area 1;Aromatics;Unpigmented;0.306751853;0.757561321;;;;;;;;;;;;;;;
C33;2012;Area 1;Non-aromatic;No feathers;0.699521489;0.497519661;;;;;;;;;;;;;;;
C34;2012;Area 1;Aromatics;Pigmented;0.480767302;0.59117176;;;;;;;;;;;;;;;
C35;2012;Area 1;Non-aromatic;Unpigmented;1.011817095;1.932962359;;;;;;;;;;;;;;;
C36;2012;Area 1;No plants;No feathers;0;0.404567788;;;;;;;;;;;;;;;
C38;2012;Area 1;Aromatics;No feathers;0.179093888;0;;;;;;;;;;;;;;;
C39;2012;Area 1;Non-aromatic;Pigmented;0.172998189;0.186751873;;;;;;;;;;;;;;;
C43;2012;Area 1;Aromatics;Pigmented;0.425687619;0.396016246;;;;;;;;;;;;;;;
C44;2012;Area 1;No plants;Pigmented;1.151643802;1.214437145;;;;;;;;;;;;;;;
C45;2012;Area 1;Non-aromatic;Unpigmented;0;0.659634781;;;;;;;;;;;;;;;
C46;2012;Area 1;Non-aromatic;Pigmented;0.784175439;0.853086389;;;;;;;;;;;;;;;
C47;2012;Area 1;Aromatics;Pigmented;0.3054507;0.306018287;;;;;;;;;;;;;;;
C5;2012;Area 1;Aromatics;No feathers;0.167728701;0.185160739;;;;;;;;;;;;;;;
C50;2012;Area 1;Non-aromatic;Unpigmented;1.031898317;0.921260785;;;;;;;;;;;;;;;
C6;2012;Area 1;No plants;Unpigmented;0;0;;;;;;;;;;;;;;;
C61;2012;Area 1;Aromatics;Unpigmented;0.175172689;1.610114089;;;;;;;;;;;;;;;
C64;2012;Area 1;No plants;Unpigmented;0;0;;;;;;;;;;;;;;;
C68;2012;Area 1;No plants;No feathers;0.55149875;0.291589639;;;;;;;;;;;;;;;
C7;2012;Area 1;No plants;Pigmented;0;0.451163486;;;;;;;;;;;;;;;
C70;2012;Area 1;Aromatics;No feathers;0.598092028;0.399039897;;;;;;;;;;;;;;;
C9;2012;Area 1;Non-aromatic;Unpigmented;1.018512716;0.17784684;;;;;;;;;;;;;;;
PI1;2012;Area 1;Aromatics;Unpigmented;0;0;;;;;;;;;;;;;;;
PI2;2012;Area 1;Non-aromatic;Unpigmented;0;0;;;;;;;;;;;;;;;
PI3;2012;Area 1;Aromatics;Pigmented;0.416737348;0;;;;;;;;;;;;;;;
PI4;2012;Area 1;Non-aromatic;Pigmented;0.188287429;0.180981713;;;;;;;;;;;;;;;
PI6;2012;Area 1;Non-aromatic;No feathers;0.174831852;0.472372315;;;;;;;;;;;;;;;
PI7;2012;Area 1;No plants;No feathers;0;0.456050754;;;;;;;;;;;;;;;
P1;2012;Area 2;Aromatics;Unpigmented;0.307847164;1.086821544;;;;;;;;;;;;;;;
P10;2012;Area 2;No plants;No feathers;0.303932347;1.454256758;;;;;;;;;;;;;;;
P11;2012;Area 2;Aromatics;Unpigmented;0.506853219;1.248205185;;;;;;;;;;;;;;;
P12;2012;Area 2;Non-aromatic;Unpigmented;0.406341225;0.759159969;;;;;;;;;;;;;;;
P13;2012;Area 2;Aromatics;Pigmented;0.476483019;0.941681923;;;;;;;;;;;;;;;
P14;2012;Area 2;Non-aromatic;Pigmented;1.177396951;1.302729545;;;;;;;;;;;;;;;
P15;2012;Area 2;Aromatics;No feathers;0.461387166;0.924794605;;;;;;;;;;;;;;;
P16;2012;Area 2;Non-aromatic;No feathers;0.895507926;2.829535212;;;;;;;;;;;;;;;
P18;2012;Area 2;No plants;No feathers;0.673129619;2.178815867;;;;;;;;;;;;;;;
P2;2012;Area 2;Non-aromatic;Unpigmented;0.173205163;1.12646493;;;;;;;;;;;;;;;
P20;2012;Area 2;Non-aromatic;Unpigmented;0.482899351;1.074862467;;;;;;;;;;;;;;;
P22;2012;Area 2;Non-aromatic;Pigmented;0.626197274;0.852363048;;;;;;;;;;;;;;;
P23;2012;Area 2;Aromatics;No feathers;0.397308592;2.411445495;;;;;;;;;;;;;;;
P24;2012;Area 2;Non-aromatic;No feathers;1.281368285;2.84474162;;;;;;;;;;;;;;;
P26;2012;Area 2;No plants;Pigmented;1.167348257;1.480042312;;;;;;;;;;;;;;;
P27;2012;Area 2;No plants;No feathers;1.051451244;1.741618887;;;;;;;;;;;;;;;
P28;2012;Area 2;Aromatics;Unpigmented;0.393191973;1.222184056;;;;;;;;;;;;;;;
P29;2012;Area 2;Non-aromatic;Unpigmented;0.64718692;2.904170741;;;;;;;;;;;;;;;
P3;2012;Area 2;Aromatics;Pigmented;1.085639047;1.114004689;;;;;;;;;;;;;;;
P30;2012;Area 2;Aromatics;Pigmented;0.296615069;2.395014385;;;;;;;;;;;;;;;
P31;2012;Area 2;Non-aromatic;Pigmented;0.784990442;1.100860448;;;;;;;;;;;;;;;
P32;2012;Area 2;Aromatics;No feathers;0;1.96982107;;;;;;;;;;;;;;;
P33;2012;Area 2;Non-aromatic;No feathers;0.311698371;2.74954213;;;;;;;;;;;;;;;
P35;2012;Area 2;No plants;Unpigmented;0.48901526;2.156135729;;;;;;;;;;;;;;;
P36;2012;Area 2;No plants;Pigmented;0.445073106;2.777345492;;;;;;;;;;;;;;;
P39;2012;Area 2;Non-aromatic;Unpigmented;0.191379329;1.864410106;;;;;;;;;;;;;;;
P4;2012;Area 2;Non-aromatic;Pigmented;0.450250256;1.419319865;;;;;;;;;;;;;;;
P40;2012;Area 2;Aromatics;Pigmented;0.372875415;2.783757399;;;;;;;;;;;;;;;
P41;2012;Area 2;Non-aromatic;Pigmented;0;0;;;;;;;;;;;;;;;
P42;2012;Area 2;Aromatics;No feathers;0;2.835945468;;;;;;;;;;;;;;;
P43;2012;Area 2;Non-aromatic;No feathers;0.994310153;2.311957357;;;;;;;;;;;;;;;
P45;2012;Area 2;No plants;No feathers;0;2.220906519;;;;;;;;;;;;;;;
P5;2012;Area 2;Aromatics;No feathers;0.985130858;2.809866966;;;;;;;;;;;;;;;
P8;2012;Area 2;No plants;Unpigmented;0.651662361;1.155709172;;;;;;;;;;;;;;;
P9;2012;Area 2;No plants;Pigmented;0;1.51029528;;;;;;;;;;;;;;;
