Nest;Area;Year;Contaminated nest;Plant treatment;Feather treatment;log mesophilic bacterial density (1st sampling) cont egg;log mesophilic bacterial density (2nd sampling) cont egg;log mesophilic bacterial density (3rd sampling) cont egg;log mesophilic bacterial density (1st sampling) nocont egg;log mesophilic bacterial density (2nd sampling) nocont egg;log mesophilic bacterial density (3rd sampling) nocont egg;;;;;;;;;;
C11;Area 1;2013;Cont;No plants;Pigmented;0.193052351;0.218473219;0.190669477;0.069858391;0.167403932;0.070300985;;;;;;;;;;
C14;Area 1;2013;No Cont;Aromatics;No feather;;;;0;0.190995159;0.071344894;;;;;;;;;;
C16;Area 1;2013;Cont;No plants;No feather;0;0.075629888;0.108368694;0.066546683;0.071886965;0.066843404;;;;;;;;;;
C18;Area 1;2013;Cont;Aromatics;Unpigmented;0.152704693;0.073473221;0.167622314;0;0.074593981;0.067683582;;;;;;;;;;
C2;Area 1;2013;Cont;Aromatics;No feather;0.068925723;0.11074899;0.075849743;0;0;0.074698783;;;;;;;;;;
C21;Area 1;2013;Cont;Non-aromatic;No feather;0.119408297;0.070319495;0;0.117665794;0.119237155;0;;;;;;;;;;
C26;Area 1;2013;Cont;Non-aromatic;Unpigmented;0.143498318;0.115762757;0.197793845;0;0.167477378;0.116336545;;;;;;;;;;
C28;Area 1;2013;Cont;No plants;Unpigmented;0.122752131;0.147554971;0.236648339;0.150655965;0.201829352;0.146070562;;;;;;;;;;
C29;Area 1;2013;No Cont;No plants;Pigmented;;;;0.120886482;0.064886997;0.202280333;;;;;;;;;;
C3;Area 1;2013;No Cont;Non-aromatic;Unpigmented;;;;0.2024773;0;0.267850733;;;;;;;;;;
C31;Area 1;2013;Cont;No plants;Unpigmented;0.064862526;0.171772875;0.186446663;0.121698049;0.193015882;0.07425108;;;;;;;;;;
C32;Area 1;2013;Cont;No plants;Pigmented;0;0.119431817;0.233926414;0.071405284;0.15363261;0.188875691;;;;;;;;;;
C33;Area 1;2013;Cont;No plants;No feather;0;0;0.141614783;0.117552892;0;0.069495753;;;;;;;;;;
C34;Area 1;2013;No Cont;Aromatics;Unpigmented;;;;0.205198017;0.169916868;0.10869086;;;;;;;;;;
C35;Area 1;2013;Cont;Non-aromatic;Pigmented;0.284521791;0.069725422;0.241291111;0.147460006;0.188935463;0.144416056;;;;;;;;;;
C38;Area 1;2013;Cont;Aromatics;No feather;0.303885613;0.263161709;0.265388334;0;0;0;;;;;;;;;;
C39;Area 1;2013;Cont;Non-aromatic;Pigmented;0;0.06853456;0.068131397;0;0.151814026;0.173388291;;;;;;;;;;
C44;Area 1;2013;No Cont;No plants;No feather;;;;0.143041588;0.28411367;0;;;;;;;;;;
C44;Area 1;2013;No Cont;No plants;No feather;;;;0.069086585;0.11369054;0.071953542;;;;;;;;;;
C45;Area 1;2013;No Cont;Non-aromatic;No feather;;;;0;0;0.071979569;;;;;;;;;;
C46;Area 1;2013;Cont;Non-aromatic;Unpigmented;0.118367091;0.117708693;0.234631969;0.120004127;0.110354398;0.373127187;;;;;;;;;;
C47;Area 1;2013;Cont;Aromatics;Pigmented;0.113737216;0.145488238;0.190890834;0.176735763;0.075367433;0.117118367;;;;;;;;;;
C5;Area 1;2013;No Cont;Non-aromatic;Pigmented;;;;0;0.119141287;0.2545233;;;;;;;;;;
C6;Area 1;2013;No Cont;Aromatics;Pigmented;;;;0;0.119021595;0.076303069;;;;;;;;;;
C61;Area 1;2013;No Cont;Aromatics;Pigmented;;;;0;0.167999277;0.214528775;;;;;;;;;;
C69;Area 1;2013;Cont;Non-aromatic;No feather;0.113734162;0.070572923;0.119541111;0.074756412;0.109426716;0.149928277;;;;;;;;;;
C7;Area 1;2013;Cont;Aromatics;Pigmented;0.124606801;0.124606801;0.075120166;0.178661263;0.070615241;0.122242598;;;;;;;;;;
C9;Area 1;2013;No Cont;No plants;Unpigmented;;;;0.07418042;0;0.187556114;;;;;;;;;;
P1;Area 1;2013;Cont;Aromatics;Unpigmented;0;0.226861311;0.208238725;0.072900672;0.069967307;0.111761247;;;;;;;;;;
P10;Area 1;2013;Cont;Non-aromatic;Pigmented;0.111931577;0.200113697;0.111223556;0.15353437;0;0.11392502;;;;;;;;;;
P11;Area 1;2013;No Cont;No plants;Unpigmented;;;;0.228427336;0.196346315;0.191979663;;;;;;;;;;
