boxunique,nesttype,year,hatchdate,eggslaid,chickshatchday,maxchicks,hatchsuccess,massday7,meandevoscore
Box01_2006,1,2006,21/05/2006,5,4,4,0.8,54.25,1.75
Box05_2006,1,2006,20/05/2006,6,3,4,0.666666667,55.8,1.2
Box06_2006,1,2006,21/05/2006,7,3,4,0.571428571,50.7,0.6
Box06_2007,1,2007,25/04/2007,6,4,4,0.666666667,39.5,1
Box07_2007,2,2007,18/05/2007,5,4,5,1,NA,1
Box08_2006,1,2006,20/05/2006,5,3,3,0.6,43.36666667,1.5
Box08_2007,1,2007,21/05/2007,7,6,6,0.857142857,53.45,1.833333333
Box10_2006,2,2006,20/05/2006,5,3,3,0.6,40.66666667,0.75
Box10_2007,2,2007,04/05/2007,5,3,3,0.6,38.8,0.75
Box11_2007,2,2007,27/04/2007,5,3,3,0.6,46.5,1.5
Box13_2007,2,2007,25/04/2007,5,4,4,0.8,39.15,1.5
Box15_2006,2,2006,24/05/2006,6,2,3,0.5,36.2,0
Box15_2007,2,2007,07/05/2007,6,2,3,0.5,50.33333333,0
Box16_2007,2,2007,06/05/2007,5,1,1,0.2,NA,0.333333333
Box17_2006,2,2006,21/05/2006,6,4,5,0.833333333,43.78,0
Box17_2007,1,2007,NA,5,4,4,0.8,NA,2
Box18_2007,2,2007,24/05/2007,5,3,3,0.6,34.5,1.5
Box20_2006,1,2006,21/05/2006,6,4,4,0.666666667,48.05,0.8
Box21_2007,1,2007,20/05/2007,6,5,5,0.833333333,NA,1.6
Box23_2007,1,2007,09/05/2007,5,2,2,0.4,42.4,0.5
Box24_2007,1,2007,29/04/2007,5,4,4,0.8,48.85,1.5
Box27_2006,2,2006,22/05/2006,5,2,2,0.4,44.95,0.5
Box29_2007,1,2007,NA,5,NA,NA,NA,NA,NA
Box30_2006,1,2006,21/05/2006,4,3,3,0.75,45.5,1.333333333
Box30_2007,1,2007,28/05/2007,6,5,5,0.833333333,58.15,2
Box31_2007,1,2007,23/04/2007,5,4,4,0.8,NA,1.25
Box33_2007,2,2007,24/04/2007,6,4,4,0.666666667,46.1,1.75
Box34_2006,2,2006,21/05/2006,5,2,3,0.6,49.3,1
Box35_2006,2,2006,22/05/2006,6,4,5,0.833333333,NA,0
Box35_2007,1,2007,24/04/2007,5,2,2,0.4,NA,0.75
Box39_2006,1,2006,22/05/2006,6,4,5,0.833333333,39.46,1.4
Box45_2006,2,2006,21/05/2006,5,4,4,0.8,21.63333333,0
Box46_2006,1,2006,21/05/2006,6,3,3,0.5,NA,0
Box46_2007,1,2007,24/05/2007,4,2,2,0.5,NA,NA
Box48_2006,2,2006,22/05/2006,5,3,3,0.6,39.73333333,1
Box51_2007,2,2007,NA,3,NA,NA,NA,NA,NA
Box53_2007,1,2007,23/04/2007,5,3,3,0.6,NA,2
