Location,Nest,Hatching date (1=1st april),Feather treatments,Feather pigmentation  treatments,Plant treatments,Tarsus length (3 days old),Body mas (3 days old),Number of feathers (day 3),log10 mesophilic bacteria (3 days old),Enterobacteriaceaes (3 days old),Staphylococci (3 days old),log10 Enterococcus (3 days old),log Carnus (day 8),log10 mesophilic bacteria (8days old),Enterobacteriaceaes (8 days old),Staphylococci (8days old),Enterococcus (8 days old),Body mas (14 days old),Tarsus length (14 days old),Rank Telomere length (day 14),Residuals Rank Telomere length (day 14),Dif rank (14-3 days),Residuals Dif rank (14-3 days)
Calahorra,EC10,48,no feathers,,plants,12.35,13.9,9,1.3979,0,0,2.2279,1.945910149,2.937016107,0,1,2.309630167,41.1,24.83,140,75.00505,13,-11.04473
Calahorra,EC10,48,no feathers,,plants,13.24,16,9,1.3979,0,0,2.2279,1.945910149,2.937016107,0,1,2.309630167,85.3,30.17,17,-47.99495,50,25.95527
Calahorra,EC100,50,feathers,unpigmented,plants,11.89,14.3,2,2.7701,0,0,2.8651,1.791759469,3.193402903,0,1,3.288696261,87.5,30.58,43,-25.49542,5,-13.57197
Calahorra,EC100,50,feathers,unpigmented,plants,12.25,11.3,2,2.7701,0,0,2.8651,1.791759469,3.193402903,0,1,3.288696261,85.4,30.5,41,-27.49542,56,37.42803
Calahorra,EC104,49,no feathers,,no plants,13.21,18.7,7,2.6712,1,0,1.5682,2.708050201,3.778223627,1,0,3.681241237,75,30.35,27,-39.55311,23,1.37438
Calahorra,EC104,49,no feathers,,no plants,14.22,17.7,7,2.6712,1,0,1.5682,2.708050201,3.778223627,1,0,3.681241237,86.7,31.18,3,-63.55311,3,-18.62562
Calahorra,EC104,49,no feathers,,no plants,13.68,18.4,7,2.6712,1,0,1.5682,2.708050201,3.778223627,1,0,3.681241237,79.1,30.87,18,-48.55311,48,26.37438
Calahorra,EC104,49,no feathers,,no plants,14.74,21.5,7,2.6712,1,0,1.5682,2.708050201,3.778223627,1,0,3.681241237,81.7,29.39,24,-42.55311,60,38.37438
Calahorra,EC106,48,feathers,pigmented,no plants,11.74,11.3,13,2.5988,0,0,3.6813,1.791759469,2.227886705,0,1,1.857332496,77.8,32.23,50,-14.99495,41,16.95527
Calahorra,EC106,48,feathers,pigmented,no plants,13.56,16.7,13,2.5988,0,0,3.6813,1.791759469,2.227886705,0,1,1.857332496,75.3,31.87,15,-49.99495,90,65.95527
Calahorra,EC106,48,feathers,pigmented,no plants,12.3,10.1,13,2.5988,0,0,3.6813,1.791759469,2.227886705,0,1,1.857332496,80.1,30.48,8,-56.99495,81,56.95527
Calahorra,EC107,35,no feathers,,no plants,15.11,22.2,73,3.5564,1,0,4.2095,1.791759469,4.69197393,1,0,2.77815125,81.5,30.15,32,-47.69666,33,35.25002
Calahorra,EC107,35,no feathers,,no plants,15.35,21.6,73,3.5564,1,0,4.2095,1.791759469,4.69197393,1,0,2.77815125,80.3,29.73,69,-10.69666,57,59.25002
Calahorra,EC111,36,feathers,pigmented,plants,15.63,22.8,41,4.2095,1,0,2.9547,3.850147602,2.733197265,0,0,2.584331224,68.4,29.3,116,39.73915,16,12.4201
Calahorra,EC13,36,feathers,pigmented,no plants,15.41,19.4,50,3.3804,1,0,3.5564,1.609437912,3.857392811,0,0,2.658964843,57.8,26.91,107,30.73915,-48,-51.5799
Calahorra,EC13,36,feathers,pigmented,no plants,16.46,24.6,50,3.3804,1,0,3.5564,1.609437912,3.857392811,0,0,2.658964843,72.4,28.2,78,1.73915,55,51.4201
Calahorra,EC17,37,feathers,pigmented,plants,15.45,20.6,61,4.0792,1,0,4.2095,0.693147181,3.857392811,1,0,3.169086357,81.3,29.29,139,65.79081,0,-8.77527
Calahorra,EC27,50,no feathers,,no plants,10.12,8.3,20,2.5276,0,0,1.5682,3.496507561,3.209783015,0,0,3.309630167,82.9,30.87,103,34.50458,27,8.42803
Calahorra,EC27,50,no feathers,,no plants,14.26,22,20,2.5276,0,0,1.5682,3.496507561,3.209783015,0,0,3.309630167,81.9,30.48,9,-59.49542,83,64.42803
Calahorra,EC27,50,no feathers,,no plants,14.64,19.7,20,2.5276,0,0,1.5682,3.496507561,3.209783015,0,0,3.309630167,82.8,30.97,104,35.50458,16,-2.57197
Calahorra,EC32,36,feathers,unpigmented,plants,17.25,28.1,40,4.6813,0,1,4.2095,2.48490665,4.079217436,0,0,3.397244581,64,28.84,82,5.73915,14,10.4201
Calahorra,EC32,36,feathers,unpigmented,plants,15.06,19.5,40,4.6813,0,1,4.2095,2.48490665,4.079217436,0,0,3.397244581,51.5,27.4,53,-23.26085,84,80.4201
Calahorra,EC32,36,feathers,unpigmented,plants,16.58,26.7,40,4.6813,0,1,4.2095,2.48490665,4.079217436,0,0,3.397244581,71.1,26.16,109,32.73915,-50,-53.5799
Calahorra,EC36,35,feathers,pigmented,plants,13.35,13.1,25,,,,,2.197224577,3.473778835,1,0,3.209515015,72,29.53,38,-41.69666,47,49.25002
Calahorra,EC36,35,feathers,pigmented,plants,19.31,32.2,25,,,,,2.197224577,3.473778835,1,0,3.209515015,68.4,28.1,28,-51.69666,74,76.25002
Calahorra,EC38,38,feathers,pigmented,no plants,11.28,10.9,20,3.1169,1,0,2.9547,1.098612289,4.033463966,0,0,3.77815125,80.2,27.83,77,6.45832,24,10.66389
