paper_id,title,author,journal,year,doi
GNM_001,"Consequences of experimental addition of fresh, aromatic plants into nests of blue tits (Cyanistes caeruleus) on the physiological condition of nestlings",Glądalski M; Kaliński A; Wawrzyniak J; Bańbura M; Markowski M; Skwarska J; Bańbura J,Behavioral Ecology and Sociobiology,2020,10.1007/s00265-020-2812-7
GNM_002,Development of nestling blue tits (Cyanistes caeruleus) is affected by experimental addition of aromatic plants,Pires BA; Belo ADF; Diamantino F; Rabaça JE; Merino S,Avian Biology Research,2020,10.1177/1758155920921075
GNM_010,'Green incubation': avian offspring benefit from aromatic nest herbs through improved parental incubation behaviour,Gwinner H; Capilla-Lasheras P; Cooper C; Helm B,Proceedings of the Royal Society B: Biological Sciences,2018,10.1098/rspb.2018.0376
GNM_016,Green plants in nests reduce offspring recruitment rates in the spotless starling,Polo V; Rubalcaba JG; Veiga JP,Behavioral Ecology,2015,10.1093/beheco/arv056
GNM_018,Nest size and aromatic plants in the nest as sexually selected female traits in blue tits,Tomás G; Merino S; Martínez-de la Puente J; Moreno J; Morales J; Rivero-de Aguilar J,Behavioral Ecology,2013,10.1093/beheco/art015
GNM_023,Experimental Addition of Green Plants to the Nest Increases Testosterone Levels in Female Spotless Starlings,Polo V; López-Rull I; Gil D; Veiga JP,Ethology,2010,10.1111/j.1439-0310.2009.01724.x
GNM_024,Do female spotless starlings (Sturnus unicolor) adjust maternal investment according to male attractiveness?,López-Rull I; Gil D,Journal of Avian Biology,2009,10.1111/j.1600-048X.2009.04553.x
GNM_028,Age dependent sex allocation in the polygynous spotless starling,Veiga JP; Polo V; Cordero PJ,Evolutionary Ecology,2008,10.1007/s10682-007-9166-8
GNM_032,Female starlings adjust primary sex ratio in response to aromatic plants in the nest,Polo V; Veiga JP; Cordero PJ; Viñuela J; Monaghan P,Proceedings of the Royal Society of London. Series B: Biological Sciences,2004,10.1098/rspb.2004.2801
GNM_069,Telomere length and dynamics of spotless starling nestlings depend on nest-building materials used by parents,Soler JJ; Ruiz-Castellano C; Figuerola J; Martín-Vivaldi M; Martínez-de la Puente J; Ruiz-Rodríguez M; Tomás G,Animal Behaviour,2017,10.1016/j.anbehav.2017.01.018
GNM_101,Interacting effects of aromatic plants and female age on nest-dwelling ectoparasites and blood-sucking flies in avian nests,Tomás G; Merino S; Martínez-de la Puente J; Moreno J; Morales J; Lobato E; Rivero-de Aguilar J; del Cerro S,Behavioural Processes,2012,10.1016/j.beproc.2012.02.003
GNM_121,Aromatic plants in nests of the blue tit Cyanistes caeruleus protect chicks from bacteria,Mennerat A; Mirleau P; Blondel J; Perret P; Lambrechts MM; Heeb P,Oecologia,2009,10.1007/s00442-009-1418-6
GNM_123,Aromatic plants in nests of blue tits: positive effects on nestlings,Mennerat A; Perret P; Bourgault P; Blondel J; Gimenez O; Thomas DW; Heeb P; Lambrechts MM,Animal Behaviour,2009,10.1016/j.anbehav.2008.11.008
GNM_128,Aromatic plants in blue tit Cyanistes caeruleus nests: no negative effect on blood-sucking Protocalliphora blow fly larvae,Mennerat A; Perret P; Caro SP; Heeb P; Lambrechts MM,Journal of Avian Biology,2008,10.1111/j.0908-8857.2008.04400.x
GNM_137,"Experimental addition of greenery reduces flea loads in nests of a non-greenery using species, the tree swallow Tachycineta bicolor",Shutler D; Campbell AA,Journal of Avian Biology,2007,10.1111/j.2007.0908-8857.04015.x
GNM_143,"European starlings: nestling condition, parasites and green nest material during the breeding season",Gwinner H; Berger S,Journal of Ornithology,2005,10.1007/s10336-005-0012-x
GNM_147,Does fresh vegetation protect avian nests from ectoparasites? An experiment with tree swallows,Dawson RD,Canadian Journal of Zoology,2004,10.1139/Z04-076
GNM_152,Green nesting material has a function in mate attraction in the European starling,Brouwer L; Komdeur J,Animal Behaviour,2004,10.1016/j.anbehav.2003.07.005
GNM_185,Effects of nest-box environment on fledgling success rate and pathogen load,Scott-Baumann JF; Morgan ER; Cogan TA,Parasitology,2022,10.1017/S0031182022000695
GNM_237,Nest Material Shapes Eggs Bacterial Environment,Ruiz-Castellano C; Tomás G; Ruiz-Rodríguez M; Martín-Gálvez D; Soler JJ,PLOS ONE,2016,10.1371/journal.pone.0148894
GNM_349,Ectoparasitism and the role of green nesting material in the European starling,Fauth PT; Krementz DG; Hines JE,Oecologia,1991,10.1007/BF00328399
GNM_355,Effect of biologically active plants used as netst material and the derived benefit to starling nestlings,Clark L; Mason JR,Oecologia,1988,10.1007/BF00379183
GNM_001_add,Is there a role for aromatic plants in blue tit (Cyanistes caeruleus) nests? Results from a correlational and an experimental study,Garrido-Bautista J; Ramos JA; Arce SI; Melero-Romero P; Ferreira R; Santos-Baena C; Guímaro HR; Martín-Villegas C; Moreno-Rueda G; Norte AC,Behavioral Ecology and Sociobiology,2023,10.1007/s00265-023-03393-9
