"","paper_ID","fulltext_screening","fulltext_notes","variable_note","authors","year_publication","population_location","Observation_ID","experiment_ID","experiment_ID_coded","group_ID","group_ID_coded","repeated_trait_ID","repeated_trait_ID_coded","bird_species","treatment_plant_species","control_plant_species","comparision_type","CH","PCH","Hypothesis","measure_central_tendency_experiment","type_measure_central_tendency_experiment","measure_dispersion_experiment","sd_experiment","type_measure_dispersion_experiment","n_experiment","effective_n_experiment","measure_central_tendency_control","type_measure_central_tendency_control","measure_dispersion_control","sd_control","type_measure_dispersion_control","n_control","effective_n_control","fitness_proxy","trait_type","proxy_decision","proxy_comment","proxies_sign","statistics_type","test_statistics_type","statistics_value","p_value","sign_relationship","total_sample_size","DF","data_location","parasite_type","time_of_gnm_addition","extractor_ID","extractor_comments","data_checker_ID","data_checker_comments","blinding","random_assignment","missing_data","shared_experiment","shared_control","fitness_proxy_cleaned","population_ID","count","geary_control","geary_trt","geary_test","lnRR","lnRR_variance","lnRR_sign","SMDH","SMDH_variance","SMDH_sign"
"1","GNM_137","included",NA,"mean and variance","Shutler D.; Campbell A. A.",2007,"Nova Scotia and New Brunswick, Canada (between 45.40N and 46.0N, and 64.10E and 64.30E)","31",1,"GNM_137_1",1,"GNM_137_1",5,"GNM_137_5","Tachycineta bicolor","Achillea millefolium","blank","2",0,1,"PCH",3.3,"mean",5,5,"SD",44,44,2.5,"mean",3.9,3.9,"SD",23,23,"Blowfly pupae","Parasitic_and_pathogenic","include",NA,-1,NA,NA,NA,NA,NA,NA,NA,"table 1","Arthropod","a","JMGS","***I did not include the means reported in table 1 that came from a PCA (i.e. Size and Leukocytes) ***","SD",NA,"n","y","n",1,1,"blowflies_number","Nova Scotia and New Brunswick, Canada",90,3.0411945143698,4.35321057229021,"pass",0.277631736598279,0.157983334603672,-0.277631736598279,0.169797993420381,0.0664206929891483,-0.169797993420381
"2","GNM_137","included",NA,"mean and variance","Shutler D.; Campbell A. A.",2007,"Nova Scotia and New Brunswick, Canada (between 45.40N and 46.0N, and 64.10E and 64.30E)","32",1,"GNM_137_1",1,"GNM_137_1",6,"GNM_137_6","Tachycineta bicolor","Achillea millefolium","blank","2",0,1,"PCH",418.8,"mean",220.8,220.8,"SD",44,44,773,"mean",422.8,422.8,"SD",23,23,"Fleas per nest","Parasitic_and_pathogenic","include",NA,-1,NA,NA,NA,NA,NA,NA,NA,"table 1","Arthropod","a","JMGS","***I did not include the means reported in table 1 that came from a PCA (i.e. Size and Leukocytes) ***","SD",NA,"n","y","n",1,1,"fleas_number","Nova Scotia and New Brunswick, Canada",90,8.67387805342538,12.5104618719473,"pass",-0.61288556959104,0.0193244884289622,0.61288556959104,-1.14952025139745,0.0760667038085757,1.14952025139745
"3","GNM_237","included",NA,"log10, treatment is shared so effective treatment sample size will be divided by 11","Ruiz-Castellano C.; Tomas G.; Ruiz-Rodriguez M.; Martin-Galvez D.; Soler J. J.",2016,"Hoya de Guadix, southeast Spain (37.18N, 3.11W)","55",1,"GNM_237_1",1,"GNM_237_1",1,"GNM_237_1","Sturnus unicolor","Marrubium vulgare, Artemisia barrelieri, Lamium amplexicaule, Anacyclus clavatus","blank","2",0,1,"PCH",0.968567907777778,"mean",0.454855100011637,0.454855100011637,"sd",9,4.5,1.224397283875,"mean",0.363817483491258,0.363817483491258,"sd",8,8,"log mesophilic bacteria","Parasitic_and_pathogenic","include",NA,-1,NA,NA,NA,NA,NA,NA,NA,"open data provided by the authors: DOI: 10.6084/m9.  figshare.2068896. (as tree datasets were provided in the same spreadsheet this part refers only to the natural nests","Micro-organism","c","JMGS","treatment = No feather/Plants/Not contaminated/ Year 2012; control=  No feather/No plants/Not contaminated/ Year 2012; Data extracted for natural nests second sample","SD","Experiment ID: changes by year and natural and artificial nests.. Group ID: changes by unpigmented, pigmented and no feather and artificial and non artifical and year and area.","n","y","n",2,1,"bacterial_load","Hoya de Guadix, Spain",90,9.23038517124417,6.21554246659637,"pass",-0.23438539190254,0.0600452597409869,0.23438539190254,-0.597825388066348,0.361518030006889,0.597825388066348
"4","GNM_237","included",NA,"log10, treatment is shared so effective treatment sample size will be divided by 12","Ruiz-Castellano C.; Tomas G.; Ruiz-Rodriguez M.; Martin-Galvez D.; Soler J. J.",2016,"Hoya de Guadix, southeast Spain (37.18N, 3.11W)","56",1,"GNM_237_1",2,"GNM_237_2",2,"GNM_237_2","Sturnus unicolor","Marrubium vulgare, Artemisia barrelieri, Lamium amplexicaule, Anacyclus clavatus","blank","2",0,1,"PCH",0.829531179,"mean",0.142963931110729,0.142963931110729,"sd",9,4.5,0.974879718833333,"mean",0.419871933598624,0.419871933598624,"sd",6,6,"log mesophilic bacteria","Parasitic_and_pathogenic","include",NA,-1,NA,NA,NA,NA,NA,NA,NA,"open data provided by the authors: DOI: 10.6084/m9.  figshare.2068896. (as tree datasets were provided in the same spreadsheet this part refers only to the natural nests","Micro-organism","c","JMGS","treatment = Pigmented/Plants/Not contaminated/ Year 2012; control=  Pigmented/No Plants/Not contaminated/ Year 2012; Data extracted for natural nests second sample","SD","Experiment ID: changes by year and natural and artificial nests.. Group ID: changes by unpigmented, pigmented and no feather and artificial and non artifical and year and area.","n","y","n",2,1,"bacterial_load","Hoya de Guadix, Spain",90,5.45985423986893,16.936679296688,"pass",-0.161453401461042,0.0375162638617308,0.161453401461042,-0.394421827851449,0.396296916426302,0.394421827851449
"5","GNM_237","included",NA,"log10, treatment is shared so effective treatment sample size will be divided by 13","Ruiz-Castellano C.; Tomas G.; Ruiz-Rodriguez M.; Martin-Galvez D.; Soler J. J.",2016,"Hoya de Guadix, southeast Spain (37.18N, 3.11W)","57",1,"GNM_237_1",3,"GNM_237_3",3,"GNM_237_3","Sturnus unicolor","Marrubium vulgare, Artemisia barrelieri, Lamium amplexicaule, Anacyclus clavatus","blank","2",0,1,"PCH",1.17251299127273,"mean",0.522131630625313,0.522131630625313,"sd",11,5.5,0.9097790629,"mean",0.372455693129957,0.372455693129957,"sd",10,10,"log mesophilic bacteria","Parasitic_and_pathogenic","include",NA,-1,NA,NA,NA,NA,NA,NA,NA,"open data provided by the authors: DOI: 10.6084/m9.  figshare.2068896. (as tree datasets were provided in the same spreadsheet this part refers only to the natural nests","Micro-organism","c","JMGS","treatment = Unpigmented/Plants/Not contaminated/ Year 2012; control= Unpigmented/No Plants/Not contaminated/ Year 2012; Data extracted for natural nests second sample","SD","Experiment ID: changes by year and natural and artificial nests.. Group ID: changes by unpigmented, pigmented and no feather and artificial and non artifical and year and area.","n","y","n",2,1,"bacterial_load","Hoya de Guadix, Spain",90,7.53594040943729,7.28239388665318,"pass",0.253702798224659,0.052814837714933,-0.253702798224659,0.578735406860513,0.292622526048956,-0.578735406860513
"6","GNM_237","included",NA,"log10, treatment is shared so effective treatment sample size will be divided by 15","Ruiz-Castellano C.; Tomas G.; Ruiz-Rodriguez M.; Martin-Galvez D.; Soler J. J.",2016,"Hoya de Guadix, southeast Spain (37.18N, 3.11W)","58",2,"GNM_237_2",4,"GNM_237_4",5,"GNM_237_5","Sturnus unicolor","Marrubium vulgare, Artemisia barrelieri, Lamium amplexicaule, Anacyclus clavatus","blank","2",0,1,"PCH",1.479707969,"mean",0.417408463246513,0.417408463246513,"sd",5,2.5,1.258281101,"mean",0.47625381167065,0.47625381167065,"sd",4,4,"log mesophilic bacteria","Parasitic_and_pathogenic","include",NA,-1,NA,NA,NA,NA,NA,NA,NA,"open data provided by the authors: DOI: 10.6084/m9.  figshare.2068896. (as tree datasets were provided in the same spreadsheet this part refers only to the natural nests","Micro-organism","c","JMGS","treatment = No feather/Plants/Not contaminated/ Year 2013; control= treatment = No feather/No Plants/Not contaminated/ Year 2013; Data extracted for natural nests second sample","SD","Experiment ID: changes by year and natural and artificial nests.. Group ID: changes by unpigmented, pigmented and no feather and artificial and non artifical and year and area.","n","y","n",2,1,"bacterial_load","Hoya de Guadix, Spain",90,4.97324971108485,7.54936573067241,"pass",0.162098166030697,0.0676442701531946,-0.162098166030697,0.39778876515002,0.662171992436891,-0.39778876515002
"7","GNM_237","included",NA,"log10, treatment is shared so effective treatment sample size will be divided by 16","Ruiz-Castellano C.; Tomas G.; Ruiz-Rodriguez M.; Martin-Galvez D.; Soler J. J.",2016,"Hoya de Guadix, southeast Spain (37.18N, 3.11W)","59",2,"GNM_237_2",5,"GNM_237_5",6,"GNM_237_6","Sturnus unicolor","Marrubium vulgare, Artemisia barrelieri, Lamium amplexicaule, Anacyclus clavatus","blank","2",0,1,"PCH",1.104134296,"mean",0.457579741290361,0.457579741290361,"sd",2,1,1.2411255445,"mean",0.151314574540127,0.151314574540127,"sd",4,4,"log mesophilic bacteria","Parasitic_and_pathogenic","include",NA,-1,NA,NA,NA,NA,NA,NA,NA,"open data provided by the authors: DOI: 10.6084/m9.  figshare.2068896. (as tree datasets were provided in the same spreadsheet this part refers only to the natural nests","Micro-organism","c","JMGS","treatment = Pigmented/Plants/Not contaminated/ Year 2013; control=  Pigmented/No Plants/Not contaminated/ Year 2013; Data extracted for natural nests second sample","SD","Experiment ID: changes by year and natural and artificial nests.. Group ID: changes by unpigmented, pigmented and no feather and artificial and non artifical and year and area.","n","y","n",2,1,"bacterial_load","Hoya de Guadix, Spain",90,15.4395987707006,3.03331551772548,"pass",-0.116957079702105,0.175463196181401,0.116957079702105,-0.655105693416307,1.29291634695465,0.655105693416307
"8","GNM_237","included",NA,"log10, treatment is shared so effective treatment sample size will be divided by 19","Ruiz-Castellano C.; Tomas G.; Ruiz-Rodriguez M.; Martin-Galvez D.; Soler J. J.",2016,"Hoya de Guadix, southeast Spain (37.18N, 3.11W)","60",2,"GNM_237_2",6,"GNM_237_6",9,"GNM_237_9","Sturnus unicolor","Marrubium vulgare, Artemisia barrelieri, Lamium amplexicaule, Anacyclus clavatus","blank","2",0,1,"PCH",1.25919450266667,"mean",0.461095517853247,0.461095517853247,"sd",3,1.5,1.72283368966667,"mean",0.865749555672583,0.865749555672583,"sd",3,3,"log mesophilic bacteria","Parasitic_and_pathogenic","include",NA,-1,NA,NA,NA,NA,NA,NA,NA,"open data provided by the authors: DOI: 10.6084/m9.  figshare.2068896. (as tree datasets were provided in the same spreadsheet this part refers only to the natural nests","Micro-organism","c","JMGS","treatment = Unpigmented/Plants/Not contaminated/ Year 2013; control= Unpigmented/No Plants/Not contaminated/ Year 2013; Data extracted for natural nests second sample","SD","Experiment ID: changes by year and natural and artificial nests.. Group ID: changes by unpigmented, pigmented and no feather and artificial and non artifical and year and area.","n","y","n",2,1,"bacterial_load","Hoya de Guadix, Spain",90,3.18162946132396,4.36616797127837,"pass",-0.313498196251492,0.173567019592813,0.313498196251492,-0.382778621344966,1.01627994143986,0.382778621344966
"9","GNM_101","included",NA,"mean and variance","Tomás G; Merino S; Martínez-de La Puente J; Moreno J; Morales J; Rivero-de Aguilar J",2012,"Valsaín, Segovia, Central Spain (40.53N, 4.01W)","72",1,"GNM_101_1",1,"GNM_101_1",5,"GNM_101_5","Cyanistes caeruleus","Lavandula stoechas, Santolina chamaecyparissus","grass","1",0,1,"PCH",109.7,"mean",29.5,166.877200360025,"se",32,32,64.1,"mean",28.1,146.011883078056,"se",27,27,"number of mites","Parasitic_and_pathogenic","include",NA,-1,NA,NA,NA,NA,NA,NA,NA,"table 2","Arthropod","b","SD","Authors also present data with yearlings and adults seperately. But I only extract the total mean values presented.","TR",NA,"n","y","n",1,1,"mites","Valsaín, Spain",90,2.26021091122792,3.68981736959664,"fail",0.53730500335456,0.264490260623634,-0.53730500335456,0.285327859007931,0.0689769691313256,-0.285327859007931
"10","GNM_101","included",NA,"mean and variance","Tomás G; Merino S; Martínez-de La Puente J; Moreno J; Morales J; Rivero-de Aguilar J",2012,"Valsaín, Segovia, Central Spain (40.53N, 4.01W)","73",1,"GNM_101_1",1,"GNM_101_1",6,"GNM_101_6","Cyanistes caeruleus","Lavandula stoechas, Santolina chamaecyparissus","grass","1",0,1,"PCH",3.9,"mean",1.9,10.7480230740355,"se",32,32,4.5,"mean",1.6,8.31384387633061,"se",27,27,"number of fleas","Parasitic_and_pathogenic","include",NA,-1,NA,NA,NA,NA,NA,NA,NA,"table 2","Arthropod","b","SD",NA,"TR",NA,"n","y","n",1,1,"fleas_number","Valsaín, Spain",90,2.78669724770642,2.03671970624235,"fail",-0.143100843640673,0.363763605814888,0.143100843640673,-0.0609517898271396,0.0683185211106229,0.0609517898271396
