"","paper_ID","fulltext_screening","fulltext_notes","variable_note","authors","year_publication","population_location","Observation_ID","experiment_ID","experiment_ID_coded","group_ID","group_ID_coded","repeated_trait_ID","repeated_trait_ID_coded","bird_species","treatment_plant_species","control_plant_species","comparision_type","CH","PCH","Hypothesis","measure_central_tendency_experiment","type_measure_central_tendency_experiment","measure_dispersion_experiment","sd_experiment","type_measure_dispersion_experiment","n_experiment","effective_n_experiment","measure_central_tendency_control","type_measure_central_tendency_control","measure_dispersion_control","sd_control","type_measure_dispersion_control","n_control","effective_n_control","fitness_proxy","trait_type","proxy_decision","proxy_comment","proxies_sign","statistics_type","test_statistics_type","statistics_value","p_value","sign_relationship","total_sample_size","DF","data_location","parasite_type","time_of_gnm_addition","extractor_ID","extractor_comments","data_checker_ID","data_checker_comments","blinding","random_assignment","missing_data","shared_experiment","shared_control","fitness_proxy_cleaned","population_ID","count","geary_control","geary_trt","geary_test","lnRR","lnRR_variance","lnRR_sign","SMDH","SMDH_variance","SMDH_sign"
"1","GNM_016","included",NA,"mean and variance, sample sizes of individuals and not nests","Polo V.; Rubalcaba J. G.; Veiga J. P.",2015,"Manzanares el Real (40.45 N; 3.50W Madrid province, central Spain).","13",1,"GNM_016_1",1,"GNM_016_1",1,"GNM_016_1","Sturnus unicolor","Lavandula stoechas, Santolina rosmarinifolia, Geranium robertianum, and Lamium purpureum","blank","2",1,1,"both",82.2,"mean",0.52,2.70199925980745,"SE",27,27,84.1,"mean",0.45,2.33826859021798,"SE",27,27,"fledgling body mass (males)","Morphology","include",NA,1,NA,NA,NA,NA,NA,NA,NA,"Sample sizes from fig 1 and data from the first paragraph of results section (fledgling production)",NA,"b","JMGS","***I considere that they reuse nests, because the authors said that the identity of the nests (whether they were treatment or control) were maintained across the years","SD","Authors also say : ""The primary sex ratio was male-biased in the experimental nests in all the years of the experiment: 2002 (results published in Polo et al. 2004), 2004, 2005, and 2006 (0.50 ± 0.026 vs. 0.43 ± 0.026 mean sex ratio ± SE in control vs. experimental nests; data corrected for common mothers; F1, 225.7 = 4.77, P = 0.03). The effect of greenery on increasing the proportion of males is consistent and confirms the previous results found by Polo et al. (2004)."" But we do not consider sex ratio as a proxy of fitness here.","n","y","n",1,1,"fledgeling_mass","Madrid Province, Spain",65,185.174311926605,156.626676076217,"pass",-0.022851264916768,6.8649477483654e-05,-0.022851264916768,-0.741065708903942,0.0791590591195676,-0.741065708903942
"2","GNM_016","included",NA,"mean and variance, sample sizes of individuals and not nests","Polo V.; Rubalcaba J. G.; Veiga J. P.",2015,"Manzanares el Real (40.45 N; 3.50W Madrid province, central Spain).","14",1,"GNM_016_1",2,"GNM_016_2",2,"GNM_016_2","Sturnus unicolor","Lavandula stoechas, Santolina rosmarinifolia, Geranium robertianum, and Lamium purpureum","blank","2",1,1,"both",79.5,"mean",0.49,2.54611468712625,"SE",27,27,79.3,"mean",0.44,2.28630706599092,"SE",27,27,"fledgling body mass (females)","Morphology","include",NA,1,NA,NA,NA,NA,NA,NA,NA,"Sample sizes from fig 1 and data from the first paragraph of results section (fledgling production)",NA,"b","JMGS","***I considere that they reuse nests, because the authors said that the identity of the nests (whether they were treatment or control) were maintained across the years; I also considered the comparison type two even though in the methods section the authors mention that the green material added by males was not removed (which seemingly could be an error)","SD",NA,"n","y","n",1,1,"fledgeling_mass","Madrid Province, Spain",65,178.573811509591,160.756412656806,"pass",0.00251889301948399,6.87754086029681e-05,0.00251889301948399,0.0814559960075263,0.074135509993385,0.0814559960075263
"3","GNM_016","included",NA,"mean and variance, sample sizes of individuals and not nests","Polo V.; Rubalcaba J. G.; Veiga J. P.",2015,"Manzanares el Real (40.45 N; 3.50W Madrid province, central Spain).","15",1,"GNM_016_1",1,"GNM_016_1",3,"GNM_016_3","Sturnus unicolor","Lavandula stoechas, Santolina rosmarinifolia, Geranium robertianum, and Lamium purpureum","blank","2",1,1,"both",30.4,"mean",0.05,0.259807621135332,"SE",27,27,30.4,"mean",0.05,0.259807621135332,"SE",27,27,"fledling tarsus-metatarsus lengths (males)","Morphology","include",NA,1,NA,NA,NA,NA,NA,NA,NA,"Sample sizes from fig 1 and data from the first paragraph of results section (fledgling production)",NA,"b","JMGS","It seemed strange that both groups of males (exp and ctrl had the exact same values for mean and SE) then I tried to collect the data from the figure, which is allegedly from a mixed model, but the data seemed very similar as well (Means: expm 30.47956; ctrm 30.504411) (SE expm 06212506; ctrlm 06626673). Therefore I decided to use the data reported in the text;    ***I considere that they reuse nests, because the authors said that the identity of the nests (whether they were treatment or control) were maintained across the years","SD",NA,"n","y","n",1,1,"fledling tarsus-metatarsus lengths (males)","Madrid Province, Spain",65,602.422018348624,602.422018348624,"pass",0,5.41031855955679e-06,0,0,0.0740740740740741,0
"4","GNM_016","included",NA,"mean and variance, sample sizes of individuals and not nests","Polo V.; Rubalcaba J. G.; Veiga J. P.",2015,"Manzanares el Real (40.45 N; 3.50W Madrid province, central Spain).","16",1,"GNM_016_1",2,"GNM_016_2",4,"GNM_016_4","Sturnus unicolor","Lavandula stoechas, Santolina rosmarinifolia, Geranium robertianum, and Lamium purpureum","blank","2",1,1,"both",30,"mean",0.06,0.311769145362398,"SE",27,27,29.84,"mean",0.05,0.259807621135332,"SE",27,27,"fledling tarsus-metatarsus lengths (females)","Morphology","include",NA,1,NA,NA,NA,NA,NA,NA,NA,"Sample sizes from fig 1 and data from the first paragraph of results section (fledgling production)",NA,"b","JMGS","***I considere that they reuse nests, because the authors said that the identity of the nests (whether they were treatment or control) were maintained across the years","SD",NA,"n","y","n",1,1,"fledling tarsus-metatarsus lengths (females)","Madrid Province, Spain",65,591.324770642202,495.412844036697,"pass",0.00534760632659528,6.80764614135083e-06,0.00534760632659528,0.549468549069262,0.0768695896890396,0.549468549069262
"5","GNM_016","included",NA,"mean and variance","Polo V.; Rubalcaba J. G.; Veiga J. P.",2015,"Manzanares el Real (40.45 N; 3.50W Madrid province, central Spain).","17",1,"GNM_016_1",3,"GNM_016_3",5,"GNM_016_5","Sturnus unicolor","Lavandula stoechas, Santolina rosmarinifolia, Geranium robertianum, and Lamium purpureum","blank","2",1,1,"both",2.5,"mean",0.15,0.779422863405995,"SE",27,27,2.58,"mean",0.16,0.831384387633061,"SE",27,27,"number of fledlings per breeding attempt","Reproduction","include",NA,1,NA,NA,NA,NA,NA,NA,NA,"First paragraph of results section (fledgling production)",NA,"b","JMGS","write to authors to for sample size of number of fledglings per breeding attempt; ***I considere that they reuse nests, because the authors said that the identity of the nests (whether they were treatment or control) were maintained across the years","SD",NA,"n","y","n",1,1,"number_of_fledgling","Madrid Province, Spain",72,15.9770642201835,16.5137614678899,"pass",-0.031498667059371,0.00744592272099032,-0.031498667059371,-0.0978374720190453,0.0741627052863989,-0.0978374720190453
"6","GNM_016","included",NA,"mean and variance","Polo V.; Rubalcaba J. G.; Veiga J. P.",2015,"Manzanares el Real (40.45 N; 3.50W Madrid province, central Spain).","18",2,"GNM_016_2",4,"GNM_016_4",6,"GNM_016_6","Sturnus unicolor","Lavandula stoechas, Santolina rosmarinifolia, Geranium robertianum, and Lamium purpureum","blank","2",1,1,"both",0.04035088,"mean",0.01754386,0.091160570642626,"SE",27,27,0.10964912,"mean",0.02719298,0.141298868907613,"SE",27,27,"probability of local recruitment (2002)","Reproduction","include",NA,1,NA,NA,NA,NA,NA,NA,NA,"Fig 2",NA,"b","JMGS","***I considere that they reuse nests, because the authors said that the identity of the nests (whether they were treatment or control) were maintained across the years; I did extract the data from figure 2, but not from table 1 given that they are seemingly redundant and fig 2. provides the data and deviation","SD","Authors also say: ""The probability of local recruitment was significantly lower in the experimental group (0.065 ± 0.016 vs. 0.118 ± 0.01; experimental vs. control; t = −2.20, P = 0.028;"" and we could also use this instead of divided over the years.","n","y","n",1,1,"local_recruitment_probability","Madrid Province, Spain",72,3.99526512984756,2.27889919552293,"fail",-0.999672245647991,0.250539890123591,-0.999672245647991,-0.57436212347651,0.0771286282304115,-0.57436212347651
"7","GNM_016","included",NA,"mean and variance","Polo V.; Rubalcaba J. G.; Veiga J. P.",2015,"Manzanares el Real (40.45 N; 3.50W Madrid province, central Spain).","19",3,"GNM_016_3",5,"GNM_016_5",7,"GNM_016_7","Sturnus unicolor","Lavandula stoechas, Santolina rosmarinifolia, Geranium robertianum, and Lamium purpureum","blank","2",1,1,"both",0.13596491,"mean",0.03947368,0.205111257965146,"SE",27,27,0.15964912,"mean",0.04035088,0.209669322870345,"SE",27,27,"probability of local recruitment (2004)","Reproduction","include",NA,1,NA,NA,NA,NA,NA,NA,NA,"Fig 2",NA,"b","JMGS","***I considere that they reuse nests, because the authors said that the identity of the nests (whether they were treatment or control) were maintained across the years; I did extract the data from figure 2, but not from table 1 given that they are seemingly redundant and fig 2. provides the data and deviation","SD",NA,"n","y","n",1,1,"local_recruitment_probability","Madrid Province, Spain",72,3.92022303291308,3.41284434348627,"pass",-0.160581569349325,0.148168370584367,-0.160581569349325,-0.112537929410029,0.074191340606999,-0.112537929410029
"8","GNM_016","included",NA,"mean and variance","Polo V.; Rubalcaba J. G.; Veiga J. P.",2015,"Manzanares el Real (40.45 N; 3.50W Madrid province, central Spain).","20",4,"GNM_016_4",6,"GNM_016_6",8,"GNM_016_8","Sturnus unicolor","Lavandula stoechas, Santolina rosmarinifolia, Geranium robertianum, and Lamium purpureum","blank","2",1,1,"both",0.06666667,"mean",0.0245614,0.127624778115067,"SE",27,27,0.11754386,"mean",0.02894737,0.150414946756485,"SE",27,27,"probability of local recruitment (2006)","Reproduction","include",NA,1,NA,NA,NA,NA,NA,NA,NA,"Fig 2",NA,"b","JMGS","***I considere that they reuse nests, because the authors said that the identity of the nests (whether they were treatment or control) were maintained across the years; I did extract the data from figure 2, but not from table 1 given that they are seemingly redundant and fig 2. provides the data and deviation","SD",NA,"n","y","n",1,1,"local_recruitment_probability","Madrid Province, Spain",72,4.02335258654941,2.68938452915192,"fail",-0.567106412649656,0.1963822772026,-0.567106412649656,-0.359456933809525,0.0752704563635532,-0.359456933809525
"9","GNM_016","included",NA,"mean and variance","Polo V.; Rubalcaba J. G.; Veiga J. P.",2015,"Manzanares el Real (40.45 N; 3.50W Madrid province, central Spain).","21",5,"GNM_016_5",7,"GNM_016_7",9,"GNM_016_9","Sturnus unicolor","Lavandula stoechas, Santolina rosmarinifolia, Geranium robertianum, and Lamium purpureum","blank","2",1,1,"both",0.04561404,"mean",0.02017544,0.104834661435172,"SE",27,27,0.0877193,"mean",0.02631579,0.136740855963939,"SE",27,27,"probability of local recruitment (2008)","Reproduction","include",NA,1,NA,NA,NA,NA,NA,NA,NA,"Fig 2",NA,"b","JMGS","***I considere that they reuse nests, because the authors said that the identity of the nests (whether they were treatment or control) were maintained across the years; I did extract the data from figure 2, but not from table 1 given that they are seemingly redundant and fig 2. provides the data and deviation","SD",NA,"n","y","n",1,1,"local_recruitment_probability","Madrid Province, Spain",72,3.30275229357798,2.24012772801026,"fail",-0.653926379714362,0.285636079756488,-0.653926379714362,-0.340575064522663,0.0751480682830983,-0.340575064522663
"10","GNM_024","included",NA,"mean and variance","Lopez-Rull I.; Gil D.",2009,"Soto del Real, Madrid, Spain","23",1,"GNM_024_1",1,"GNM_024_1",2,"GNM_024_2","Sturnus unicolor","Lavandula stoechas, Santolina rosmarinifolia, Geranium robertinum, Lamium purpureum","blank","2",1,1,"both",4.937931,"mean",0.04310345,0.1724138,"SE",16,16,4.103448,"mean",0.05221186,0.227586221394294,"SE",19,19,"Clutch size","Reproduction","include",NA,1,NA,NA,NA,NA,NA,NA,NA,"Fig.3",NA,"b","JMGS","The data was fully extracted from the figure 3 using metaDigitise, because the measure of dispersion (SD or SE) was not reported with the primary data  in the text, ***also the dispersion measures reported in the text did not match either the SD or the SE extracted from the figure ***","SD",NA,"n","y","n",1,1,"clutch_size","Madrid Province, Spain",72,77.5715798581485,112.797533161945,"pass",0.185118821658669,0.00023809394470118,0.185118821658669,3.98971043216246,0.34252856941174,3.98971043216246
