"paper_id","label","title","author","journal","volume","number","pages","year","doi","abstract","search_duplicated","n_duplicates","screened_final","notes_final"
"GNM_217","Carbeck201836","Environmental cues and dietary antioxidants affect breeding behavior and testosterone of male European starlings (Sturnus vulgaris)","Carbeck, K.M. and DeMoranville, K.J. and D'Amelio, P.B. and Goymann, W. and Trost, L. and Pierce, B. and BryÅ‚a, A. and Dzialo, M. and Bauchinger, U. and McWilliams, S.R.","Hormones and Behavior","103",NA,"36-44",2018,"10.1016/j.yhbeh.2018.05.020","Environmental cues, such as photoperiod, regulate the timing of major life-history events like breeding through direct neuroendocrine control. Less known is how supplementary environmental cues (e.g., nest sites, food availability) interact to influence key hormones and behaviors involved in reproduction, specifically in migratory species with gonadal recrudescence largely occurring at breeding sites. We investigated the behavioral and physiological responses of male European starlings to the sequential addition of nest boxes and nesting material, green herbs, and female conspecifics and how these responses depend on the availability of certain antioxidants (anthocyanins) in the diet. As expected, cloacal protuberance volume and plasma testosterone of males generally increased with photoperiod. More notably, testosterone levels peaked in males fed the high antioxidant diet when both nest box and herbal cues were present, while males fed the low antioxidant diet showed no or only a muted testosterone response to the sequential addition of these environmental cues; thus our results are in agreement with the oxidation handicap hypothesis. Males fed the high antioxidant diet maintained a constant frequency of breeding behaviors over time, whereas those fed the low antioxidant diet decreased breeding behaviors as environmental cues were sequentially added. Overall, sequential addition of the environmental cues modulated physiological and behavioral measures of reproductive condition, and dietary antioxidants were shown to be a key factor in affecting the degree of response to each of these cues. Our results highlight the importance of supplementary environmental cues and key resources such as dietary antioxidants in enhancing breeding condition of males, which conceivably aid in attraction of high quality females and reproductive success. Â© 2018 Elsevier Inc.",214,1,"selected",NA
"GNM_020","X.WOS.000304734700005","Female Spotless Starlings (Sturnus unicolor) remove green plants from their nests","Pablo Veiga and Jose and Polo and Vicente","JOURNAL OF ORNITHOLOGY","153","2","291-296",2012,"10.1007/s10336-011-0742-x","The males of the European Starling (Sturnus vulgaris) and Spotless Starling (S. unicolor) carry green plants to their nests. However, the consequences of this behaviour for the females are still poorly known. In this study, we evaluated the behavioural responses of female Spotless Starlings to the green plants that they find in their nests. We added green plants to a group of experimental nests (E nests) and quantified the activity of the nesting females in the E nests and in a group of non-manipulated nests (C nests). The females never added green plants to their nests, but they removed the green plants more frequently from the E nests than from the C nests. The number of departures from the nest by females that carried green plants was positively correlated with the number of visits by females that carried nothing. In contrast, the number of departures by females carrying green plants was uncorrelated with the number of visits made by females that carried nest-building materials. These results suggest that the females made a specific additional effort to remove the green plants from the E nests. We propose that this behaviour may be an adaptive response of mated females that serves to counteract the eventual negative effects of green plants on their reproductive success. However, competing hypotheses cannot be rejected, and additional work is needed to better understand the removal of green plants by female Spotless Starlings.",20,1,"selected",NA
"GNM_070","Rubalcaba2017203","Is offspring dispersal related to male mating status? An experiment with the facultatively polygynous spotless starling","Rubalcaba, J.G. and Veiga, J.P. and Polo, V.","Journal of Avian Biology","48","2","203-208",2017,"10.1111/jav.00974","Patterns of natal dispersal are generally sex-biased in vertebrates, i.e. female-biased in birds and male-biased in mammals. Interphyletic comparisons in mammals suggest that male-biased dispersal occurs in polygynous and promiscuous species where local mate competition among males exceeds local resource competition among females. However, few studies have analysed sex-biased patterns of dispersal at the individual level, and facultatively polygynous species might offer this opportunity. In the spotless starling, polygynous males exhibit their mating status during courtship carrying higher amounts of green plants to nests than monogamous males. We experimentally incorporated green plants to nests during four years to analyse long-term consequences on breeding success and offspring recruitment rates. We unexpectedly found that experimental sons recruited farther than experimental daughters, while control daughters recruited farther than control sons. A similar pattern was found using observational information from eight years. We discuss this result in the context of local competition hypothesis and speculate that sons dispersed farther from nests controlled by polygynous males to avoid competition with relatives. The amount of green plants in nests affects female perception of male attractiveness and degree of polygyny, although little is known about proximate mechanisms linking this process with the offspring dispersal behaviour. Our results support the idea that male-biased dispersal is related to polygyny in a facultatively polygynous bird. � 2016 The Authors",70,2,"selected",NA
"GNM_121","X.WOS.000269860700019","Aromatic plants in nests of the blue tit Cyanistes caeruleus protect chicks from bacteria","Mennerat and Adele and Mirleau and Pascal and Blondel and Jacques and Perret and Philippe and Lambrechts and Marcel M. and Heeb and Philipp","OECOLOGIA","161","4","849-855",2009,"10.1007/s00442-009-1418-6","Several bird species add fresh fragments of plants which are rich in volatile secondary compounds to their nests. It has been suggested, although never tested, that birds use fresh plants to limit the growth of nest microorganisms. On Corsica, blue tits (Cyanistes caeruleus) incorporate fresh fragments of aromatic plants into their nests. These plants do not reduce infestation by nest ectoparasites, but have been shown to improve growth and condition of chicks at fledging. To understand the mechanisms underlying such benefits, we experimentally tested the effects of these plants on the bacteria living on blue tits. Aromatic plants significantly affected the structure of bacterial communities, in particular reducing bacterial richness on nestlings. In addition, in this population where there is a strong association between bacterial density and infestation by blood-sucking Protocalliphora blow fly larvae, these plants reduced bacterial density on the most infested chicks. Aromatic plants had no significant effect on the bacteria living on adult blue tits. This study provides the first evidence that fresh plants brought to the nests by adult birds limit bacterial richness and density on their chicks.",121,2,"selected",NA
"GNM_001","Gl.U.00C4..U.2026.dalski2020","Consequences of experimental addition of fresh, aromatic plants into nests of blue tits (Cyanistes caeruleus) on the physiological condition of nestlings","GlÄ…dalski, M. and BaÅ„bura, M. and KaliÅ„ski, A. and Markowski, M. and Skwarska, J. and Wawrzyniak, J. and ZieliÅ„ski, P. and BaÅ„bura, J.","Behavioral Ecology and Sociobiology","74","3",NA,2020,"10.1007/s00265-020-2812-7","Abstract: The blue tit (Cyanistes caeruleus) is one of a few known passerine birds that incorporate fresh fragments of aromatic plants in their nest during the nesting period. In this study, we experimentally tested whether aromatic plants in blue tit nests affect physiological condition of nestlings as indicated by hemoglobin and glucose in the blood. Nestlings in nests supplemented with fresh, aromatic plants had elevated blood hemoglobin, and therefore improved physiological condition, as compared with control nestlings. There was no difference between nestlings in two contrasting habitats (urban parkland and forest). Although mean levels of blood glucose did not differ between treatment and control nestlings, the blood of forest nestlings contained more glucose than the blood of parkland nestlings, which indicates poorer health for forest nestlings. In general, knowledge of the effects of incorporating fresh green, aromatic plant material into avian nests on physiological condition of nestlings is still fragmentary and more experimental studies are needed. Significance statement: The blue tit is one of a few known passerine birds that incorporate fresh fragments of aromatic plants in their nest during the nesting period. Little is known about the impact of this material on nestling body condition, and there is a need to understand this behavior and its effects. We tested whether nestlings in nests supplemented with fresh, aromatic plants improved their physiological condition in comparison with control nestlings. The experiment showed that nestlings from supplemented nests improved their physiological condition by exhibiting elevated hemoglobin. Â© 2020, The Author(s).",1,2,"selected",NA
"GNM_016","X.WOS.000358171600024","Green plants in nests reduce offspring recruitment rates in the spotless starling","Polo, Vicente and Rubalcaba, Juan G. and Veiga, Jose P.","BEHAVIORAL ECOLOGY","26","4","1131-1137",2015,"10.1093/beheco/arv056","Greenery added to birds' nests is a sexually selected trait of males that entails costs for females. Why some birds add green plants to their nests has long puzzled biologists. Some studies suggest that this behavior is promoted by natural selection because of its positive effects on nestling health. However, if greenery functions as a sexually selected signal of male attractiveness, it may promote costly female competition for preferred males. We experimentally increased the amount of plants in spotless starling's nests, causing a reduction in the number of recruits. Although several hypotheses have been proposed to explain the function of fresh green plants in nests of many avian species, the consequences of this behavior on fitness remain poorly understood. In accordance with the nest protection and drug hypotheses, adding greenery to nests should be naturally selected to facilitate positive fitness effects on offspring. Alternatively, the courtship hypothesis postulates that green plants function as a sexually selected signal of male attractiveness that might promote female competition for preferred males. We conducted a long-term study by experimentally increasing the amount of green plants in nests of a wild population of spotless starlings (Sturnus unicolor). We experimentally decoupled the natural carrying behavior of males in half of the population and explored the consequences of this manipulation on offspring condition and their rate of local recruitment. Treatment did not affect the number of fledglings, but it did affect body mass and tarsus in a sexually antagonistic way: a positive effect on female tarsus length and negative on male body mass. The addition of greenery reduced the probability of local recruitment of both males and females. Our results suggest that the addition of green plants induces maternal response with complex short- and long-term consequences on the offspring body condition and recruitment success.",16,2,"selected",NA
"GNM_023","Polo2010129","Experimental addition of green plants to the nest increases testosterone levels in female spotless starlings","Polo, V. and LÃ³pez-Rull, I. and Gil, D. and Veiga, J.P.","Ethology","116","2","129-137",2010,"10.1111/j.1439-0310.2009.01724.x","Multiple male traits and displays may act in signalling sexually selected processes during courtship. Spotless starling males (Sturnus unicolor) carry green plants into their nests before egg laying, and recent studies have shown that this behaviour is related to female breeding decisions and the production of male-biased broods. Although the functional implications of this effect on females are not yet clear, data suggest that it could be mediated by female circulating hormones. Additionally, females may show higher androgen levels as a consequence of the increased female-female competition generated by the increase in male attractiveness. We tested this hypothesis using the same manipulation of green nesting material that has been previously shown to result in an increase of male attractiveness in male spotless starlings. We found that females in experimental nests increased their circulating testosterone levels during the laying period. In addition, there was an increase of social interferences in the experimental nests because of the addition of green plants. We hypothesise that testosterone may allow females to maintain their mating status when competing with other females for the preferred males. Addition of green plants also increased the variance in the levels of circulating testosterone, suggesting plasticity between females in their response to the manipulation. We propose that there is a functional link between high testosterone levels, male-biased sex ratios and female resource-holding potential in intra-sexual competition in this species. Â© 2010 Blackwell Verlag GmbH.",286,2,"selected",NA
"GNM_137","Shutler20077","Experimental addition of greenery reduces flea loads in nests of a non-greenery using species, the tree swallow Tachycineta bicolor","Shutler, D. and Campbell, A.A.","Journal of Avian Biology","38","1","7-12",2007,"10.1111/j.2007.0908-8857.04015.x","Several bird species, including cavity-nesters such as European starlings Sturnus vulgaris, add to their nests green sprigs of plants such as yarrow Achillea millefolium that are rich in volatile compounds. In this field study on another cavity-nester, tree swallows Tachycineta bicolor, we tested whether yarrow reduced ectoparasite loads (the nest protection hypothesis), stimulated nestling immune systems (the drug hypothesis), or had other consequences for nestling growth or parental reproductive success (predicted by both preceding hypotheses). Tree swallows do not naturally add greenery to their nests, and thus offer several advantages in testing for effects of greenery independent of other potentially confounding explanations for the behaviour. We placed fresh yarrow in 23 swallow nests on the day the first egg was laid, replenishing every two days until clutch completion (=three times), and at 44 control nests, nesting material was simply touched. At 12 days of age, we measured nestling body size and mass, and took blood smears to do differential white blood cell counts. We subsequently determined the number and proportion of young fledging from nests and the number of fleas remaining after fledging. Higher humidity was associated with higher flea numbers whereas number of feathers in the nest was not. Our most significant finding was that an average of 773 fleas Ceratophyllus idius was found in control nests, versus 419 in yarrow nests. Possibly, parents compensate for blood that nestlings lose to ectoparasites by increasing food delivery, because we detected no differences between treatments in nestling mass, nestling leukocyte profiles, or proportion of young fledging, or relative to flea numbers. Our results provide no support for the drug hypothesis and strong support for the nest protection hypothesis. Â© Journal of Avian Biology.",137,2,"selected",NA
"GNM_141","Browne2006187","Effect of nestbox construction and colour on the occupancy and breeding success of nesting tits Parus spp.","Browne, S.J.","Bird Study","53","2","187-192",2006,"10.1080/00063650609461432","Capsule: Breeding performance was not affected, although variation in nestbox occupancy may result from perceived differences in protection from predators and insulation properties. Aim: To assess if nestboxes of different construction and colour were occupied differently by breeding tits and affected breeding success. Methods: A total of 292 nestboxes of different construction and colour were placed in a range of habitats and their occupancy, and the clutch size, brood size and number of young fledged of the birds that used them were measured. Results: Overall 272 tit nests were included in the analysis. Although there were species-related differences in the occupancy of the different types of nestboxes, more tits nested in the boxes constructed from woodcrete (64% of nests) compared to the wooden boxes (36%). More tits nested in green (72%) rather than brown boxes (28%) and in boxes with entrance holes (68%) rather than wedges (32%). The clutch size, brood size and number of young fledged did not vary in relation to nestbox type. Conclusion: Within the parameters of the experimental design of this study, tits are more likely to nest in woodcrete boxes than in wooden boxes, and in wooden boxes that are green and have holes rather than brown boxes with wedge entrances. It is likely that the smaller internal volume, internal darkness, insulating properties and perceived protection from predation were the reasons for these differences. Â© 2006 British Trust for Ornithology.",141,2,"selected","Green nest boxes"
"GNM_153","X.WOS.000185305800002","Female presence affects male behavior and testosterone levels in the European starling (Sturnus vulgaris)","Pinxten, R and de Ridder, E and Eens, M","HORMONES AND BEHAVIOR","44","2","103-109",2003,"10.1016/S0018-506X(03)00120-X","In this study, we confronted individually housed male European starlings (Sturnus vulgaris) with a female conspecific for 60 min to study the consequences on behavior and plasma testosterone (T) concentrations. Control males experienced a similar procedure, the only difference being that they were tested in the absence of a female. Female presence significantly affected both behavior and plasma T levels of male starlings. Experimental males spent significantly more time singing in the nest box and flew significantly more into the nest box with green nesting material during female presentations than during control periods. Control males never showed these mate attraction behaviors. In total 5 of the 16 experimental males did not respond behaviorally to the female stimulus bird (NR males). In contrast to T levels of control males, plasma T concentrations of both experimental males that did respond to the female (R males) and of NR males (which only perceived the female stimulus) were positively influenced by female presentation. The time spent singing in the nest box by experimental males (R and NR males combined) during female presence tended to be positively correlated with changes in plasma T levels. Finally, before introduction of a female, plasma T levels of R males were significantly higher than those of NR males indicating that individually housed males respond to the presence of a female conspecific by increasing their mate attraction behaviors only when a threshold plasma T concentration has been reached. (C) 2003 Elsevier Inc. All rights reserved.",153,2,"selected",NA
